 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Numero,Demanda,Punto,Proporción
01/01/2022,01:42:00,aztlan,"25.7534746, -100.3701372",1,1,2 de abril,0.003717472
01/01/2022,00:09:00,constitucion,"25.6727925, -100.352228",2,1,aaron saenz,0.003717472
01/01/2022,04:10:00,derecho de huelga,"25.7809544, -100.370267",3,1,alejandro de rodas,0.003717472
01/01/2022,04:53:00,felix u gomez,"25.6876835, -100.2962458",4,7,alfonso reyes,0.026022305
01/01/2022,06:25:00,gonzalitos,"25.71127, -100.35033",5,1,antigua carretera nacional,0.003717472
01/01/2022,06:22:00,lincoln,"25.7800991, -100.4548858",6,1,antiguos ejidatarios,0.003717472
01/01/2022,02:09:00,morones prieto,"25.6657081, -100.3338365",7,3,antonio l rodriguez,0.011152416
01/01/2022,02:09:00,morones prieto,"25.6657081, -100.3338365",8,1,apolo,0.003717472
01/01/2022,00:59:00,narciso mendoza,"25.7162621, -100.3246088",9,1,aramberri,0.003717472
01/01/2022,02:31:00,portales de los valles,"25.6172147, -100.2838507",10,1,arteaga,0.003717472
01/01/2022,00:27:00,ruiz cortines,"25.7090541, -100.3579104",11,1,articulo 123,0.003717472
02/01/2022,02:30:00,la luz,"25.5948147, -100.250504",12,5,aztlan,0.018587361
02/01/2022,00:13:00,lincoln,"25.7644109, -100.4087882",13,10,bernardo reyes,0.037174721
02/01/2022,03:01:00,madero,"25.6838767, -100.3133762",14,1,betty leal,0.003717472
02/01/2022,07:54:00,pablo gonzalez g.,"25.6768503, -100.3611176",15,3,cabezada,0.011152416
02/01/2022,07:19:00,rangel frias,"25.7277719, -100.3496714",16,1,camino al diente,0.003717472
03/01/2022,00:17:00,2 de abril,"25.6600213, -100.3175798",17,1,camino del pastizal,0.003717472
03/01/2022,07:49:00,alfonso reyes,"25.6379165, -100.2947982",18,1,caracas,0.003717472
03/01/2022,05:28:00,carretera nacional,"25.5469962, -100.2252785",19,5,carretera nacional,0.018587361
03/01/2022,07:01:00,leones,"25.7503835, -100.4302353",20,1,chapultepec,0.003717472
04/01/2022,00:57:00,felix u gomez,"25.6876835, -100.2962458",21,2,churubusco,0.007434944
04/01/2022,06:53:00,felix u gomez,"25.6876835, -100.2962458",22,1,ciudad victoria,0.003717472
04/01/2022,06:20:00,fidel velazquez,"25.7217347, -100.3339563",23,10,colon,0.037174721
04/01/2022,00:50:00,leones,"25.7415209, -100.4102244",24,12,constitucion,0.044609665
05/01/2022,06:05:00,bernardo reyes,"25.7008088, -100.3256822",25,2,cuauhtemoc,0.007434944
05/01/2022,02:27:00,cuauhtemoc,"25.6757314, -100.3183984",26,1,david g berlanga,0.003717472
05/01/2022,01:26:00,garza sada,"25.6037387, -100.266951",27,1,de los profesionistas,0.003717472
05/01/2022,05:01:00,lincoln,"25.7382506, -100.3774622",28,1,de los propietarios,0.003717472
05/01/2022,07:59:00,lincoln,"25.7484077, -100.38359",29,1,derecho de huelga,0.003717472
05/01/2022,01:38:00,mina charcas,"25.6939129, -100.3055882",30,1,diaz ordaz,0.003717472
05/01/2022,07:05:00,pablo gonzalez g.,"25.6840161, -100.3458436",31,1,diego diaz de berlanga,0.003717472
05/01/2022,07:40:00,paseo de los navegantes,"25.7185497, -100.3912759",32,1,diego maldonado,0.003717472
05/01/2022,00:40:00,san jose,"25.7219211, -100.3645271",33,1,dr coss,0.003717472
06/01/2022,04:40:00,paseo de cumbres,"25.7471522, -100.4095088",34,1,esquisto,0.003717472
06/01/2022,02:13:00,priv victoria,"25.6902507, -100.3134625",35,10,felix u gomez,0.037174721
06/01/2022,07:47:00,ruiz cortines,"25.7355326, -100.3781727",36,5,fidel velazquez,0.018587361
07/01/2022,02:57:00,antonio l rodriguez,"25.6693431, -100.3684889",37,1,francisco marquez,0.003717472
07/01/2022,02:10:00,chapultepec,"25.6669462, -100.2822793",38,1,franco,0.003717472
07/01/2022,05:55:00,leones,"25.7259203, -100.3942345",39,1,galeana,0.003717472
07/01/2022,07:46:00,morones prieto,"25.6688697, -100.34684",40,1,gardenia,0.003717472
07/01/2022,04:45:00,rangel frias,"25.7245167, -100.3550413",41,11,garza sada,0.040892193
08/01/2022,05:09:00,alfonso reyes,"25.69588, -100.3167505",42,1,gemelos,0.003717472
08/01/2022,01:50:00,antonio l rodriguez,"25.673329, -100.3569021",43,1,genova,0.003717472
08/01/2022,00:06:00,dr coss,"25.6754184, -100.3076173",44,2,gomez morin,0.007434944
08/01/2022,05:34:00,gonzalitos,"25.711167, -100.35044",45,13,gonzalitos,0.048327138
08/01/2022,02:50:00,madero,"25.6838767, -100.3133762",46,1,guadalupe victoria,0.003717472
08/01/2022,03:17:00,revolucion,"25.6313028, -100.2879382",47,1,guerrero,0.003717472
09/01/2022,00:29:00,bernardo reyes,"25.7146996, -100.3287058",48,1,heroico colegio militar,0.003717472
09/01/2022,07:46:00,diego maldonado,"25.720995, -100.2580914",49,1,hilario martinez,0.003717472
09/01/2022,00:36:00,madero,"25.6840844, -100.3152404",50,1,iztaccihuatl,0.003717472
09/01/2022,04:35:00,mina,"25.6680767, -100.3062319",51,1,jesus gonzalez ortega,0.003717472
09/01/2022,06:49:00,rogelio cantu,"25.6849535, -100.379859",52,1,jose a conchello,0.003717472
09/01/2022,03:31:00,san juan de los lagos,"25.7198946, -100.3709442",53,1,jose alvarado,0.003717472
09/01/2022,06:14:00,san juan de los lagos,"25.7153348, -100.3675928",54,1,jose benitez,0.003717472
09/01/2022,00:16:00,venustiano carranza,"25.7011737, -100.3302908",55,1,jose ma vigil,0.003717472
10/01/2022,07:24:00,alejandro de rodas,"25.7538113, -100.4277001",56,1,juan sebastian bach,0.003717472
10/01/2022,06:12:00,colon,"25.6876835, -100.331672",57,1,juarez,0.003717472
10/01/2022,06:52:00,constitucion,"25.664449, -100.3140082",58,1,la luz,0.003717472
10/01/2022,07:11:00,constitucion,"25.7633006, -100.2419641",59,2,las rocas,0.007434944
10/01/2022,06:50:00,garza sada,"25.6402433, -100.2852769",60,3,lazaro cardenas,0.011152416
10/01/2022,07:14:00,gonzalitos,"25.6940699, -100.3512487",61,21,leones,0.078066914
10/01/2022,07:20:00,lincoln,"25.728614, -100.3687632",62,1,linares,0.003717472
10/01/2022,07:27:00,reforma,"25.6840667, -100.3064622",63,14,lincoln,0.05204461
11/01/2022,06:35:00,bernardo reyes,"25.7054351, -100.3266576",64,1,luis mora,0.003717472
11/01/2022,07:27:00,colon,"25.6836856, -100.2845659",65,6,madero,0.022304833
11/01/2022,01:35:00,gonzalitos,"25.711167, -100.35044",66,1,manuel l barragan,0.003717472
