0.386441231,-4.7355,Instance_900_16_10_6_6,,Instance_900_16_10_6_6,Instance_900_16_50_6_6,Instance_900_16_100_6_6,Instance_900_16_150_6_6,Instance_900_16_200_6_6,Instance_900_30_10_6_6,Instance_900_30_50_6_6,Instance_900_30_100_6_6,Instance_900_30_150_6_6,Instance_900_30_200_6_6,Instance_900_100_10_6_6,Instance_900_100_50_6_6,Instance_900_100_100_6_6,Instance_900_100_150_6_6,Instance_900_100_200_6_6
8.815757275,-3.6065,Instance_900_16_10_6_6,,-4.7355,-1.151,-0.6603,-0.510688889,1.0815,-5.0505,-1.1315,-0.6597,-0.514033333,-0.4457,-5.04,-1.1335,-0.6489,-0.5299,-0.4453
18.04523039,-2.972,Instance_900_16_10_6_6,,-3.6065,0.2675,1.9603,1.234277778,1.1752,-3.974,0.2935,0.91,1.006122222,1.23655,-2.8555,0.479,0.15345,0.467466667,0.5331
25.63037252,-2.2285,Instance_900_16_10_6_6,,-2.972,0.3375,2.35655,2.423811111,2.00445,-3.56,0.3765,0.9913,1.475988889,1.99855,-2.6035,0.639,0.58455,,
33.95186281,-2.148,Instance_900_16_10_6_6,,-2.2285,1.2185,2.36815,2.7874,2.28025,-3.179,0.914,1.4524,1.668811111,2.47125,-1.7,1.345,,,
1.294617176,-1.151,Instance_900_16_50_6_6,,-2.148,1.6085,2.4676,,2.4791,-2.8875,1.285,1.48345,1.866211111,,-1.62,1.4145,,,
40.31750917,0.2675,Instance_900_16_50_6_6,,,1.8085,,,2.81825,-2.7675,,1.7105,1.890088889,,-0.8735,,,,
79.6555934,0.3375,Instance_900_16_50_6_6,,,,,,,-2.3625,,1.7398,,,,,,,
120.2328084,1.2185,Instance_900_16_50_6_6,,,,,,,,,,,,,,,,
162.4806392,1.6085,Instance_900_16_50_6_6,,16,10,-4.7355,,,,,,,,,,,,
209.9009161,1.8085,Instance_900_16_50_6_6,,16,10,-3.6065,,,,,,,,,,,,
2.472970009,-0.6603,Instance_900_16_100_6_6,,16,10,-2.972,,,,,,,,,,,,
78.73825049,1.9603,Instance_900_16_100_6_6,,16,10,-2.2285,,,,,,,,,,,,
