100
40
2
3
5
4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
22
4 22 38 30 31 37 23 11 3 10 17 32 24 16 13 33 18 6 21 2 39 8 
34
23 29 30 20 7 26 4 25 27 37 3 21 35 36 11 19 1 12 32 22 40 34 13 10 31 16 18 38 15 28 2 9 5 24 
1 2 
1 2 3 
0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0 0 1 0 2 0 2 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 1 0 0 0 0 0 0 
0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 2 0 0 2 1 0 0 0 0 2 2 0 1 0 0 0 2 0 0 0 0 0 1 0 1 0 
0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 1 0 1 1 0 1 1 1 0 1 0 1 2 1 0 0 1 0 1 1 0 0 0 0 
0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 0 1 0 0 1 1 1 0 0 1 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 1 0 1 0 2 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 
0 1 0 1 0 0 0 0 0 0 0 0 2 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 3 1 0 0 0 3 0 0 0 0 1 0 0 2 0 1 0 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
32 9 42 44 14 13 38 37 15 10 19 25 28 13 29 13 23 28 45 9 31 15 21 19 29 44 21 16 45 16 26 31 40 15 27 43 27 43 31 19 32 24 14 42 35 19 13 18 20 9 45 42 35 9 9 14 19 28 14 34 24 41 14 14 45 29 18 19 29 11 27 45 27 10 36 30 10 24 21 24 10 26 41 29 10 34 35 14 22 12 39 28 17 36 12 13 37 28 17 9 
25 17 32 25 35 27 40 20 38 18 44 23 23 34 33 40 18 33 35 25 37 39 9 19 33 25 23 28 13 22 23 34 24 23 26 22 31 17 12 28 23 31 44 27 27 32 45 34 12 37 11 13 30 12 19 18 10 10 45 10 23 10 44 25 25 44 32 16 21 33 18 25 23 40 22 25 31 40 17 9 24 30 40 32 19 10 26 42 44 38 40 14 19 27 35 10 10 44 17 21 
18 44 30 42 33 40 39 29 19 35 22 11 43 36 24 42 33 36 42 26 25 39 34 33 36 29 28 25 11 28 9 34 34 20 45 19 15 16 20 42 17 35 35 44 40 31 11 40 29 26 43 30 29 10 20 28 40 37 19 38 26 38 29 36 22 20 38 25 31 33 17 18 41 13 45 39 39 42 11 19 14 32 10 37 9 37 14 25 45 9 37 32 15 24 32 45 43 14 19 25 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
9 44 26 36 20 28 13 44 25 44 12 45 40 39 31 38 39 18 23 11 13 13 35 16 40 20 44 16 38 9 41 31 23 23 21 12 16 39 10 45 39 10 40 29 11 34 18 26 27 10 27 41 12 18 31 22 10 32 40 12 43 13 31 11 37 11 15 14 23 14 18 33 38 16 13 30 9 15 10 17 22 33 18 22 27 42 42 31 41 29 36 27 30 44 21 44 9 19 16 21 
