20
40
2
3
50
5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
22
9 27 22 36 17 19 26 30 12 10 37 2 34 32 11 31 16 35 8 15 38 21 
34
14 38 37 24 26 13 21 2 16 19 7 10 3 27 28 36 4 35 39 12 30 23 17 8 20 15 25 9 32 22 34 40 11 5 
1 2 
1 2 3 
0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 
0 2 0 0 0 0 3 1 0 0 1 0 1 0 1 0 0 0 3 0 
1 0 1 2 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 
0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 2 0 0 0 0 1 0 1 1 0 0 1 0 0 
0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 
1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 
2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 
0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 
0 0 0 0 0 0 0 1 0 2 1 0 0 3 1 0 0 1 0 0 
1 3 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 
0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 
2 0 0 0 0 0 0 2 0 1 1 0 1 0 0 0 1 0 0 0 
1 0 0 0 0 1 1 2 1 0 0 0 0 0 1 0 0 0 3 1 
0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 
3 0 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 2 0 0 
1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 
1 1 0 0 1 2 1 0 2 0 0 0 0 0 0 0 0 1 0 0 
1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 0 2 
0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 2 1 0 0 
0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 1 
0 1 0 2 0 0 0 0 0 2 2 0 2 2 0 0 0 0 0 0 
0 2 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 
1 0 2 0 2 0 0 0 0 0 0 1 0 0 0 2 0 1 0 2 
0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 1 3 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 
0 0 1 2 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 
0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 
0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 
2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 2 1 0 0 0 0 1 0 3 0 0 0 1 3 0 0 1 0 
0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 
2 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 
0 1 1 0 1 2 0 0 0 0 0 0 2 1 1 1 0 2 1 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 
2 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 3 1 2 0 
0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 
0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 
0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
13 35 37 21 14 40 26 20 37 37 44 21 42 38 12 25 36 27 31 35 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
10 28 9 31 18 37 35 24 20 39 34 31 32 27 34 9 36 24 42 32 
13 15 44 42 29 44 41 40 33 36 22 16 19 32 35 39 15 24 28 35 
29 17 27 39 9 41 28 14 37 9 15 31 33 25 32 17 37 33 12 35 
41 43 34 31 13 10 27 37 42 13 38 12 26 13 31 40 39 14 39 38 
31 28 29 36 40 10 10 42 44 20 10 15 21 12 10 40 31 14 43 27 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
37 23 18 43 31 17 10 27 31 40 44 21 11 14 20 28 30 28 9 26 
