50
40
2
3
50
2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
22
4 12 10 33 29 37 36 24 39 1 35 16 18 6 30 13 27 38 25 40 14 22 
34
2 36 34 13 24 23 10 21 4 22 15 20 6 1 31 38 16 3 5 40 39 30 28 14 29 26 11 8 19 18 27 9 32 17 
1 2 
1 2 3 
0 0 2 0 1 2 0 1 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 2 1 2 0 0 0 0 0 1 0 0 0 0 1 1 1 0 
1 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 
0 0 0 1 0 0 0 0 1 0 1 0 1 0 3 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 
0 0 1 0 0 1 0 1 0 1 1 0 0 0 2 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 
1 0 0 0 0 1 0 2 0 0 0 0 2 1 0 2 0 1 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 
0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 1 
2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 3 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 1 
0 1 0 0 0 3 1 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 
1 0 0 0 1 0 0 0 0 0 0 0 2 2 0 0 0 1 1 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 
2 0 1 0 0 1 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 
2 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 2 0 
0 0 0 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 3 1 1 1 0 2 0 0 0 0 1 0 2 0 
0 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 
0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 1 0 0 
0 1 0 0 1 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 1 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 2 0 1 1 0 
0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 2 0 2 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 
0 0 0 3 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 2 0 1 1 1 1 2 0 0 0 2 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 
0 0 0 0 2 2 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 2 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 
1 0 1 2 0 1 0 0 0 0 1 0 0 2 1 0 0 2 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 
2 0 0 0 0 0 0 0 1 0 0 0 0 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 0 2 2 0 1 1 1 0 
0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 1 2 0 0 0 2 0 0 2 0 0 1 0 0 3 0 3 1 0 0 0 3 0 1 2 0 0 0 0 0 0 0 0 0 
