50
20
3
50
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
0 1 2 3 
1 0 0 1 0 0 1 2 0 3 0 0 3 0 0 3 2 3 3 3 3 3 3 0 0 3 0 0 3 0 0 0 3 0 0 3 3 0 3 0 0 3 1 3 0 3 3 0 0 3 
3 0 1 3 0 0 2 1 1 0 0 3 2 0 0 0 3 1 0 3 0 3 3 3 2 0 3 3 0 3 1 3 2 3 3 0 1 3 0 3 1 3 3 0 0 0 0 0 0 3 
3 0 3 3 3 3 3 1 3 3 3 3 2 0 1 2 0 3 0 2 0 0 1 0 0 3 0 0 0 3 1 0 3 3 3 0 2 0 1 0 3 3 3 1 1 0 2 3 3 3 
0 3 3 3 3 3 0 3 3 0 3 2 0 0 3 0 0 0 3 0 3 3 3 0 0 3 0 0 3 0 1 3 2 3 0 0 3 2 0 0 0 0 3 0 3 0 3 3 3 0 
3 2 3 0 2 0 3 3 3 0 0 3 0 0 3 0 1 0 3 3 0 0 3 3 0 0 3 0 0 0 0 0 0 0 2 0 0 3 3 3 3 3 0 3 0 0 3 3 2 3 
3 3 0 0 3 1 2 0 3 3 3 1 3 0 0 3 0 3 3 3 3 3 0 3 0 1 3 0 3 0 3 1 0 0 1 3 3 0 3 3 0 2 3 3 0 0 0 3 0 0 
3 1 3 0 2 0 0 0 3 0 0 3 3 3 2 0 1 0 3 2 0 0 3 0 0 3 3 3 0 0 0 0 3 3 0 0 3 3 3 1 1 2 1 0 3 0 0 3 3 0 
1 3 1 3 1 0 0 3 0 3 0 3 3 0 2 3 0 0 0 1 0 0 3 0 3 3 3 2 0 0 0 1 0 0 1 0 3 0 3 0 2 3 3 3 0 0 3 1 0 3 
3 3 0 3 3 3 0 2 0 3 0 0 3 3 3 0 2 3 0 0 3 0 0 3 0 3 0 0 0 3 0 3 2 3 0 0 3 3 0 0 0 0 3 0 3 2 1 0 3 3 
0 0 0 0 0 0 0 3 0 0 0 1 3 0 3 3 2 0 0 0 0 0 3 3 2 3 0 0 3 2 0 3 3 0 0 0 0 3 3 0 0 0 3 3 3 0 0 3 1 0 
0 2 0 1 0 0 0 0 0 3 0 1 3 3 0 0 0 1 3 3 0 3 0 0 0 0 3 0 0 3 0 0 1 0 0 0 0 3 2 1 1 0 2 0 3 3 0 3 2 0 
1 3 2 3 1 0 0 3 0 0 3 3 1 0 0 3 3 3 0 1 3 0 0 3 2 0 3 0 0 3 3 0 3 3 0 0 3 3 0 0 0 3 0 0 3 0 0 3 2 2 
3 0 0 3 2 0 0 0 0 3 3 0 3 0 3 2 3 0 1 3 3 3 0 3 0 3 2 3 0 0 0 0 0 1 3 1 3 3 0 3 3 0 3 3 3 0 0 3 3 0 
3 3 0 3 0 3 3 0 0 3 3 2 3 0 0 0 3 3 0 3 2 3 1 3 3 0 2 0 3 3 3 3 2 0 3 0 0 3 3 0 3 3 0 3 0 3 0 0 2 3 
0 1 3 3 0 0 0 2 3 0 0 0 0 3 0 0 3 2 3 0 0 0 0 0 3 0 0 0 3 3 3 3 0 0 2 0 3 0 0 3 3 3 3 1 0 3 1 3 0 0 
0 0 0 0 3 0 0 0 0 3 3 0 0 0 3 3 0 3 1 0 1 3 3 0 2 3 1 3 3 0 0 0 2 0 0 1 3 3 0 3 3 0 0 3 0 1 3 3 0 3 
0 3 1 0 3 0 3 3 0 0 0 0 0 0 0 3 1 3 3 3 3 0 1 3 3 3 3 3 3 2 0 0 2 0 0 3 3 2 2 0 3 3 3 0 0 0 1 0 2 0 
3 0 3 2 0 0 0 1 2 0 3 3 2 3 0 0 1 1 3 0 1 0 0 3 3 3 0 3 0 0 3 3 0 0 0 3 0 3 3 3 0 0 3 0 2 3 3 3 0 3 
0 0 3 3 3 1 2 3 0 3 2 0 3 0 3 3 3 3 3 3 3 0 3 0 0 0 0 0 3 0 3 0 3 3 3 0 3 0 1 2 0 3 3 3 0 3 3 3 2 0 
2 3 0 0 0 3 0 3 0 0 2 3 3 0 3 0 3 1 0 0 3 3 3 0 3 0 0 0 3 0 3 3 0 3 3 0 3 3 0 3 0 3 0 0 0 0 0 0 0 0 
0 3 1 3 3 3 3 0 3 0 0 3 0 1 0 3 3 3 3 0 3 2 0 0 0 0 3 1 3 0 0 0 0 3 3 0 0 3 0 0 3 3 3 3 3 0 1 2 0 3 
3 3 3 3 0 0 3 3 0 0 2 0 0 0 0 0 3 3 3 3 0 2 0 0 3 3 0 3 0 0 3 0 0 0 1 0 3 0 0 3 0 0 0 0 0 0 0 3 0 0 
0 0 3 2 3 0 0 3 1 0 3 0 0 3 0 3 0 3 0 0 0 1 0 0 0 3 3 3 0 0 0 0 2 0 3 3 2 0 3 2 3 0 0 3 1 0 0 3 3 0 
0 1 1 3 0 3 0 3 0 0 0 0 0 3 0 2 0 3 3 3 0 0 0 0 0 3 3 2 3 0 0 0 3 3 1 3 3 3 0 3 3 0 0 3 0 3 0 3 2 3 
3 0 0 0 0 3 3 0 0 3 3 3 3 1 3 0 0 3 0 0 0 0 3 0 0 3 3 3 0 0 3 3 2 3 0 2 2 3 3 1 3 3 3 3 0 2 3 3 3 3 
3 0 3 0 0 3 3 3 0 3 3 0 3 1 3 3 0 0 1 0 0 0 3 0 1 0 3 0 0 0 3 0 1 1 0 3 3 3 3 3 3 1 0 3 0 0 0 3 3 1 
3 0 0 3 3 0 0 3 3 3 0 3 3 3 0 0 0 1 0 0 0 1 0 3 3 0 3 3 3 0 2 3 0 0 2 2 0 2 3 0 3 0 0 0 3 0 3 3 0 0 
0 0 0 0 2 3 0 3 3 3 1 3 3 3 0 1 3 0 0 0 0 3 1 3 2 3 3 3 3 0 0 2 3 1 2 3 2 3 0 3 0 3 3 1 3 0 3 0 0 0 
3 1 0 2 0 0 2 0 0 0 0 0 2 0 0 3 1 3 3 3 0 0 3 3 0 3 3 3 3 3 3 0 0 1 0 2 0 3 0 3 0 0 0 3 0 1 3 0 0 0 
0 1 0 0 0 0 3 3 0 0 0 0 1 0 3 3 0 3 0 0 2 0 0 1 0 1 0 0 0 3 3 3 0 0 3 3 2 0 3 0 0 3 0 3 2 0 0 3 0 3 
3 0 3 3 3 0 0 0 2 3 3 0 0 0 0 0 2 0 2 3 0 3 0 2 0 1 0 0 0 0 0 1 0 3 3 0 0 0 2 0 1 3 2 0 3 2 0 0 0 3 
0 0 0 3 0 1 2 2 1 3 0 3 3 0 2 0 3 1 0 3 0 0 0 0 0 3 3 0 3 1 0 1 0 3 0 0 3 0 3 0 2 3 3 0 2 0 0 0 3 0 
3 0 1 0 0 0 0 0 2 0 0 0 1 0 2 0 1 3 0 3 3 3 0 3 3 0 3 0 0 0 2 3 3 0 0 3 2 2 3 3 3 1 3 3 3 3 3 3 3 3 
2 2 3 0 0 0 1 0 3 0 0 3 0 3 3 0 0 0 0 0 0 0 0 0 1 3 3 3 3 0 3 3 3 0 0 0 3 2 3 3 0 0 0 0 3 0 1 0 3 3 
3 3 3 1 0 3 3 3 2 0 3 3 3 3 0 3 0 3 0 3 0 0 3 0 0 0 3 3 0 3 0 3 3 0 2 0 3 3 0 3 3 1 0 3 3 0 3 0 0 3 
3 0 3 0 0 1 3 0 0 1 1 3 3 0 3 0 3 3 3 0 0 0 3 0 1 0 3 3 3 3 0 3 3 0 0 3 3 3 3 3 0 3 3 0 0 0 3 0 3 3 
1 2 3 0 0 0 3 3 0 1 0 0 0 3 3 1 3 3 3 3 3 3 0 2 3 0 0 3 3 0 3 3 0 1 3 2 1 0 0 0 0 0 3 3 3 3 3 0 3 3 
0 0 2 3 3 2 3 3 0 3 0 2 3 0 0 0 0 0 3 3 0 3 2 0 0 0 2 0 3 2 0 1 0 3 3 1 3 0 3 0 3 2 0 2 3 3 3 0 0 3 
0 3 0 3 0 3 0 3 3 3 0 3 3 0 3 0 1 3 0 3 3 3 0 3 3 0 0 0 0 0 3 3 3 0 0 0 0 0 3 3 1 3 3 3 0 3 0 1 3 0 
0 1 2 0 3 3 0 0 3 0 0 0 3 0 0 3 0 2 0 3 3 3 0 1 3 3 0 3 0 3 3 1 3 3 1 2 1 0 0 1 3 3 3 0 0 2 0 0 0 3 
1 3 0 0 3 0 3 1 3 0 3 3 1 3 3 0 0 3 3 2 0 0 3 3 0 3 2 0 3 0 0 0 3 0 0 3 3 1 3 2 3 3 0 3 2 2 3 1 3 0 
3 3 3 0 0 2 3 3 3 0 3 0 0 0 0 0 2 3 0 3 2 1 2 2 0 1 2 0 2 2 3 0 1 3 0 0 3 3 3 2 3 3 0 0 0 2 0 3 2 0 
3 2 0 2 3 0 0 1 3 0 0 0 0 0 2 0 1 3 3 0 0 0 3 3 0 3 3 0 3 3 0 1 3 0 3 3 0 3 3 0 3 0 3 3 3 0 2 0 0 3 
0 0 0 3 1 0 3 3 3 0 0 3 3 0 0 3 1 3 3 1 0 3 0 0 3 2 0 0 0 0 0 3 3 0 0 0 0 2 0 3 0 3 3 3 0 1 0 3 0 0 
3 3 3 3 3 0 3 1 3 3 3 2 3 0 0 0 0 0 3 0 0 3 3 0 3 0 2 3 0 3 3 0 0 3 3 3 0 3 0 1 0 0 2 3 3 0 1 2 3 3 
0 0 0 0 1 0 3 0 3 3 0 0 2 0 0 3 3 3 0 2 1 3 0 3 3 0 0 1 0 3 3 3 0 3 3 3 3 3 3 2 0 0 3 3 0 0 3 3 0 0 
1 3 3 3 3 3 0 3 0 0 3 0 0 3 3 3 1 3 2 0 0 0 3 3 3 0 3 0 3 3 3 0 0 1 0 0 0 3 0 3 3 1 0 0 0 3 3 0 3 3 
3 1 3 3 3 0 0 3 3 1 3 2 0 3 1 3 0 3 0 3 2 0 3 2 0 0 3 3 0 0 0 3 3 2 0 1 3 3 0 0 3 1 0 3 0 3 2 2 1 2 
0 1 3 0 0 0 3 0 0 3 0 3 1 0 0 0 2 3 3 0 0 3 3 0 0 0 3 0 0 2 0 3 3 0 3 3 3 0 0 3 0 3 0 2 3 0 2 1 3 0 
2 0 2 3 3 0 0 0 3 3 0 0 3 0 3 3 0 3 3 0 0 3 3 3 0 3 3 0 3 0 3 2 1 0 3 3 3 3 3 1 0 3 0 2 3 3 2 2 0 0 
18 27 16 19 10 27 32 24 10 27 23 10 23 15 25 25 24 18 29 15 19 17 29 31 21 13 31 16 26 28 23 16 29 10 31 25 15 13 20 27 25 29 30 23 26 29 26 17 28 16 
15 9 29 11 22 9 13 25 28 29 17 20 15 23 19 31 32 21 19 15 15 25 27 12 20 26 26 14 21 29 20 23 13 25 17 16 14 18 28 28 23 26 20 28 20 13 26 21 28 21 
9 26 19 29 15 31 26 21 13 14 16 10 15 32 19 25 27 19 25 23 15 12 11 19 29 10 29 21 17 21 25 31 18 18 29 11 17 15 15 25 26 28 30 18 20 20 25 17 15 12 
19 28 21 9 17 19 18 20 27 23 24 21 10 17 17 24 23 27 19 30 15 25 11 22 20 19 28 14 18 31 22 27 24 12 17 27 14 32 23 16 24 27 11 29 28 16 9 21 17 22 
11 9 15 12 19 14 21 11 14 26 28 18 24 20 17 24 30 17 22 16 28 17 19 21 21 22 26 14 25 30 29 17 29 20 14 16 13 31 14 20 10 29 9 14 30 31 14 20 15 11 
26 16 25 32 24 26 9 29 30 16 10 9 16 16 9 16 16 31 18 24 11 27 22 10 28 24 9 29 19 14 10 31 11 30 27 12 29 23 27 24 19 23 32 11 32 23 21 28 24 17 
25 31 17 9 20 32 20 11 12 15 9 10 16 17 32 9 9 22 13 19 14 19 30 28 15 21 18 20 24 23 31 9 24 15 18 9 17 31 15 21 9 23 9 20 14 9 19 23 30 20 
18 25 32 18 29 31 15 31 21 9 20 18 28 9 21 13 18 29 16 9 12 22 23 26 15 30 28 28 10 23 17 15 15 10 18 28 18 29 25 23 14 12 12 14 25 18 12 19 27 20 
22 21 30 24 29 19 25 27 23 23 24 11 10 16 26 16 13 30 13 10 18 19 25 9 21 28 26 17 32 18 30 19 23 17 24 16 11 25 31 11 18 23 29 10 26 22 9 18 27 12 
26 30 19 17 10 31 14 24 28 10 16 28 25 24 13 15 21 9 17 32 16 18 26 14 31 15 16 25 9 32 30 25 15 32 16 29 18 16 18 30 13 23 13 15 31 11 28 14 25 27 
17 26 31 26 22 21 11 23 16 28 24 20 12 17 26 20 14 20 19 18 18 14 18 17 18 29 22 19 31 16 13 20 31 24 32 29 12 23 10 21 9 13 25 15 9 28 9 12 18 15 
28 16 31 24 23 22 26 19 23 28 9 15 24 25 9 20 17 17 13 22 17 14 11 20 17 24 12 14 32 28 25 21 26 32 10 14 31 9 21 29 23 31 32 28 13 18 10 31 21 26 
17 22 26 9 27 22 24 30 14 26 11 13 11 20 30 19 12 23 26 24 14 15 9 20 16 18 11 11 16 13 11 32 25 15 9 13 17 29 12 21 20 22 10 13 18 26 13 10 9 28 
20 17 25 20 32 9 24 22 12 11 25 16 27 21 11 12 12 15 10 29 26 31 24 23 19 29 29 32 30 9 28 17 30 18 12 18 12 28 14 22 27 12 31 11 12 19 30 29 19 32 
20 32 26 18 22 28 20 29 28 23 29 15 11 31 32 30 20 11 20 21 14 13 9 20 27 24 9 28 31 19 18 10 20 14 26 29 12 17 28 29 26 12 12 20 12 15 10 29 10 20 
14 27 14 10 20 20 17 24 11 20 28 11 18 30 30 22 18 18 18 18 11 25 29 31 31 13 17 14 21 22 17 11 21 30 9 28 16 31 24 20 20 12 25 19 30 30 12 24 32 15 
26 27 10 30 20 14 32 10 13 23 16 17 13 12 29 27 31 15 9 31 22 13 22 13 14 20 24 19 21 23 23 9 9 14 20 14 11 11 19 11 24 27 20 26 21 29 28 11 22 26 
22 26 13 20 20 32 21 24 13 27 30 17 26 27 20 23 27 15 19 14 26 27 14 30 23 17 14 9 9 10 21 15 26 18 9 13 9 15 26 26 22 28 16 13 13 20 10 9 26 30 
16 24 19 23 14 28 25 32 28 14 29 19 12 24 23 14 18 31 19 10 24 22 12 21 24 14 27 15 10 18 18 11 30 29 12 17 22 32 29 10 20 29 13 18 9 26 14 20 25 20 
26 16 32 15 18 14 21 9 28 23 27 20 13 13 29 13 21 21 15 30 11 17 10 10 28 19 26 15 26 25 14 24 26 25 17 17 23 9 9 32 11 11 20 17 13 15 11 9 13 23 
