"I","L","S","% T","% TL","% P","% PL","% Null","BLS ambulances","ALS ambulances"
168,100,10,33.4130220354358,18.7535912363499,42.4369486835004,4.97977137804724,0,35,20
168,100,50,29.7308015713227,21.5427939957254,45.254503814139,3.47190061881291,0,35,20
168,100,100,30.504736418997,20.9416341981636,44.2225381824787,3.99302394354343,0.338067256817257,35,20
168,100,150,31.6592993182922,18.6667224505826,44.9435875955186,4.08750652472282,0.52216304826515,35,20
168,100,200,30.6773740230105,19.7827376024204,45.5305697000456,3.53816262612446,0.471156048399038,35,20
270,100,10,31.2911814489591,8.4435693137467,52.8842545741439,7.11783676841343,0,35,20
270,100,50,33.9473028831315,12.6182431034474,45.024371298376,7.83131793360047,0.578764781444668,35,20
270,100,100,32.8389530449834,15.7362202743603,43.177325603978,6.65319702806131,1.52097071528373,35,20
270,100,150,32.3080463641613,15.6940480374391,44.3302153113896,6.31144462722941,1.35624565978052,35,20
270,100,200,31.3345575837039,17.3653660731581,44.6984391137229,5.54228506863877,1.02416697559112,35,20
500,100,10,34.2782055032509,6.45741964865224,47.028665002657,8.62649892489877,3.60921092054111,35,20
500,100,50,35.4530394719917,9.87508328090811,42.1357956283932,7.0074205838661,5.52866103484089,35,20
500,100,100,34.3150832896021,10.3936802256831,41.2927246009178,5.89516722159015,8.10334466220682,35,20
500,100,150,34.1746197957543,12.3637002825752,39.6293014892891,6.43739264296429,7.39498578941709,35,20
500,100,200,34.1902358590986,10.478957497765,42.6319141658451,6.23081882228413,6.46807365500716,35,20
900,100,10,38.5016938933225,2.34168141436835,40.6569619431219,7.36398805040158,11.1356746987857,35,20
900,100,50,35.2939150537796,5.63373381082674,36.1200101378616,5.80772732812369,17.1446136694084,35,20
900,100,100,36.6345932575411,7.03125618515159,33.856542882384,3.50140037917569,18.9762072957476,35,20
900,100,150,37.4727969551382,6.62723027029831,32.0680779328325,3.30957242410014,20.5223224176309,35,20
900,100,200,37.2635521636824,7.23078777207836,32.6389211192147,3.45291981011686,19.4138191349077,35,20
1500,100,10,43.2195686366814,3.04699893510857,33.9009932619394,6.54004030685525,13.2923988594154,35,20
1500,100,50,39.1354635951818,5.2428847493047,23.6925342734303,4.2597371622181,27.6693802198651,35,20
1500,100,100,40.0664480065653,4.92682753544494,21.0614321179279,1.505619277605,32.4396730624568,35,20
1500,100,150,39.9710829961835,5.19254935535382,22.4912781512448,1.88779345855515,30.4572960386627,35,20
1500,100,200,39.5034800001782,5.12645901901737,22.6350732190264,1.75120176780507,30.983785993973,35,20
