"I","L","S","% T","% TL","% P","% PL","% Null","BLS ambulances","ALS ambulances"
168,50,10,25.3192916947475,26.6448681363829,42.8496897445705,5.18615042429909,0,35,20
168,50,50,26.9619926708728,23.1444180249108,44.2381013940509,5.51509382149553,0.140394088669951,35,20
168,50,100,26.2752826288402,25.1510178679803,43.2582822275672,4.82615658603505,0.489260689577225,35,20
168,50,150,25.7247423909689,24.5717801354366,43.1284286608337,6.26066206449862,0.288745722621164,35,20
168,50,200,27.1863462919545,24.373020145496,42.1296590525489,6.03605339020038,0.274921119800152,35,20
270,50,10,27.5000010382126,16.5744120179841,43.5380859398174,12.3875010039858,0,35,20
270,50,50,27.0136655395248,21.7852431646986,42.2367553929813,8.26056428987726,0.703771612917954,35,20
270,50,100,28.3341028413762,19.7702429048978,41.8115028095043,8.80260800725747,1.2815434369642,35,20
270,50,150,27.6895540850456,20.4176124725895,43.1502301971096,7.42320311366856,1.22767870585997,35,20
270,50,200,28.0660352599432,21.6942876909156,40.899466086602,8.36153324030598,0.96305272223316,35,20
500,50,10,28.2554210519878,11.2593409779131,44.3755194077554,14.5541630067881,1.55555555555556,35,20
500,50,50,31.4101084441934,13.6478173135045,38.9964362751488,11.7717570994835,4.11138086766984,35,20
500,50,100,30.6238440737785,13.3672497953684,40.7369398055848,7.45886194147493,7.81310438379338,35,20
500,50,150,30.6964215875716,13.0343004981609,41.9920039993947,7.42392633418699,6.85334758068585,35,20
500,50,200,31.2265284235271,13.6482222538658,40.5313530215542,7.68473927941555,6.90915702163735,35,20
900,50,10,36.3238366498586,4.38054835382975,36.2076463298093,5.61873675667942,17.4692319098229,35,20
900,50,50,35.0662082701785,5.70095561494314,32.3194815088318,9.00106273215448,17.912291873892,35,20
900,50,100,34.6536762875496,8.80406246944601,34.4703364913069,3.17346158320746,18.8984631684901,35,20
900,50,150,34.6006576461497,9.06963160205293,33.7969339325783,4.10454405928472,18.4282327599344,35,20
900,50,200,33.9291366574915,8.19404326937276,32.7832993879919,3.42646313066323,21.6670575544806,35,20
1500,50,10,35.8523118244032,6.5045569737183,36.4690159853845,8.9272452517397,12.0385366314209,35,20
1500,50,50,38.0448343545837,5.26583794956706,24.2735001775666,6.27005262916477,25.9889121440198,35,20
1500,50,100,36.7313951407659,6.74138267293895,25.2796349106391,1.90442272772142,29.3431645479346,35,20
1500,50,150,36.9295439388119,6.12246669514945,24.7101387409336,1.86690818934602,30.370942435759,35,20
1500,50,200,36.9336939539267,7.17643268764831,24.0776922990716,1.84042121289502,29.9717598464583,35,20
