"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,2.64866310160428,11.4674240512263,0,85.8839128471694,0,10,6
168,16,50,2.0306377028345,11.8682829159187,0.330546265328874,85.7705331159179,0,10,6
168,16,100,1.76172223497207,13.9971275882689,0.423642401312941,83.8175077754461,0,10,6
168,16,150,1.46175885549323,11.7123942009012,0.406868160860189,86.4189787827453,0,10,6
168,16,200,1.61031359951111,12.6998918027925,0.246681697446315,85.4431129002501,0,10,6
270,16,10,2.03992869875223,15.9825649161936,0,81.9775063850542,0,10,6
270,16,50,2.05189144798892,12.7069547639529,0.0571428571428571,85.1840109309153,0,10,6
270,16,100,1.81055131712199,14.132131531532,0.106277630415561,83.9510395209305,0,10,6
270,16,150,1.78900036156109,13.6179874418009,0.0926604259937593,84.5003517706443,0,10,6
270,16,200,1.7914060742889,14.3491615190594,0.105954689467621,83.7534777171841,0,10,6
500,16,10,3.01309746035912,20.8899512088153,0,76.0969513308256,0,10,6
500,16,50,2.02476646266773,16.2700823762201,0.182901337792642,81.5222498233195,0,10,6
500,16,100,1.77731712390579,15.9572466144112,0.055052790346908,82.2103834713361,0,10,6
500,16,150,1.72765440332971,16.2211620655284,0.100970412097154,81.9502131190448,0,10,6
500,16,200,2.03064566068838,17.6614406320763,0.0633906633906634,80.2445230438447,0,10,6
900,16,10,1.88461962930048,18.668355213568,0,79.4470251571315,0,10,6
900,16,50,1.91482126484299,20.6334088426392,0.037037037037037,77.4147328554808,0,10,6
900,16,100,2.32817996533498,20.0683941554504,0.050125313283208,77.5533005659314,0,10,6
900,16,150,2.54399618271193,20.7759783699313,0.0485683906736538,76.6314570566831,0,10,6
900,16,200,2.21023319266303,20.0772261407595,0.097836788534463,77.614703878043,0,10,6
1500,16,10,2.91969514337663,23.0166241128433,0,74.0636807437801,0,10,6
1500,16,50,3.71009687476491,24.2009481715245,0.0862708719851577,72.0026840817255,0,10,6
1500,16,100,2.37601426947272,23.2970125955932,0,74.3269731349341,0,10,6
1500,16,150,2.53122299181264,23.6319468410837,0.0878588696336602,73.74897129747,0,10,6
1500,16,200,2.68698510050879,23.374401917971,0.149833969548405,73.7887790119718,0,10,6
168,16,10,3.39732620320856,10.718760949622,0.4,85.4839128471694,0,20,11
168,16,50,2.5727996642952,11.326120954458,0.564620339402948,85.5364590418438,0,20,11
168,16,100,2.68796118781145,13.0708886354295,0.619018088946693,83.6221320878123,0,20,11
168,16,150,2.25233992922076,10.9218131271737,0.744002879746663,86.0818440638589,0,20,11
168,16,200,2.35009850997697,11.9601068923266,0.424822547656131,85.2649720500403,0,20,11
270,16,10,2.94203182675479,15.080461788191,0.37037037037037,81.6071360146838,0,20,11
270,16,50,2.81726426419366,11.9415819477481,0.345054945054945,84.8960988430033,0,20,11
270,16,100,3.1785259414437,12.7641569072103,0.186405835543767,83.8709113158022,0,20,11
270,16,150,2.55642144410828,12.8505663592537,0.413709019226261,84.1793031774118,0,20,11
270,16,200,2.65518166496509,13.4853859283832,0.425265692450692,83.434166714201,0,20,11
500,16,10,4.55727145179478,19.3457772173797,0.27027027027027,75.8266810605553,0,20,11
500,16,50,3.36602029133587,14.928828547552,0.322324414715719,81.3828267463964,0,20,11
500,16,100,2.67662550914356,15.0579382291735,0.105934087841983,82.159502173841,0,20,11
500,16,150,2.70151968491058,15.2472967839475,0.235268056419973,81.8159154747219,0,20,11
500,16,200,3.05539555512553,16.6366907376392,0.250826666293443,80.0570870409419,0,20,11
900,16,10,2.54688053624224,18.0060943066262,0,79.4470251571315,0,20,11
900,16,50,2.96327925745144,19.5849508500308,0.132897603485839,77.3188722890319,0,20,11
900,16,100,3.24597659166559,19.1505975291198,0.115854953630459,77.4875709255841,0,20,11
900,16,150,3.86575149863551,19.4542230540077,0.195255111399531,76.4847703359572,0,20,11
900,16,200,3.07539482514717,19.2120645082754,0.25693068655049,77.455609980027,0,20,11
1500,16,10,3.82612789191464,22.1101913643053,0,74.0636807437801,0,20,11
1500,16,50,5.00846809714593,22.9025769491434,0.276202157630729,71.8127527960799,0,20,11
1500,16,100,3.76822845677903,21.9047984082869,0.132143778717127,74.1948293562169,0,20,11
1500,16,150,3.69757192763414,22.4655979052622,0.216800915661438,73.6200292514422,0,20,11
1500,16,200,4.1885648182736,21.8728222002062,0.293012106712123,73.6456008748081,0,20,11
168,16,10,3.81399286987522,10.3020942829554,0.4,85.4839128471694,0,35,20
168,16,50,3.01014602164156,10.8887745971117,1.33430413386935,84.7667752473774,0,35,20
168,16,100,3.51774796544453,12.2411018577964,1.20309936761962,83.0380508091394,0,35,20
168,16,150,2.87205333465308,10.3020997217414,1.11889505752366,85.7069518860819,0,35,20
168,16,200,3.15316971043173,11.1570356918719,0.591603417526303,85.0981911801701,0,35,20
270,16,10,3.68685941296169,14.3356342019842,0.958605664488017,81.0189007205662,0,35,20
270,16,50,3.54309203394158,11.2157541780002,0.818757952573742,84.4223958354845,0,35,20
270,16,100,3.57843550078872,12.3642473478653,0.470747463151523,83.5865696881945,0,35,20
270,16,150,3.60268506078597,11.804302742576,0.851117935145906,83.7418942614921,0,35,20
270,16,200,3.44821803206997,12.6923495612783,0.704066099522095,83.1553663071296,0,35,20
500,16,10,6.25777650229983,17.6452721668746,0.27027027027027,75.8266810605553,0,35,20
500,16,50,4.36407683368,13.9307720052079,0.381147944127484,81.3240032169847,0,35,20
500,16,100,3.8760806545623,13.8584830837547,0.187848332914122,82.0775879287688,0,35,20
