"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,10.766545503832,38.5838164267628,26.1295915190831,24.1629036931792,0,35,20
168,16,50,13.9694285285992,37.9533382821866,25.3371904178945,22.3743611411219,0.365681630197759,35,20
168,16,100,14.1071485890307,38.5925082783443,25.9709379647525,21.005820467972,0.323584699900489,35,20
168,16,150,13.7065088737502,36.3760532383885,28.5449644070222,20.972430191443,0.400043289396113,35,20
168,16,200,13.0806414892905,37.3574033219748,29.3878677189413,19.5845349078,0.571695419136331,35,20
270,16,10,14.5780169839847,35.004116464456,27.8055880989584,22.6122784526009,0,35,20
270,16,50,15.4095968567465,32.4147746029645,30.3085640418534,21.2387964350633,0.628268063372428,35,20
270,16,100,14.2889609157818,34.3726341964615,30.2710236794163,20.1050383668971,0.962342841443268,35,20
270,16,150,15.0831662202131,32.9183637703607,30.1473344947746,20.9643853490397,0.578637290832401,35,20
270,16,200,14.5071274067015,33.2466704345876,32.3795492319666,19.3807028729516,0.485950053792718,35,20
500,16,10,22.6404171920399,28.9730923805975,28.4523711245821,19.9341193027806,0,35,20
500,16,50,18.9138943024681,23.7323123212392,32.998522023125,22.3025686994576,2.05270265371021,35,20
500,16,100,18.0079712331685,25.8536145830115,34.5277145025356,17.5348295652245,4.07587011605984,35,20
500,16,150,18.5681540407525,25.2729309602992,34.327393220899,17.6710859705429,3.98879552343005,35,20
500,16,200,20.4711308696517,23.5465655570183,34.2795010443807,17.0948789808993,4.60792354805012,35,20
900,16,10,17.4237344583089,13.3991534869194,35.836654911123,32.1301481886588,0.940038684719536,35,20
900,16,50,20.9390613031582,17.4272801794692,32.9990841125745,20.6290338613114,8.00554054348667,35,20
900,16,100,20.5106843590765,21.3409437255126,34.6000913353769,7.97731964938742,15.5709609306466,35,20
900,16,150,20.4721243410041,22.5369347543393,33.7850649352038,10.4355447955527,12.7269280891177,35,20
900,16,200,21.2844992573471,20.4879979632313,34.2701431254261,9.13373094363252,14.823628710363,35,20
1500,16,10,20.9764987217746,15.4351474132969,36.1054570088578,16.3127157410247,10.5451811150461,35,20
1500,16,50,23.8622667163347,14.4239114154096,26.7870823360988,16.3254002673222,18.6013392648346,35,20
1500,16,100,23.4423661833471,19.2077419204817,29.8296931094899,4.65207729028774,22.8681214963935,35,20
1500,16,150,24.2392410132449,17.7954120277135,27.7092487474875,2.46928088912308,27.7868173224311,35,20
1500,16,200,23.9363428655453,18.4554255670503,28.8153961195522,3.124947446934,25.6678880009182,35,20
