"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,0,14.1160871528306,0,85.8839128471694,0,10,6
168,16,50,0,13.8989206187532,0,86.1010793812468,0,10,6
168,16,100,0,15.758849823241,0,84.241150176759,0,10,6
168,16,150,0,13.1741530563945,0,86.8258469436055,0,10,6
168,16,200,0,14.3102054023036,0,85.6897945976964,0,10,6
270,16,10,0,18.0224936149458,0,81.9775063850542,0,10,6
270,16,50,0,14.7588462119418,0,85.2411537880582,0,10,6
270,16,100,0,15.942682848654,0,84.057317151346,0,10,6
270,16,150,0,15.406987803362,0,84.593012196638,0,10,6
270,16,200,0,16.1405675933483,0,83.8594324066517,0,10,6
500,16,10,0,23.9030486691744,0,76.0969513308256,0,10,6
500,16,50,0,18.2948488388879,0,81.7051511611121,0,10,6
500,16,100,0,17.734563738317,0,82.265436261683,0,10,6
500,16,150,0,17.9488164688581,0,82.0511835311419,0,10,6
500,16,200,0,19.6920862927647,0,80.3079137072353,0,10,6
900,16,10,0,20.5529748428685,0,79.4470251571315,0,10,6
900,16,50,0,22.5482301074822,0,77.4517698925178,0,10,6
900,16,100,0,22.3965741207854,0,77.6034258792146,0,10,6
900,16,150,0,23.3199745526432,0,76.6800254473568,0,10,6
900,16,200,0,22.2874593334225,0,77.7125406665775,0,10,6
1500,16,10,0,25.9363192562199,0,74.0636807437801,0,10,6
1500,16,50,0,27.9110450462894,0,72.0889549537106,0,10,6
1500,16,100,0,25.673026865066,0,74.3269731349341,0,10,6
1500,16,150,0,26.1631698328963,0,73.8368301671037,0,10,6
1500,16,200,0,26.0613870184798,0,73.9386129815202,0,10,6
168,16,10,0,14.1160871528306,0,85.8839128471694,0,20,11
168,16,50,0,13.8989206187532,0,86.1010793812468,0,20,11
168,16,100,0,15.758849823241,0,84.241150176759,0,20,11
168,16,150,0,13.1741530563945,0,86.8258469436055,0,20,11
168,16,200,0,14.3102054023036,0,85.6897945976964,0,20,11
270,16,10,0,18.0224936149458,0,81.9775063850542,0,20,11
270,16,50,0,14.7588462119418,0,85.2411537880582,0,20,11
270,16,100,0,15.942682848654,0,84.057317151346,0,20,11
270,16,150,0,15.406987803362,0,84.593012196638,0,20,11
270,16,200,0,16.1405675933483,0,83.8594324066517,0,20,11
500,16,10,0,23.9030486691744,0,76.0969513308256,0,20,11
500,16,50,0,18.2948488388879,0,81.7051511611121,0,20,11
500,16,100,0,17.734563738317,0,82.265436261683,0,20,11
500,16,150,0,17.9488164688581,0,82.0511835311419,0,20,11
500,16,200,0,19.6920862927647,0,80.3079137072353,0,20,11
900,16,10,0,20.5529748428685,0,79.4470251571315,0,20,11
900,16,50,0,22.5482301074822,0,77.4517698925178,0,20,11
900,16,100,0,22.3965741207854,0,77.6034258792146,0,20,11
900,16,150,0,23.3199745526432,0,76.6800254473568,0,20,11
900,16,200,0,22.2874593334225,0,77.7125406665775,0,20,11
1500,16,10,0,25.9363192562199,0,74.0636807437801,0,20,11
1500,16,50,0,27.9110450462894,0,72.0889549537106,0,20,11
1500,16,100,0,25.673026865066,0,74.3269731349341,0,20,11
1500,16,150,0,26.1631698328963,0,73.8368301671037,0,20,11
1500,16,200,0,26.0613870184798,0,73.9386129815202,0,20,11
168,16,10,0,14.1160871528306,0,85.8839128471694,0,35,20
168,16,50,0,13.8989206187532,0,86.1010793812468,0,35,20
168,16,100,0,15.758849823241,0,84.241150176759,0,35,20
168,16,150,0,13.1741530563945,0,86.8258469436055,0,35,20
168,16,200,0,14.3102054023036,0,85.6897945976964,0,35,20
270,16,10,0,18.0224936149458,0,81.9775063850542,0,35,20
270,16,50,0,14.7588462119418,0,85.2411537880582,0,35,20
270,16,100,0,15.942682848654,0,84.057317151346,0,35,20
270,16,150,0,15.406987803362,0,84.593012196638,0,35,20
270,16,200,0,16.1405675933483,0,83.8594324066517,0,35,20
500,16,10,0,23.9030486691744,0,76.0969513308256,0,35,20
500,16,50,0,18.2948488388879,0,81.7051511611121,0,35,20
500,16,100,0,17.734563738317,0,82.265436261683,0,35,20
500,16,150,0,17.9488164688581,0,82.0511835311419,0,35,20
500,16,200,0,19.6920862927647,0,80.3079137072353,0,35,20
900,16,10,0,20.5529748428685,0,79.4470251571315,0,35,20
900,16,50,0,22.5482301074822,0,77.4517698925178,0,35,20
900,16,100,0,22.3965741207854,0,77.6034258792146,0,35,20
900,16,150,0,23.3199745526432,0,76.6800254473568,0,35,20
900,16,200,0,22.2874593334225,0,77.7125406665775,0,35,20
1500,16,10,0,25.9363192562199,0,74.0636807437801,0,35,20
1500,16,50,0,27.9110450462894,0,72.0889549537106,0,35,20
1500,16,100,0,25.673026865066,0,74.3269731349341,0,35,20
1500,16,150,0,26.1631698328963,0,73.8368301671037,0,35,20
1500,16,200,0,26.0613870184798,0,73.9386129815202,0,35,20
