"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances","NA"
168,16,10,4.23290043290043,1.34173669467787,23.81365140454,5.22001221967197,65.3916992482098,10,10,6
168,16,50,5.07518643731504,2.08346085307184,24.2674596648224,9.59705225264311,58.9768407921477,10,10,6
168,16,100,4.99500939188176,1.61106390768182,24.4513347501853,9.84145924954399,59.1011327007071,10,10,6
168,16,150,4.88290325621534,2.75511610939355,25.6242571084559,9.43645594345359,57.3012675824816,10,10,6
168,16,200,5.00059498780838,2.70022690155306,27.0337753228703,7.45202217027266,57.8133806174956,10,10,6
270,16,10,3.34336194944714,2.24854113894362,23.9817954027199,7.32603012643581,63.1002713824535,10,10,6
270,16,50,4.22822973160465,1.05553104974305,24.3529493838468,4.60090561559283,65.7623842192127,10,10,6
270,16,100,4.79035658151484,2.30088611640929,23.7877120471894,5.01797296664956,64.1030722882369,10,10,6
270,16,150,4.99243431770874,1.98637749519718,23.926051258277,4.87239524227664,64.2227416865404,10,10,6
270,16,200,4.65040455990619,2.36341379581815,24.4470639620361,4.38319990757371,64.1559177746658,10,10,6
500,16,10,5.79143663301878,1.5448275862069,22.2482686171327,3.54970974108905,66.8657574225525,10,10,6
500,16,50,5.77179358677281,0.49950108662158,19.5555600755355,2.27347548595877,71.8996697651113,10,10,6
500,16,100,5.01525641425067,0.780870377888504,20.1056275064726,2.86044926124277,71.2377964401455,10,10,6
500,16,150,5.27129726588643,0.884285255797074,20.2719600144113,2.39741602862039,71.1750414352848,10,10,6
500,16,200,5.812323778215,0.966191492519946,19.1087673160298,1.89223950961995,72.2204779036153,10,10,6
900,16,10,3.01039037475208,0.454545454545455,18.6996999789553,0.526680526680527,77.3086836650667,10,10,6
900,16,50,5.15380762371494,0,16.5409287395785,1.46424354266937,76.8410200940372,10,10,6
900,16,100,4.99049828476357,0.147687425895273,16.5521176612469,1.44223229483316,76.8674643332611,10,10,6
900,16,150,5.86696670988887,0.31260639168337,15.3221358659785,1.95475995454849,76.5435310779008,10,10,6
900,16,200,4.99961496359525,0.256963799580292,16.5827912057127,1.43836091141922,76.7222691196925,10,10,6
1500,16,10,4.9525567538448,0,15.3776912892243,0,79.6697519569309,10,10,6
1500,16,50,5.28118256336506,0.0825531914893617,12.6301230639185,1.01668621944093,80.9894549617862,10,10,6
1500,16,100,5.20513480324832,0.17959526839132,14.3083032079034,1.08296577206172,79.2240009483953,10,10,6
1500,16,150,4.79121924525935,0.108898356117076,13.6131968118037,0.97678573344718,80.5098998533727,10,10,6
1500,16,200,5.36924845192797,0.103563225404325,13.7511545677738,0.864038876169899,79.911994878724,10,10,6
168,16,10,5.31262393520458,3.57871148459384,30.3930592744733,17.1833079110904,43.5322973946379,20,20,11
168,16,50,6.19556375537303,3.4080501356705,29.1731594697985,20.5970153314088,40.6262113077492,20,20,11
168,16,100,7.0398326033371,5.88318581226751,34.2223328732761,16.6830542579996,36.1715944531197,20,20,11
168,16,150,6.03365846258275,4.50057718887656,36.000114517749,17.7986325457832,35.6670172850085,20,20,11
168,16,200,6.49142685857052,4.96001775114009,35.8233881220927,15.7067627147616,37.0184045534351,20,20,11
270,16,10,5.97369150743764,5.78687502866002,30.214547514729,16.509915336829,41.5149706123444,20,20,11
270,16,50,7.09243920829333,2.24853496648646,32.0253817925197,13.7858489317464,44.8477951009541,20,20,11
270,16,100,6.70002116576675,4.92406114191304,33.8928190970679,10.6029024066998,43.8801961885526,20,20,11
270,16,150,6.74582574223147,4.00379199505985,33.641505616415,11.2526864071729,44.3561902391208,20,20,11
270,16,200,6.35140478039166,4.29489456125118,34.6822745482372,10.3682553013956,44.3031708087243,20,20,11
500,16,10,9.5470265858704,1.21666666666667,28.9575649593905,10.5677822391818,49.7109595488906,20,20,11
500,16,50,8.42541833698437,1.60327801416998,29.3715006651253,8.15220583524205,52.4475971484784,20,20,11
500,16,100,7.49677708899162,2.6915593873168,30.5099106909775,6.7675748251345,52.5341780075795,20,20,11
500,16,150,7.59837935621172,2.79791645189132,30.6380040963296,6.00555692026521,52.9601431753021,20,20,11
500,16,200,8.19715194016873,2.76727586530123,29.3089039059948,5.49999595953597,54.2266723289993,20,20,11
900,16,10,7.87564697937038,0.880077369439072,28.5047204807843,4.27772226176481,58.4618329086414,20,20,11
900,16,50,7.98491158330171,0.679317993606029,24.3115667947918,4.24493738389386,62.7792662444066,20,20,11
900,16,100,8.18682721651508,0.447595304278908,24.8965289943753,3.93622876420483,62.5328197206258,20,20,11
900,16,150,8.93024174180731,0.82782616389481,24.2293123058083,4.64512624460907,61.3674935438805,20,20,11
900,16,200,7.62093357998962,0.685404887095996,25.6654114549467,3.86101030180223,62.1672397761655,20,20,11
1500,16,10,10.4111893067915,0.715979137031769,22.920716871605,2.36653836499038,63.5855763195813,20,20,11
1500,16,50,7.84439807858644,0.37813881699514,20.0153996016198,2.85123968621938,68.9108238165793,20,20,11
1500,16,100,8.52949174064437,0.460524286001091,21.7306672907121,3.20178301330598,66.0775336693365,20,20,11
1500,16,150,7.90927191939809,0.260774272610144,21.0481028470915,2.73231088810076,68.0495400727995,20,20,11
1500,16,200,8.5810650292705,0.29505808313442,21.4835331277176,2.60604796974778,67.0342957901297,20,20,11
168,16,10,6.67466875313175,2.58913929208047,27.5693261590206,38.4882700779776,24.6785957177896,35,35,20
168,16,50,6.89805302237842,5.02823129632432,24.7099450759045,43.4906824247201,19.8730881806727,35,35,20
168,16,100,7.8829578089996,7.65115402075338,37.3032557042846,30.895430626427,16.2672018395355,35,35,20
168,16,150,6.79195659598208,6.00004758076639,38.6272380281069,34.688182219863,13.8925755752817,35,35,20
168,16,200,7.53589790285184,6.3477927482904,38.7695418791705,34.0151975035578,13.3315699661295,35,35,20
270,16,10,9.3132179414874,5.91974569878915,27.4872982751919,35.6109606489024,21.6687774356291,35,35,20
270,16,50,8.44228808783822,3.87636531753662,31.6574013634305,31.7213914300164,24.3025538011782,35,35,20
270,16,100,7.70514531524061,6.91351140547436,40.9822146439014,23.5829583378583,20.8161702975253,35,35,20
270,16,150,8.17715569941212,6.39379257944276,40.9248459770093,24.2108812048241,20.2933245393117,35,35,20
270,16,200,7.81008454007893,7.28724916123695,42.8479962484588,22.6958981939059,19.3587718563194,35,35,20
500,16,10,14.5496227741664,5.85939844509824,32.3909128841178,26.353868749812,20.8461971468057,35,35,20
500,16,50,10.5303211895361,1.96473689196603,31.1001148479911,20.6478774350249,35.7569496354818,35,35,20
500,16,100,9.62140271649542,5.34224325710097,41.2441948296625,16.222233829922,27.569925366819,35,35,20
500,16,150,9.6211955437577,5.43283740040297,41.0516077535272,15.5344530903108,28.3599062120013,35,35,20
500,16,200,10.9089688679005,5.86714824447199,40.6175301543079,14.7677560937046,27.8385966396149,35,35,20
900,16,10,11.0209978428064,2.4769173465982,35.1145154602601,14.9994651696779,36.3881041806574,35,35,20
900,16,50,10.5578348011035,1.96846027830104,32.6784308903495,11.0967724542512,43.6985015759948,35,35,20
900,16,100,10.9874638389053,1.76348769387736,34.3326562080407,10.5380986943332,42.3782935648434,35,35,20
900,16,150,11.9140105468907,1.88270757099364,32.3750040376898,12.0840574462567,41.7442203981692,35,35,20
900,16,200,11.0143040836665,1.80593469664203,34.1149759646121,10.7444239293064,42.320361325773,35,35,20
1500,16,10,13.1025215497184,1.50514857839322,35.6785622448614,7.93830959705048,41.7754580299765,35,35,20
1500,16,50,12.3756893818271,0.645815727114809,27.3045932362065,8.20102840573039,51.4728732491212,35,35,20
1500,16,100,11.7576875778994,1.46704041640486,30.0775925822894,8.65476151281002,48.0429179105963,35,35,20
1500,16,150,11.5777235261579,0.966983258117924,29.2447476135269,7.29906309540997,50.9114825067874,35,35,20
1500,16,200,12.3661328608572,1.03408592997257,29.8673504811821,7.46715109395746,49.2652796340307,35,35,20
