"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances","NA"
168,16,10,5.27701807995926,1.34173669467787,24.8730667835948,9.28928287464242,59.2188955671256,10,10,6
168,16,50,5.07518643731504,2.17436994398093,26.8736755346245,15.9074251339534,49.9693429501261,10,10,6
168,16,100,4.99500939188176,2.06231401475649,26.5268306183301,14.6015602696868,51.8142857053448,10,10,6
168,16,150,4.88290325621534,2.78686214113958,28.5058950478788,13.7779876292741,50.0463519254922,10,10,6
168,16,200,5.00059498780838,2.70022690155306,30.1560651045448,11.7867784653875,50.3563345407062,10,10,6
270,16,10,3.34336194944714,2.70308659348907,26.9845555300343,11.081274446386,55.8877214806434,10,10,6
270,16,50,4.22822973160465,1.22582090481552,28.5468203305093,7.67306829215344,58.3260607409171,10,10,6
270,16,100,4.79035658151484,2.30088611640929,26.7890288658909,8.91941351143949,57.2003149247455,10,10,6
270,16,150,4.99243431770874,1.98637749519718,27.1143455239703,8.62408175802083,57.282760905103,10,10,6
270,16,200,4.65040455990619,2.36341379581815,27.1042805681851,8.99957342372515,56.8823276523654,10,10,6
500,16,10,5.79143663301878,1.5448275862069,25.8044637205895,6.71946305516285,60.139809005022,10,10,6
500,16,50,5.77179358677281,0.49950108662158,24.7521484694665,4.50354848050717,64.4730083766319,10,10,6
500,16,100,5.01525641425067,0.780870377888504,24.6847903740798,5.50063464910959,64.0184481846715,10,10,6
500,16,150,5.27129726588643,0.905118589130407,24.9996230724098,4.62912843013141,64.1948326424419,10,10,6
500,16,200,5.812323778215,0.966191492519946,23.4145657832656,4.23304668065474,65.5738722653447,10,10,6
900,16,10,3.01039037475208,0.454545454545455,22.5628693155289,1.70173307141392,72.2704617837597,10,10,6
900,16,50,5.15380762371494,0,22.0459503143629,2.64772843628874,70.1525136256334,10,10,6
900,16,100,4.99049828476357,0.193670512576034,21.1156721058779,2.70810558842332,70.9920535083591,10,10,6
900,16,150,5.86696670988887,0.456339385248407,20.0565791783866,3.50467719702613,70.11543752945,10,10,6
900,16,200,4.99961496359525,0.30897803182748,20.8547633800483,2.68275320014095,71.153890424388,10,10,6
1500,16,10,4.9525567538448,0,19.7265190845361,1.17670301880828,74.1442211428108,10,10,6
1500,16,50,5.28118256336506,0.166997635933806,17.3843258839312,1.9625872211013,75.2049066956686,10,10,6
1500,16,100,5.20513480324832,0.220934664836132,18.7231660679249,2.18709057712777,73.6636738868629,10,10,6
1500,16,150,4.79121924525935,0.145744842963563,17.3789817258325,2.02547689709131,75.6585772888533,10,10,6
1500,16,200,5.36924845192797,0.158956001151024,17.9477226464207,1.86784968871597,74.6562232117844,10,10,6
168,16,10,7.06752589598889,5.94734859461026,27.356106875959,24.6668735144983,34.9621451189435,20,20,11
168,16,50,8.8783388567456,4.78850533874939,27.1505505770284,30.6594009368691,28.5232042906075,20,20,11
168,16,100,9.55201290008976,7.71052810618667,31.4012454524102,26.7944744405186,24.5417391007948,20,20,11
168,16,150,8.66157362240068,6.50102683743516,31.9065934421914,26.373838634163,26.5569674638098,20,20,11
