"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,13.7712595666237,0,76.7374304499836,0,9.49130998339269,10,6
168,16,50,13.3281019053029,0,81.9875922107344,0,4.68430588396263,10,6
168,16,100,14.0760254670611,0,75.5076989669897,0,10.4162755659492,10,6
168,70,10,13.8770776949188,0,82.8023371431168,0,3.32058516196447,10,6
168,70,50,11.9649721537551,0,84.9334968961932,0,3.1015309500517,10,6
168,70,100,13.3203645017522,0,83.0314812860244,0,3.64815421222349,10,6
270,16,10,16.2437198832309,0,74.1191497090504,0,9.63713040771864,10,6
270,16,50,13.991858843856,0,80.0308969842582,0,5.97724417188579,10,6
270,16,100,14.6851385801506,0,78.7373412142019,0,6.53404194477799,10,6
270,70,10,15.0002754995656,0,80.9392956505318,0,4.06042884990253,10,6
270,70,50,15.7695929721754,0,79.0946103747421,0,5.13579665308248,10,6
270,70,100,15.306740784565,0,79.7240850989681,0,4.96917411646684,10,6
500,16,10,22.2392340524186,0,72.3924031905776,0,5.36836275700373,10,6
500,16,50,17.1916285200992,0,78.0961193893617,0,4.71225209053908,10,6
500,16,100,17.1181722665058,0,77.7666859529717,0,5.11514178052257,10,6
500,70,10,17.5002986857826,0,76.5142515787677,0,5.98544973544974,10,6
500,70,50,18.5074071633665,0,78.4299818237542,0,3.06261101287927,10,6
500,70,100,17.8875492025583,0,79.0722273481706,0,3.04022344927113,10,6
900,16,10,19.9329282228218,0,75.1501672405928,0,4.91690453658539,10,6
900,16,50,21.9166258328241,0,74.3865577167889,0,3.69681645038697,10,6
900,16,100,21.558828556887,0,75.0917477381926,0,3.34942370492045,10,6
900,70,10,23.3582290414493,0,75.0740706957285,0,1.56770026282221,10,6
900,70,50,20.5581879149834,0,77.5086701239515,0,1.93314196106503,10,6
900,70,100,21.3671286315447,0,75.4168564065977,0,3.21601496185758,10,6
1500,16,10,25.6660489859496,0,72.8138783097671,0,1.52007270428323,10,6
1500,16,50,27.5356923934777,0,70.6746741889498,0,1.7896334175725,10,6
1500,16,100,25.1142304650143,0,71.5176987369426,0,3.3680707980431,10,6
1500,70,10,25.0122163956133,0,72.6874850034093,0,2.30029860097739,10,6
1500,70,50,24.4833718239815,0,71.8938755238142,0,3.62275265220427,10,6
1500,70,100,25.8520338332155,0,72.0192285180719,0,2.12873764871264,10,6
