"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,100,100,12.7710349223218,0,81.5643736675569,0,5.66459141012128,10,6
270,100,100,14.0988983441034,0,76.8608804007257,0,9.04022125517088,10,6
500,100,100,18.2156384023177,0,77.9342566501946,0,3.85010494748775,10,6
900,100,100,21.4899457695236,0,75.271134510542,0,3.23891971993443,10,6
1500,100,100,25.1081782459002,0,72.5091591789876,0,2.3826625751122,10,6
168,100,100,13.3801231726171,0,83.9983820809589,0,2.62149474642393,20,11
270,100,100,15.3680391003358,0,82.8325247419522,0,1.79943615771202,20,11
500,100,100,18.841783686125,0,79.7272387527541,0,1.43097756112092,20,11
900,100,100,21.9499713227556,0,77.1464361642108,0,0.903592513033609,20,11
1500,100,100,25.4025226754193,0,73.6332701241835,0,0.964207200397202,20,11
168,100,100,13.5505579552258,0,85.4065462875041,0,1.04289575727002,35,20
270,100,100,15.5108296431263,0,83.4646239581893,0,1.02454639868433,35,20
500,100,100,18.9329332772746,0,80.1584437671148,0,0.908622955610581,35,20
900,100,100,22.0439858386237,0,77.5127461954016,0,0.443267965974735,35,20
1500,100,100,25.5497371236771,0,74.091170034324,0,0.359092841998936,35,20
