"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,10.766545503832,38.5838164267628,26.486734376226,24.1629036931792,0
168,16,50,13.9694285285992,37.9533382821866,25.2502338961554,22.461317662861,0.365681630197759
168,16,100,13.8671168816077,38.7940784473057,26.0129892468038,21.0022307243823,0.323584699900489
168,16,150,13.3498066302687,36.8018946760091,28.4804231139863,21.0183084808159,0.349567098919922
168,16,200,12.9086213226876,37.5294234885777,29.3789847349634,19.6100845584445,0.572885895326807
270,16,10,14.2838993369259,35.2982341115148,27.1159329265447,23.3019336250147,0
270,16,50,14.9647723696394,33.1410902438453,30.0593269453827,21.1801919166271,0.654618524505498
270,16,100,14.1592515320283,34.3421462117939,30.733078121076,19.890158847838,0.875365287263702
270,16,150,14.9416130270294,33.1116010751922,30.0459005354499,21.3250172226347,0.555034806360352
270,16,200,14.4288983616875,33.4031285246156,32.2589904761211,19.3784693039256,0.530513333650115
500,16,10,20.808147618391,31.3609175098019,29.9398131120241,17.891121759783,0
500,16,50,18.559100395658,23.9527126494533,33.2754856064852,22.416285851885,1.79641549651844
500,16,100,17.7288757055593,26.1910651633837,34.7843117004632,17.257055197448,4.03869223314577
500,16,150,18.1930757558582,25.7077241391692,34.2757610445322,17.8110843297346,3.9518815781274
500,16,200,20.3096694602513,23.6984561795339,34.1513404543371,17.2540547661267,4.58647913975104
900,16,10,17.4237344583089,13.3991534869194,34.0228106025978,34.2142627674543,0.940038684719536
900,16,50,20.6093813844539,17.0639742561389,33.1029715160362,23.2272261211002,5.99644672227083
900,16,100,20.2621210917313,21.5054648846784,35.0282876466716,8.02406120126784,15.1800651756509
900,16,150,20.3831923691805,22.6486641618236,33.7020353675852,10.4947058760286,12.7714022253822
900,16,200,21.1949520296255,20.4638386984963,34.5232751391821,9.21341017222076,14.593654395258
1500,16,10,20.6049816939108,15.4351474132969,36.3344301770724,18.4031440175984,9.22229669812146
1500,16,50,23.5918240385762,13.8547907322312,26.9012012634661,18.9308482903403,16.6122447662952
1500,16,100,23.2547377874321,19.4425124815307,29.9022428803423,4.5116639156494,22.8888429350455
1500,16,150,24.192502351266,17.9082940088207,27.6179849430871,2.33891976954089,27.9422989272853
1500,16,200,24.0084071515473,18.4008674689562,28.5158021529422,3.10870546215087,25.9662177644034
