"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,9.63909452343987,39.711267407155,26.8438772333688,23.8057608360363,0
168,16,50,12.2126348972516,39.6192228226251,25.6892984547852,22.2040712860494,0.274772539288668
168,16,100,12.5634582640096,40.1096418268086,26.3898342919247,20.6015761554519,0.335489461805251
168,16,150,11.6587895389025,38.4864200498641,28.9039254191212,20.4725307471837,0.261402609735943
168,16,200,11.5348002293092,38.9269173609512,29.6511708349165,19.3276815583944,0.476930988165004
270,16,10,12.2163676550567,37.365765793384,28.4116487050191,22.0062178465403,0
270,16,50,13.9650049134027,34.1671388178963,30.770205890343,20.4773567966442,0.620293581713735
270,16,100,12.6468935722079,35.984683067129,30.7015624166587,20.0769682876253,0.589892656378986
270,16,150,13.7217651508159,34.4392181313643,30.8385400992902,20.543699221681,0.456777396848538
270,16,200,12.9160113269957,35.0162283883235,32.8664618186061,18.8273592072068,0.373939258867901
500,16,10,20.1327049343277,32.3066304641355,30.0028761750871,17.5577884264497,0
500,16,50,16.768969261492,26.2012963177927,34.8574224159577,20.9125072838795,1.25980472087807
500,16,100,15.9211951042408,27.9349992612907,35.9598788188349,17.7825365437192,2.40139027191441
500,16,150,16.5923327941668,27.1495482764311,35.8036216297896,17.916459869867,2.53803742974543
500,16,200,18.425922944979,25.5662887909099,35.5372891038908,17.4863890578917,2.98411010232859
900,16,10,15.4719725118661,17.389319221766,37.7017750156048,28.7096605234903,0.727272727272727
900,16,50,19.3590469920224,19.4951881888889,35.146349117133,19.6463665982226,6.35304910373306
900,16,100,18.5834962101694,22.7246331854883,36.9746725124342,9.9354884021946,11.7817096897135
900,16,150,19.1199579666971,23.6981355900606,35.2875433599377,11.4374118092237,10.4569512740809
900,16,200,19.3741347002802,22.0336972959204,36.5627014908429,10.416004609672,11.6134619032844
1500,16,10,20.6256215287921,15.4351474132969,36.7706616872204,17.8843531679252,9.28421620276542
1500,16,50,22.3625693887658,15.8246673578574,29.7832288700959,15.8417187653066,16.1878156179743
1500,16,100,21.4384015902635,20.5677629401295,33.0635142087803,6.11169383537884,18.8186274254478
1500,16,150,22.4324597759255,19.3084538519188,30.7299435634966,3.13689381804607,24.392248990613
1500,16,200,22.140267432406,20.0506584855403,31.6490663833651,3.90232012103958,22.257687577649
