"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,16,10,3.39732620320856,10.718760949622,0.4,85.4839128471694,0,20
168,16,50,0,0,0,0,100,20
168,16,100,0,0,0,0,100,20
168,16,150,0,0,0,0,100,20
168,16,200,0,0,0,0,100,20
270,16,10,2.94203182675479,15.080461788191,0.37037037037037,81.6071360146838,0,20
270,16,50,0,0,0,0,100,20
270,16,100,0,0,0,0,100,20
270,16,150,0,0,0,0,100,20
270,16,200,0,0,0,0,100,20
500,16,10,4.55727145179478,19.3457772173797,0.27027027027027,75.8266810605553,0,20
500,16,50,0,0,0,0,100,20
500,16,100,0,0,0,0,100,20
500,16,150,0,0,0,0,100,20
500,16,200,0,0,0,0,100,20
900,16,10,2.54688053624224,18.0060943066262,0,79.4470251571315,0,20
900,16,50,0,0,0,0,100,20
900,16,100,0,0,0,0,100,20
900,16,150,0,0,0,0,100,20
900,16,200,0,0,0,0,100,20
1500,16,10,3.82612789191464,22.1101913643053,0,74.0636807437801,0,20
1500,16,50,0,0,0,0,100,20
1500,16,100,0,0,0,0,100,20
1500,16,150,0,0,0,0,100,20
1500,16,200,0,0,0,0,100,20
