"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,3.81399286987522,10.3020942829554,0.4,85.4839128471694,0
168,16,50,0,0,0,0,100
168,16,100,0,0,0,0,100
168,16,150,0,0,0,0,100
168,16,200,0,0,0,0,100
270,16,10,3.68685941296169,14.3356342019842,0.958605664488017,81.0189007205662,0
270,16,50,0,0,0,0,100
270,16,100,0,0,0,0,100
270,16,150,0,0,0,0,100
270,16,200,0,0,0,0,100
500,16,10,6.25777650229983,17.6452721668746,0.27027027027027,75.8266810605553,0
500,16,50,0,0,0,0,100
500,16,100,0,0,0,0,100
500,16,150,0,0,0,0,100
500,16,200,0,0,0,0,100
900,16,10,4.11146671519012,16.4415081276783,0.435606060606061,79.0114190965255,0
900,16,50,0,0,0,0,100
900,16,100,0,0,0,0,100
900,16,150,0,0,0,0,100
900,16,200,0,0,0,0,100
1500,16,10,5.31110464817351,20.6252146080464,0.473856209150327,73.5898245346298,0
1500,16,50,0,0,0,0,100
1500,16,100,0,0,0,0,100
1500,16,150,0,0,0,0,100
1500,16,200,0,0,0,0,100
