"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,16,10,6.67466875313175,2.58913929208047,27.5693261590206,38.4882700779776,24.6785957177896,35
168,16,50,6.89805302237842,5.02823129632432,24.7099450759045,43.4906824247201,19.8730881806727,35
168,16,100,7.8829578089996,7.65115402075338,37.3032557042846,30.895430626427,16.2672018395355,35
168,16,150,6.79195659598208,6.00004758076639,38.6272380281069,34.688182219863,13.8925755752817,35
168,16,200,7.53589790285184,6.3477927482904,38.7695418791705,34.0151975035578,13.3315699661295,35
270,16,10,9.3132179414874,5.91974569878915,27.4872982751919,35.6109606489024,21.6687774356291,35
270,16,50,8.44228808783822,3.87636531753662,31.6574013634305,31.7213914300164,24.3025538011782,35
270,16,100,7.70514531524061,6.91351140547436,40.9822146439014,23.5829583378583,20.8161702975253,35
270,16,150,8.17715569941212,6.39379257944276,40.9248459770093,24.2108812048241,20.2933245393117,35
270,16,200,7.81008454007893,7.28724916123695,42.8479962484588,22.6958981939059,19.3587718563194,35
500,16,10,14.5496227741664,5.85939844509824,32.3909128841178,26.353868749812,20.8461971468057,35
500,16,50,10.5303211895361,1.96473689196603,31.1001148479911,20.6478774350249,35.7569496354818,35
500,16,100,9.62140271649542,5.34224325710097,41.2441948296625,16.222233829922,27.569925366819,35
500,16,150,9.6211955437577,5.43283740040297,41.0516077535272,15.5344530903108,28.3599062120013,35
500,16,200,10.9089688679005,5.86714824447199,40.6175301543079,14.7677560937046,27.8385966396149,35
900,16,10,11.0209978428064,2.4769173465982,35.1145154602601,14.9994651696779,36.3881041806574,35
900,16,50,10.5578348011035,1.96846027830104,32.6784308903495,11.0967724542512,43.6985015759948,35
900,16,100,10.9874638389053,1.76348769387736,34.3326562080407,10.5380986943332,42.3782935648434,35
900,16,150,11.9140105468907,1.88270757099364,32.3750040376898,12.0840574462567,41.7442203981692,35
900,16,200,11.0143040836665,1.80593469664203,34.1149759646121,10.7444239293064,42.320361325773,35
1500,16,10,13.1025215497184,1.50514857839322,35.6785622448614,7.93830959705048,41.7754580299765,35
1500,16,50,12.3756893818271,0.645815727114809,27.3045932362065,8.20102840573039,51.4728732491212,35
1500,16,100,11.7576875778994,1.46704041640486,30.0775925822894,8.65476151281002,48.0429179105963,35
1500,16,150,11.5777235261579,0.966983258117924,29.2447476135269,7.29906309540997,50.9114825067874,35
1500,16,200,12.3661328608572,1.03408592997257,29.8673504811821,7.46715109395746,49.2652796340307,35
