"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,13.7712595666237,0,76.7374304499836,0,9.49130998339269,10,6
168,16,50,13.3281019053029,0,81.9875922107344,0,4.68430588396263,10,6
168,16,100,14.0760254670611,0,75.5076989669897,0,10.4162755659492,10,6
168,16,150,12.164816357992,0,79.9054560640898,0.466666666666667,7.46306091125148,10,6
168,16,200,13.2391882809654,0,80.2019627140799,0,6.5588490049547,10,6
270,16,10,16.2437198832309,0,74.1191497090504,0,9.63713040771864,10,6
270,16,50,13.991858843856,0,80.0308969842582,0,5.97724417188579,10,6
270,16,100,14.6851385801506,0,78.7808194750715,0,6.53404194477799,10,6
270,16,150,14.2534073516544,0,78.448882221469,0,7.29771042687654,10,6
270,16,200,15.326966106519,0,79.5094397319138,0,5.16359416156724,10,6
500,16,10,22.2392340524186,0,72.3924031905776,0,5.36836275700373,10,6
500,16,50,17.1916285200992,0,78.0961193893617,0,4.71225209053908,10,6
500,16,100,17.1181722665058,0,77.7666859529717,0,5.11514178052257,10,6
500,16,150,17.1411121610312,0,77.5165094003644,0,5.34237843860447,10,6
500,16,200,19.0140367736952,0,76.8810842827136,0,4.10487894359122,10,6
900,16,10,19.9329282228218,0,75.1501672405928,0,4.91690453658539,10,6
900,16,50,21.9166258328241,0,74.3865577167889,0,3.69681645038697,10,6
900,16,100,21.558828556887,0,75.0917477381926,0,3.34942370492045,10,6
900,16,150,22.7269077917864,0,74.064602672455,0,3.20848953575854,10,6
900,16,200,21.4163687685856,0,75.0616149823241,0,3.52201624909024,10,6
1500,16,10,25.6660489859496,0,72.8138783097671,0,1.52007270428323,10,6
1500,16,50,27.5356923934777,0,70.6746741889498,0,1.7896334175725,10,6
1500,16,100,25.1142304650143,0,71.5176987369426,0,3.3680707980431,10,6
1500,16,150,25.6237199790321,0,71.7222815015408,0,2.65399851942716,10,6
1500,16,200,25.4395035331523,0,71.8163632496117,0,2.74413321723602,10,6
168,16,10,13.7712595666237,0,84.515275737153,0,1.71346469622332,20,11
168,16,50,13.4855093127103,0,84.0092924098488,0,2.50519827744084,20,11
168,16,100,15.1116115320791,0,80.6577309935725,0,4.23065747434843,20,11
168,16,150,12.7258145875136,0,83.4835099585783,0,3.79067545390809,20,11
168,16,200,13.8087183061716,0,82.9033150248183,0,3.28796666901005,20,11
