"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances","NA"
168,16,10,3.43290043290043,0.75,23.5892913156768,4.43596894719057,67.7918393042322,10,10,6
168,16,50,4.41104975151452,1.46299611755801,22.5024808462442,7.51361383206487,64.1098594526184,10,10,6
168,16,100,4.49381230243092,1.45713277214738,21.6225265500563,6.97248542448721,65.4540429508782,10,10,6
168,16,150,4.43921099783353,2.1849866015013,22.5029172778921,6.12245006410764,64.7504350586655,10,10,6
168,16,200,4.95739724938952,2.07513401499572,24.3944367674662,4.90205993367962,63.6709720344689,10,10,6
270,16,10,3.07090512972866,1.78760833487,21.6919363224584,6.00775629836162,67.4417939145814,10,10,6
270,16,50,4.74046932259531,0.555002954035212,20.4141703359657,4.04018351118651,70.2501738762173,10,10,6
270,16,100,4.49628954023652,0.957229553403013,20.7928261386479,5.25241235572351,68.5012424119891,10,10,6
270,16,150,4.33360795601001,1.44878021026968,20.8667260456913,3.52578524824772,69.8251005397812,10,10,6
270,16,200,4.14542819036238,1.78821305636945,20.9599381559528,3.22285353364044,69.8835670636749,10,10,6
500,16,10,7.16951926110141,0.63894523326572,18.9286936946166,1.91969696969697,71.3431448413193,10,10,6
500,16,50,5.01571862597877,0.424498132586368,19.023974538987,1.69653195038405,73.8392767520639,10,10,6
500,16,100,3.90203999686083,0.170478615894575,19.0938264462147,2.12936529615659,74.7042896448733,10,10,6
500,16,150,4.17787389336294,0.104021286779907,19.022223203264,2.15936859060169,74.5365130259915,10,10,6
500,16,200,5.47692896797405,0.697240243159807,16.8881271556928,1.69143327372365,75.2462703594497,10,10,6
900,16,10,5.91976863785374,0.705905205905206,15.4052207057526,0.27027027027027,77.6988351802182,10,10,6
900,16,50,5.08131979632632,0.165855883247188,14.9197425635046,1.20337169210985,78.629710064812,10,10,6
900,16,100,4.21543389832477,0.376253004301785,16.1582090726281,0.955911746983836,78.2941922777615,10,10,6
900,16,150,4.64420523792044,0.345868761159614,15.7301172670532,1.57762607510094,77.7021826587658,10,10,6
900,16,200,3.97967862414354,0.326826191276471,16.267572961538,1.14099527703349,78.2849269460085,10,10,6
1500,16,10,6.37281902781952,0,13.1535493777813,0,80.4736315943991,10,10,6
1500,16,50,2.05494269850184,0.169477655560869,15.1598412797644,0.859804538830126,81.7559338273428,10,10,6
1500,16,100,4.3660475832562,0.291456694598964,13.4373242018161,0.87614843127546,81.0290230890533,10,10,6
1500,16,150,4.3479665759838,0.19593917776577,12.6764127830018,0.741223500934399,82.0384579623142,10,10,6
1500,16,200,5.47771656499605,0.116031136242505,11.3489528719629,0.730384695299773,82.3269147314988,10,10,6
168,16,10,5.72929060187125,1.5021645021645,28.5067083846381,18.9451362788011,45.316700232525,20,20,11
168,16,50,6.18173729198135,1.93987258948357,29.2683518264027,18.988158089173,43.6218802029594,20,20,11
168,16,100,6.94370412475152,2.75466685126527,28.0939829370435,19.0195907890794,43.1880552978603,20,20,11
168,16,150,6.07018582299041,4.41223453498658,35.4122057357071,15.2758154303156,38.8295584760003,20,20,11
168,16,200,6.59330868088921,4.71310654325735,35.6189590435485,13.6998206499391,39.3748050823659,20,20,11
270,16,10,7.55656935893938,0.8,25.0982466821263,17.6759012853707,48.8692826735637,20,20,11
270,16,50,6.77336068488885,2.06443447183574,31.5645301835833,12.8311657355308,46.7665089241613,20,20,11
270,16,100,6.44147910978075,1.55255780250283,29.2698731192618,14.6321727558836,48.103917212571,20,20,11
270,16,150,6.5965055056008,3.84096636305232,33.6083057664723,10.2438325027003,45.7103898621743,20,20,11
270,16,200,6.54305895808426,4.64721306912253,34.0035832684839,9.25622050937452,45.5499241949348,20,20,11
500,16,10,10.9359718191361,1.99230233368164,29.5402931421187,9.21857754859783,48.3128551564657,20,20,11
