"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,16,10,6.67466875313175,6.0260886314279,25.5281847980369,37.9548626023369,23.8161952150665,35
168,16,50,7.04948159380699,2.96116875007847,22.5120397003502,43.1351486433505,24.3421613124138,35
168,16,100,7.85325402289982,3.95739212922254,22.9600403507138,40.9370686965007,24.2922448006632,35
168,16,150,7.05032259927562,5.93668857686888,39.8585534041643,30.567572526523,16.5868628931682,35
168,16,200,7.58107208281061,6.51539245940304,41.0365878159513,28.2337049360137,16.6332427058213,35
270,16,10,9.3132179414874,4.76400252891125,25.7376398153168,34.7548197023589,25.4303200119257,35
270,16,50,8.36536501091515,2.32891995912614,30.06360439925,30.7035618671409,28.5385487635677,35
270,16,100,8.08527603977923,3.08424302918125,26.59224417925,33.593988002795,28.6442487489945,35
270,16,150,8.26871435209045,6.43179901906175,40.5572020948165,23.0244402870078,21.7178442470235,35
270,16,200,8.0071377218004,7.34346616194702,42.7659118147404,21.36501319273,20.5184711087822,35
500,16,10,14.5751655583299,2.2749257278669,29.2774353553258,25.6182170553367,28.2542563031407,35
500,16,50,10.3559659381271,2.44172379737732,32.4947291689667,20.7312454085402,33.9763356869886,35
500,16,100,9.91437674141978,5.61997920683503,40.9586899296243,15.7377068599742,27.7692472621467,35
500,16,150,9.74000816840472,5.76967944001149,41.3145550554126,14.7985172174125,28.3772401187587,35
500,16,200,11.1584013977226,5.62315983312916,39.9578821661856,13.4041509555329,29.8564056474298,35
900,16,10,10.3669574387659,2.89164776664777,31.1768241422497,14.8701979207298,40.6943727316068,35
900,16,50,11.0526533325023,1.70929739102725,33.4685292556099,12.6919246765483,41.0775953443123,35
900,16,100,11.0155374932053,1.54370828957077,33.4169817826184,10.5213739928129,43.5023984417928,35
900,16,150,11.8317306490576,1.58631695322701,32.3659656596182,11.3633453587099,42.8526413793872,35
900,16,200,11.1863445594385,1.49237397173572,34.172410554672,9.78470488648672,43.3641660276671,35
1500,16,10,13.2912007950015,1.4726146013769,33.4542945797074,8.13314984318421,43.64874018073,35
1500,16,50,13.3927156310479,0.540265817423469,28.0462730055478,8.94659012834212,49.0741554176387,35
1500,16,100,11.9593282594285,1.0592356648705,30.3828578334129,8.1381397788901,48.4604384633981,35
1500,16,150,11.7208285661488,0.57916603266967,29.2263696441155,7.17318921467372,51.3004465423923,35
1500,16,200,12.4534294293907,0.724871757077167,29.5216877289036,7.67866975221248,49.621341332416,35
