"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,16,10,9.63909452343987,10.7230359511587,19.2680274435591,43.4278738960444,16.9419681857979,35
168,16,50,11.7920551871067,12.1674494473278,16.0102910054864,48.3231327360264,11.7070716240526,35
168,16,100,11.9663617312459,15.5759580723662,28.1062980549461,35.9151201784029,8.4362619630389,35
168,16,150,10.9550470336394,16.4289929552121,34.5879755202851,28.2589028643982,9.76908162646524,35
168,16,200,11.1814668065034,15.3247354292322,35.1641321769869,29.7256906663789,8.60397492089866,35
270,16,10,11.290051865583,11.737751605436,23.3119862783149,39.8981202776441,13.762089973022,35
270,16,50,12.3870727145079,9.61632393951721,25.2242356953012,35.985068257667,16.7872993930067,35
270,16,100,11.6698850058479,14.3705512385985,37.7306789441534,21.8010676109434,14.4278172004568,35
270,16,150,12.5211857185529,13.5219629550705,37.215868889344,22.047536350286,14.6934460867465,35
270,16,200,11.8180445448833,14.2700491084107,40.1320086518662,20.7614433109148,13.018454383925,35
500,16,10,18.5171238359879,9.31950935815033,27.1525582100633,30.7073165919008,14.3034920038977,35
500,16,50,14.3562623004483,4.53902123605719,27.5587991184179,27.4630606292413,26.0828567158354,35
500,16,100,13.6410331225017,9.5018680845818,38.8367429145068,17.8411736172502,20.1791822611596,35
500,16,150,14.31775785799,8.83885093207012,38.3524266867605,17.3277661271058,21.1631983960735,35
500,16,200,15.6328302022634,8.71521449999301,38.288091503917,16.9471431693032,20.4167206245234,35
900,16,10,13.5521358473486,4.40213526649697,33.3730685007281,18.9648783584954,29.707782026931,35
900,16,50,15.2979440338093,3.86826246675911,30.7523026207136,15.8068100227006,34.2746808560175,35
900,16,100,15.0077682178677,3.73579125735176,33.2023472861094,13.9282682252773,34.1258250133939,35
900,16,150,15.9870294938124,4.06428668834887,31.2179488456447,16.7177478941636,32.0129870780304,35
900,16,200,15.5046972824868,3.68877215399776,32.5241150414823,14.5445602386429,33.7378552833903,35
1500,16,10,16.712166181494,2.32346689671154,34.4102161548432,11.8304425369885,34.7237082299627,35
1500,16,50,16.9993775302861,2.26184783824747,26.9868241023254,12.2410699080752,41.5108806210658,35
1500,16,100,16.490207346302,3.2235760497157,28.6209582832008,13.0589304500058,38.6063278707757,35
1500,16,150,16.7919363367937,2.4657207013527,27.2175069951082,11.4449907199146,42.0798452468308,35
1500,16,200,17.5615888057435,2.442687932491,28.057870113611,11.6944668789291,40.2433862692254,35
