"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,13.315878315589,0,78.8680280811755,0.0933333333333333,7.72276026990214
270,16,10,6,14.9002181530822,0,78.1778376243526,0,6.92194422256524
500,16,10,6,18.54083675475,0,76.5305604431978,0,4.92860280205221
900,16,10,6,21.510331834581,0,74.7509380700707,0,3.73873009534832
1500,16,10,6,25.8758390713252,0,71.7089791973624,0,2.4151817313124
168,16,20,11,13.7805826610197,0,83.1138248247942,0,3.10559251418614
270,16,20,11,15.3840742127101,0,80.6214276230256,0,3.99449816426428
500,16,20,11,19.0602073962617,0,78.3176640221089,0,2.62212858162939
900,16,20,11,21.9638120509586,0,76.5401019357511,0,1.49608601329024
1500,16,20,11,26.0862870486301,0,72.4740978245698,0,1.43961512680014
168,16,35,20,13.7805826610197,0,83.1138248247942,0,3.10559251418614
270,16,35,20,15.3840742127101,0,80.6214276230256,0,3.99449816426428
500,16,35,20,19.0602073962617,0,78.3176640221089,0,2.62212858162939
900,16,35,20,21.9638120509586,0,76.5401019357511,0,1.49608601329024
1500,16,35,20,26.0862870486301,0,72.4740978245698,0,1.43961512680014
