name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_168_16_,168,16,10,1.869450092,-258.328,-258.328,0,2,2.023895025,10
Instance_168_16_,168,16,50,2.864914894,-51.624,-51.624,9.63E-13,2,3.446165085,10
Instance_168_16_,168,16,100,6.579495192,-28.3216,-28.3216,0,2,7.686508894,10
Instance_168_16_,168,16,150,9.509456873,-21.3136,-21.3136,0,2,11.19679737,10
Instance_168_16_,168,16,200,13.08500624,-17.5024,-17.5024,0,2,15.6640017,10
Instance_270_16_,270,16,10,0.720382929,-223.496,-223.496,0,2,1.225136042,10
Instance_270_16_,270,16,50,3.713445902,-51.648,-51.648,1.32E-12,2,4.413377047,10
Instance_270_16_,270,16,100,7.155571938,-27.9832,-27.9832,0,2,8.53855896,10
Instance_270_16_,270,16,150,11.53840613,-20.85422222,-20.85422222,0,2,13.82726884,10
Instance_270_16_,270,16,200,15.41842604,-16.882,-16.882,0,2,18.22825599,10
Instance_500_16_,500,16,10,1.021318913,-201.304,-201.304,0,2,1.57902503,10
Instance_500_16_,500,16,50,4.569186687,-49.264,-49.264,1.64E-12,2,5.419393063,10
Instance_500_16_,500,16,100,9.863184929,-26.6088,-26.6088,0,2,11.70022297,10
Instance_500_16_,500,16,150,14.35865402,-20.07964444,-20.07964444,0,2,17.0074358,10
Instance_500_16_,500,16,200,20.56799722,-15.7444,-15.7444,0,2,24.28449678,10
Instance_900_16_,900,16,10,1.215931892,-226.176,-226.176,0,2,1.887556076,10
Instance_900_16_,900,16,50,5.950577021,-47.192,-47.192,1.75E-12,2,7.698727846,10
Instance_900_16_,900,16,100,12.10211205,-26.0024,-26.0024,0,2,14.30649018,10
Instance_900_16_,900,16,150,17.14502335,-17.80142222,-17.80142222,0,2,21.20226598,10
Instance_900_16_,900,16,200,23.29009414,-14.9276,-14.9276,0,2,27.45858479,10
Instance_1500_16_,1500,16,10,1.543836832,-213.248,-213.248,0,2,2.333381176,10
Instance_1500_16_,1500,16,50,7.333791971,-45.6,-45.6,1.73E-12,2,9.31283927,10
Instance_1500_16_,1500,16,100,14.07104063,-24.4208,-24.4208,0,2,16.54171801,10
Instance_1500_16_,1500,16,150,22.648736,-17.66737778,-17.66737778,0,2,26.5292387,10
Instance_1500_16_,1500,16,200,28.39695287,-13.844,-13.844,0,2,34.44849706,10
Instance_168_16_,168,16,10,0.60442996,-236.448,-236.448,0,2,0.817262173,20
Instance_168_16_,168,16,50,2.939911127,-42.472,-42.472,8.87E-13,2,3.56033206,20
Instance_168_16_,168,16,100,5.98615694,-20.7496,-20.7496,0,2,7.183222055,20
Instance_168_16_,168,16,150,8.971841097,-14.16426667,-14.16426667,0,2,10.87104702,20
Instance_168_16_,168,16,200,13.80794024,-10.6244,-10.6244,0,2,16.24151802,20
