name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_168_16_,168,16,10,132.7142,4.556500018,4.665733598,2.397313283,2,322.884917,10
Instance_168_16_,168,16,50,1806.490214,4.3145,4.7835,10.87032101,2,1808.90926,10
Instance_168_16_,168,16,100,1809.608467,4.2798,4.71935,10.27033974,2,1811.481242,10
Instance_168_16_,168,16,150,1814.33023,2.349611111,4.602761493,95.89460874,2,1815.832657,10
Instance_168_16_,168,16,200,179.0523713,2.98075,8.335,179.6276105,2,1824.390157,10
Instance_270_16_,270,16,10,110.308955,4.712,4.712,5.65E-14,2,111.324909,10
Instance_270_16_,270,16,50,1767.916158,5.249,5.58,6.305963041,2,1807.792015,10
Instance_270_16_,270,16,100,1808.927616,5.2728,5.8345,10.6527841,2,1818.643814,10
Instance_270_16_,270,16,150,1210.935562,5.051044444,5.789498906,14.61983695,2,1821.006271,10
Instance_270_16_,270,16,200,1282.771903,4.8595,6.0466,24.42843914,2,1858.597225,10
Instance_500_16_,500,16,10,48.55205512,6.737000004,6.804089165,0.995831397,2,53.74546814,10
Instance_500_16_,500,16,50,1137.465651,7.0005,7.3385,4.828226555,2,1810.891185,10
Instance_500_16_,500,16,100,1819.470741,6.97915,7.39079616,5.898227717,2,1824.076169,10
Instance_500_16_,500,16,150,1786.785001,7.021877778,7.667307246,9.191693287,2,1833.434207,10
Instance_500_16_,500,16,200,1428.719788,5.4051,8.2894,53.36256498,2,1849.11008,10
Instance_900_16_,900,16,10,182.3771636,9.309,9.407236264,1.055282669,2,197.988838,10
Instance_900_16_,900,16,50,1582.505912,10.0365,10.288,2.505853634,2,1816.485025,10
Instance_900_16_,900,16,100,1700.560624,9.73555,10.10639374,3.809170894,2,1830.758347,10
Instance_900_16_,900,16,150,1241.823703,9.649077778,10.32497623,7.004798429,2,1866.104948,10
Instance_900_16_,900,16,200,1737.342349,7.16095,10.29155,43.71766316,2,1871.555969,10
Instance_1500_16_,1500,16,10,132.179693,12.0965,12.10543287,0.073846711,2,138.5777941,10
Instance_1500_16_,1500,16,50,1741.131762,13.312,13.3905,0.58969351,2,1821.278737,10
Instance_1500_16_,1500,16,100,309.908309,9.232,18.28825,98.09629549,2,1847.177707,10
Instance_1500_16_,1500,16,150,1706.821053,12.51425556,13.09927828,4.674850417,2,1885.599644,10
Instance_1500_16_,1500,16,200,722.4317632,10.16595,18.95675,86.47298088,2,2445.954033,10
Instance_168_16_,168,16,10,155.464447,5.037500001,5.156319717,2.35870405,2,360.9639502,20
Instance_168_16_,168,16,50,1798.53118,4.6545,5.1015,9.60360941,2,1805.648367,20
Instance_168_16_,168,16,100,1810.307981,4.7742,5.10325,6.8922542,2,1812.761251,20
Instance_168_16_,168,16,150,1680.726131,4.242088889,4.752299819,12.02735123,2,1815.438974,20
Instance_168_16_,168,16,200,950.8091609,4.56845,5.2819,15.61689413,2,1820.883631,20
Instance_270_16_,270,16,10,94.37513375,5.0575,5.214347673,3.101288647,2,202.3392103,20
Instance_270_16_,270,16,50,1795.001036,5.6985,5.862,2.869176099,2,1812.90347,20
Instance_270_16_,270,16,100,1813.45344,5.83215,6.1978,6.269557539,2,1816.514005,20
Instance_270_16_,270,16,150,1568.127497,5.532255556,5.965024108,7.8226421,2,1821.081408,20
Instance_270_16_,270,16,200,876.8288701,5.51885,6.30295,14.20767008,2,1827.819907,20
Instance_500_16_,500,16,10,132.3493161,7.100500001,7.165024542,0.908732354,2,152.3700051,20
Instance_500_16_,500,16,50,908.1829648,7.479,7.7555,3.697018318,2,1814.284585,20
Instance_500_16_,500,16,100,1783.732622,7.3081,7.693,5.266758802,2,1843.003539,20
Instance_500_16_,500,16,150,1409.002762,7.4417,7.970284986,7.103013909,2,1830.456128,20
Instance_500_16_,500,16,200,1326.146196,7.81895,8.467491324,8.294481029,2,1846.203991,20
Instance_900_16_,900,16,10,97.94217086,9.8995,9.928830084,0.296278441,2,99.06249094,20
Instance_900_16_,900,16,50,1196.378582,10.4125,10.7135,2.890756303,2,1819.399948,20
Instance_900_16_,900,16,100,1606.894377,10.1465,10.48275,3.313950623,2,1839.213726,20
Instance_900_16_,900,16,150,1675.234417,10.12945556,10.51704664,3.826376258,2,1842.184437,20
Instance_900_16_,900,16,200,496.93455,6.8447,15.54055,127.0450129,2,2155.827631,20
Instance_1500_16_,1500,16,10,119.239924,12.237,12.28862292,0.421859287,2,119.7961209,20
Instance_1500_16_,1500,16,50,972.8404868,13.4955,13.5789985,0.618713643,2,1836.87475,20
Instance_1500_16_,1500,16,100,1732.549348,12.04695,12.38045,2.768335554,2,1848.02208,20
Instance_1500_16_,1500,16,150,1820.061709,12.90608889,13.33990231,3.361308152,2,1874.339086,20
Instance_1500_16_,1500,16,200,621.1745729,9.80715,18.96,93.32833698,2,3604.476425,20
Instance_168_16_,168,16,10,73.28748083,5.1925,5.244276488,0.997139873,2,85.18442082,35
Instance_168_16_,168,16,50,1679.836392,4.8665,5.264,8.168087948,2,1805.896249,35
