"Model","I","L","S","|K1|","|K2|","Locate_K1","Locate_K2","Delay_K1","Delay_K2","OnTime_K1","OnTime_K2","Dispatched_K1","Dispatched_K2"
"M1Supuesto","168","16","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2Supuesto","168","16","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M2SinSupuesto","168","16","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1Supuesto","168","16","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
