"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,12.14605326558,5.40507091253386,50.7122280393914,24.5464956625452,6.92107648969745
270,16,10,6,15.7049051473953,2.92140242278442,66.5380310042587,8.25334254573694,6.58231887982454
500,16,10,6,18.1159990894532,3.37930833318363,62.9365714591197,10.1755238905638,5.33199116707367
900,16,10,6,20.9509001877371,2.68441711213008,64.8839977876016,7.46374524159756,4.01693967093364
1500,16,10,6,23.4686173837292,3.04542462858298,61.709064479672,8.87215379967337,2.90473970834248
168,16,20,11,17.0032815653052,3.43070241252307,70.9094348244447,5.2717505236384,3.38483067408856
270,16,20,11,18.0209173891906,2.46725782112069,71.3163801156134,3.98213614611629,4.21330852795894
500,16,20,11,21.1602516112574,2.33791901572509,70.8935115146083,2.85425780632339,2.75406005208588
900,16,20,11,21.8007412177563,2.92852846785182,65.1553506821268,8.04954699282426,2.06583263944078
1500,16,20,11,25.3751180369433,2.394567532714,65.2334187204497,4.95538173310331,2.04151397678965
168,16,35,20,18.5590657967908,2.87207734188576,72.1291664082184,3.29726438559977,3.14242606750518
270,16,35,20,19.381165487454,2.55598389632791,71.8194726838874,2.21480444085952,4.02857349147119
500,16,35,20,22.550976008328,1.52140275974768,72.1755951859652,1.07025984851567,2.68176619744348
900,16,35,20,24.6806717450766,1.13648812535088,71.8037785069871,0.873780249968175,1.50528137261718
1500,16,35,20,25.8760204474131,2.09841272607342,65.405650044517,4.66843913750801,1.95147764448847
