"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
10,16,10,6,4.47495275820441,1.20883926578386,23.9902948868567,5.9936912932827,64.3322217958723
50,16,10,6,5.1020399885545,0.813337914270366,23.9205841065789,6.53887151280081,63.6251664777954
100,16,10,6,4.99925109513183,1.11173513729329,23.5678976064207,6.7833609191574,63.5377552419968
150,16,10,6,5.16096415899175,1.25608849073583,23.6110849096956,6.51227038230876,63.4595920582681
200,16,10,6,5.16643734829056,1.29955324457393,23.8954794964929,5.91400029172487,63.7245296189177
10,16,20,11,4.83305432141034,2.12996164577034,24.4869029053296,9.06920942125388,59.4808717062359
50,16,20,11,5.86267047244061,1.33616499322406,23.9759591150597,9.48926667338396,59.3359387458917
100,16,20,11,5.91065179677343,2.24137795557933,24.5427805732367,9.22194375332375,58.0832459210868
150,16,20,11,5.91669823222881,1.99892142999494,24.2912245885581,9.03144058328654,58.7617151659316
200,16,20,11,6.01156681982047,2.28320005175091,25.1213989863911,7.60500197413598,58.9788321679015
10,16,35,20,5.55084136590604,2.94593695088624,25.2924827019332,11.5193324206819,54.6914065605927
50,16,35,20,6.82396885812902,1.7986429711598,24.8432365690787,11.7894218045103,54.7447297971222
100,16,35,20,6.74132271825912,3.08067809687932,25.9977901667455,10.8346362277967,53.3455727903194
150,16,35,20,6.85336764981097,2.66982878126546,25.6650173217769,10.6547580211487,54.1570282259979
200,16,35,20,6.8504450344809,2.97920527169094,27.0198657608894,8.79005112456193,54.3604328083768
