"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,30,10,5.70497015062232,0,29.2613425222121,3.09290226681531,61.9407850603503,10
168,30,50,5.07919430773278,0.111111111111111,26.5289894000559,4.44409981394249,63.8366053671577,10
168,30,100,3.80234400223089,0.302230011367942,25.764235504275,3.76692602257021,66.364264459556,10
168,30,150,5.53669643284373,1.24628263883303,26.1969841177358,2.55986114662463,64.4601756639628,10
168,30,200,6.12518602512856,1.16288876928942,25.8936029166701,3.22203211916286,63.5962901697491,10
270,30,10,4.2365827818414,0,25.4424072734418,2.92695221445221,67.3940577302646,10
270,30,50,4.70016728027048,0.572361865465314,23.5502852326884,1.80392189036059,69.3732637312153,10
270,30,100,4.39531671313161,0.0820433436532508,23.437845266295,2.85127747883917,69.233517198081,10
270,30,150,4.94154162254674,0.539109461414097,22.8469008834698,2.90615560134647,68.7662924312229,10
270,30,200,3.66658358385825,0.156358839429492,23.3410546099215,3.10152064137193,69.7344823254188,10
500,30,10,5.50661500428547,0,20.4946736156512,0,73.9987113800633,10
500,30,50,4.41935936203795,0.18048251558688,19.1632382728702,1.71048888360811,74.5264309658968,10
500,30,100,5.53281242241885,0.509297494721335,16.5445873599763,1.39317561836774,76.0201271045158,10
500,30,150,5.46400174258574,0.697106007434204,17.4388375644571,1.31760683420379,75.0824478513192,10
500,30,200,5.4804687920044,0.679109637080488,17.5383037191923,1.20795038450463,75.0941674672182,10
900,30,10,5.30022418845807,0,16.3320253711631,0,78.3677504403788,10
900,30,50,5.49749771174469,0.617409068160326,15.0346698508164,0.558928031886522,78.2914953373921,10
900,30,100,4.80785020386495,0.481899045317496,14.2759083989352,0.917306975493145,79.5170353763892,10
900,30,150,4.1990748113839,0.137953653911101,15.7541094970223,0.960761340475715,78.948100697207,10
900,30,200,6.70291483414335,0.17191694333501,13.2614311342801,0.719211847917485,79.1445252403241,10
1500,30,10,4.86155736712969,0,12.3044641147361,0,82.8339785181342,10
1500,30,50,6.3623898709678,0.180560928433269,11.6747251841734,0.331228318508153,81.4510956979174,10
1500,30,100,5.51700648509146,0.139190462998756,12.2069699142464,0.548840706068818,81.5879924315946,10
1500,30,150,5.29340169652023,0.270990829958055,11.4744139766414,0.490465307265252,82.470728189615,10
1500,30,200,7.70934047395303,0.134581787794526,10.3967162746966,0.582598951921424,81.1767625116344,10
