"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
10,30,10,6,15.2052089094223,1.36118406597179,75.5483494744616,1.43219832735962,6.45305922278476
50,30,10,6,17.8802731002057,1.9590890794777,73.0033398141744,2.16368496837824,4.99361303776394
100,30,10,6,16.8279174726505,3.89839887445442,64.8569229041918,9.07636065342411,5.34040009527919
150,30,10,6,14.7349865805582,2.05257925852901,60.6135532199109,16.1454282757747,6.4534526652272
200,30,10,6,13.7744387029211,1.24527999271256,57.7027496500939,20.7104437927178,6.56708786155468
10,30,20,11,15.7331592199813,1.50007295486068,76.5212147734138,1.43219832735962,4.81335472438461
50,30,20,11,18.3913636933885,1.82168331999186,73.5139833054274,2.21069351538679,4.06227616580547
100,30,20,11,17.5776395913657,3.7220218957355,67.0418386377792,6.77568694013838,4.8828129349812
150,30,20,11,14.4979901613395,2.28142810515563,59.2498250702798,17.7747457268979,6.19601093632718
200,30,20,11,13.1934225062459,1.81826824192014,54.8954878450751,23.8927780687545,6.20004333800435
10,30,35,20,16.3787555085373,1.13821684587814,77.6786221808212,1.06182795698925,3.74257750777406
50,30,35,20,18.8656761667249,1.8002029621708,74.0909229209481,1.69140041214191,3.55179753801424
100,30,35,20,18.1494193162366,3.81213899159407,67.9398149355213,6.09622157155094,4.00240518509707
150,30,35,20,12.8718107861958,1.67344166067282,53.0359157789214,25.9031932281544,6.51563854605562
200,30,35,20,12.954610420468,2.10761224210526,53.2215492329814,25.7055609236904,6.01066718075497
