"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
10,30,10,6,5.12198989846739,0,20.7669825794408,1.2039708962535,72.9070566258383
50,30,10,6,5.21172170655074,0.33238509775138,19.1903815881209,1.76973338766117,73.4957782199158
100,30,10,6,4.81106596534755,0.302932071611756,18.4459092887456,1.89550536026782,74.5445873140273
150,30,10,6,5.08694326117607,0.578288518310098,18.7422492078653,1.64697004598317,73.9455489666654
200,30,10,6,5.93689874181752,0.460971195385787,18.0862217309521,1.76666278897566,73.7492455428689
10,30,20,11,5.50656546782557,0.16025641025641,23.9851149301819,2.39706017412539,67.9510030176107
50,30,20,11,5.86820765167385,0.522223269449299,21.9631852013933,2.94762912639685,68.6987547510867
100,30,20,11,5.76139261288174,0.594188780357547,21.7766744494147,2.75543080641727,69.1123133509287
150,30,20,11,5.56415386079509,0.788245302988689,22.1437586882332,2.66332614472577,68.8405160032573
200,30,20,11,6.51148797234515,0.625228190907567,21.4770343828683,2.81866434341499,68.567585110464
10,30,35,20,6.2950727778846,0.418042605542606,26.1946930053634,3.61140296096818,63.4807886502412
50,30,35,20,6.64821211875513,0.521575255987048,24.8585203586967,3.9782795513556,63.9934127152056
100,30,35,20,6.61390970042698,0.955008901387948,24.6610603734837,3.41930781581407,64.3507132088873
150,30,35,20,6.20199254268495,0.963880841519926,24.9253470020951,3.38555147262654,64.5232281410735
200,30,35,20,7.4495633658695,0.983782223969424,24.1159808428247,3.55903273770763,63.8916408296287
