"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,30,10,6,5.91766461465869,1.34607236670219,33.282686525443,7.77810638780835,51.6754701053877
270,30,10,6,4.9560658867432,0.728762693409899,30.906876120044,5.63595918339641,57.7723361164065
500,30,10,6,4.91503141913481,0.464839546607038,25.1667850976722,3.76305848356274,65.6902854530233
900,30,10,6,4.94868681856746,0.348354882964915,21.7318548698693,2.11744969150231,70.853653737096
1500,30,10,6,5.25141592941776,0.199983445197395,18.5498055266209,1.44012632481717,74.5586687739468
168,30,20,11,10.6152483105445,3.47310747531564,43.2505667476796,16.0232830247826,26.6377944416777
270,30,20,11,10.5160934938512,2.30983267677828,40.3953323134749,12.0981704261877,34.680571089708
500,30,20,11,9.3304652958358,1.58162699496346,39.6344402960734,9.70205144649932,39.751415966628
900,30,20,11,9.79772417400406,1.34505746740743,37.953105006213,5.19289556262544,45.7112177897501
1500,30,20,11,9.81587651272309,0.752854408699905,33.0374822005639,3.06132815195431,53.3324587260588
168,30,35,20,16.4362768181831,7.37293432177858,39.0262069021703,28.4551306432921,8.70945131457587
270,30,35,20,16.3456930251593,6.34070643754586,41.017477553418,22.8563117693419,13.4398112145348
500,30,35,20,16.4091194714679,5.09595215993497,40.0601219157888,17.0476926563466,21.3871137964617
900,30,35,20,16.4229820106219,3.10714778880373,41.4947708208226,10.763562199854,28.2115371798977
1500,30,35,20,18.1430719558989,1.96208520275792,38.4652507082911,6.6545215104657,34.7750706225863
