name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_168_30_,168,30,10,1.027995825,-481.845,-481.845,1.06173E-13,2,1.267143011,10
Instance_168_30_,168,30,50,5.303925991,-106.592,-106.592,0,2,6.394302845,10
Instance_168_30_,168,30,100,11.352139,-59.4075,-59.4075,0,2,13.64679599,10
Instance_168_30_,168,30,150,17.07375622,-45.10533333,-45.10533333,0,2,20.54985595,10
Instance_168_30_,168,30,200,23.07848811,-35.537,-35.537,0,2,27.58007598,10
Instance_270_30_,270,30,10,1.465993166,-455.11,-455.11,2.12331E-13,2,2.336845875,10
Instance_270_30_,270,30,50,6.460963011,-96.862,-96.862,0,2,7.727986813,10
Instance_270_30_,270,30,100,13.0464952,-57.6585,-57.6585,0,2,15.57695103,10
Instance_270_30_,270,30,150,19.85102606,-42.88466667,-42.88466667,0,2,23.72976828,10
Instance_270_30_,270,30,200,28.19817185,-36.9455,-36.9455,0,2,33.53611803,10
Instance_500_30_,500,30,10,1.738852024,-393.68,-393.68,2.8878E-13,2,2.661748886,10
Instance_500_30_,500,30,50,8.200519085,-97.279,-97.279,0,2,9.685900688,10
Instance_500_30_,500,30,100,17.84719419,-57.5725,-57.5725,0,2,21.15816307,10
Instance_500_30_,500,30,150,26.07072687,-41.83,-41.83,0,2,32.02800822,10
Instance_500_30_,500,30,200,37.36728311,-37.0245,-37.0245,0,2,44.02297115,10
Instance_900_30_,900,30,10,3.060930014,-387.38,-387.38,2.93476E-13,2,4.23243022,10
Instance_900_30_,900,30,50,10.42521024,-93.212,-93.212,0,2,12.27800393,10
Instance_900_30_,900,30,100,21.68215394,-53.8835,-53.8835,0,2,25.64346719,10
Instance_900_30_,900,30,150,33.06464696,-40.628,-40.628,0,2,38.94702578,10
Instance_900_30_,900,30,200,44.71069217,-34.67,-34.67,0,2,52.91215777,10
Instance_1500_30_,1500,30,10,2.774459839,-408.17,-408.17,4.31719E-13,2,4.15657711,10
Instance_1500_30_,1500,30,50,12.93551183,-83.576,-83.576,0,2,15.12969017,10
Instance_1500_30_,1500,30,100,27.00953984,-52.0815,-52.0815,0,2,31.67159915,10
Instance_1500_30_,1500,30,150,42.00178385,-40.031,-40.031,0,2,49.46893001,10
Instance_1500_30_,1500,30,200,55.58789992,-33.4905,-33.4905,0,2,65.40318799,10
Instance_168_30_,168,30,10,1.058036089,-444.105,-444.105,7.67973E-14,2,1.339268923,20
Instance_168_30_,168,30,50,5.124012232,-92.996,-92.996,0,2,6.264247894,20
Instance_168_30_,168,30,100,10.62729597,-48.8515,-48.8515,0,2,12.93775511,20
Instance_168_30_,168,30,150,17.36297798,-35.50933333,-35.50933333,0,2,20.79976892,20
Instance_168_30_,168,30,200,23.73061085,-26.515,-26.515,0,2,28.30272222,20
Instance_270_30_,270,30,10,1.268224001,-417.45,-417.45,1.49785E-13,2,1.567681074,20
Instance_270_30_,270,30,50,6.293545246,-83.01,-83.01,0,2,7.648539782,20
Instance_270_30_,270,30,100,12.56349421,-46.9025,-46.9025,0,2,15.19839978,20
Instance_270_30_,270,30,150,20.77063823,-33.14466667,-33.14466667,0,2,24.88338184,20
Instance_270_30_,270,30,200,28.40244627,-27.7795,-27.7795,0,2,33.8264668,20
Instance_500_30_,500,30,10,1.495788813,-355.54,-355.54,2.55807E-13,2,1.864018202,20
Instance_500_30_,500,30,50,8.864933014,-83.395,-83.395,0,2,10.51278186,20
Instance_500_30_,500,30,100,17.82657909,-46.7245,-46.7245,0,2,21.60595918,20
Instance_500_30_,500,30,150,27.51858306,-31.93533333,-31.93533333,0,2,32.57559013,20
Instance_500_30_,500,30,200,38.59176397,-27.6465,-27.6465,0,2,45.54154396,20
Instance_900_30_,900,30,10,2.124154091,-349.16,-349.16,2.93041E-13,2,2.63617897,20
Instance_900_30_,900,30,50,11.21008182,-79.096,-79.096,0,2,13.23434305,20
Instance_900_30_,900,30,100,21.75209117,-42.7835,-42.7835,0,2,25.90403795,20
Instance_900_30_,900,30,150,33.22436619,-30.46933333,-30.46933333,0,2,39.29268289,20
Instance_900_30_,900,30,200,43.94373894,-25.054,-25.054,0,2,53.81133699,20
Instance_1500_30_,1500,30,10,2.726393223,-369.67,-369.67,4.15174E-13,2,3.285204172,20
Instance_1500_30_,1500,30,50,13.5561583,-69.348,-69.348,0,2,15.95311189,20
Instance_1500_30_,1500,30,100,26.93629098,-40.8735,-40.8735,0,2,31.69560003,20
Instance_1500_30_,1500,30,150,42.37367988,-29.78966667,-29.78966667,0,2,51.15646386,20
