name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_168_30_,168,30,10,1.628525257,-705.795,-705.795,3.22153E-14,2,1.957902908,10
Instance_168_30_,168,30,50,9.229284763,-155.093,-155.093,0,2,10.32272911,10
Instance_168_30_,168,30,100,20.33452606,-85.9815,-85.9815,0,2,29.04186082,10
Instance_168_30_,168,30,150,30.25180793,-65.1,-65.1,0,2,36.7662859,10
Instance_168_30_,168,30,200,40.14283633,-51.211,-51.211,0,2,44.72198987,10
Instance_270_30_,270,30,10,2.044818878,-662.32,-662.32,1.3732E-13,2,2.893256903,10
Instance_270_30_,270,30,50,10.40626287,-139.552,-139.552,0,2,11.72093892,10
Instance_270_30_,270,30,100,23.37992692,-82.9645,-82.9637,0.000964268,2,26.90977693,10
Instance_270_30_,270,30,150,33.42566609,-61.41066667,-61.41066667,0,2,39.70597386,10
Instance_270_30_,270,30,200,48.29521513,-52.869,-52.869,0,2,58.48943806,10
Instance_500_30_,500,30,10,2.32990694,-564.74,-564.74,1.81177E-13,2,3.366473198,10
Instance_500_30_,500,30,50,13.12473702,-139.194,-139.194,0,2,14.85610127,10
Instance_500_30_,500,30,100,30.97179627,-82.0415,-82.0415,0,2,34.41174698,10
Instance_500_30_,500,30,150,49.53426671,-59.373,-59.373,0,2,54.58983994,10
Instance_500_30_,500,30,200,64.17252398,-52.482,-52.482,0,2,70.87509584,10
Instance_900_30_,900,30,10,3.203754902,-551.275,-551.275,2.4747E-13,2,4.387132168,10
Instance_900_30_,900,30,50,16.73197913,-131.628,-131.628,0,2,18.91170311,10
Instance_900_30_,900,30,100,36.28055692,-75.6295,-75.6295,0,2,40.39026308,10
Instance_900_30_,900,30,150,56.69996595,-56.83466667,-56.83466667,1.37521E-13,2,62.85953784,10
Instance_900_30_,900,30,200,83.80446386,-48.4,-48.4,0,2,92.10951304,10
Instance_1500_30_,1500,30,10,4.29876709,-567.14,-567.14,3.2073E-13,2,5.811738968,10
Instance_1500_30_,1500,30,50,20.80869198,-115.584,-115.584,0,2,23.41347814,10
Instance_1500_30_,1500,30,100,47.87535596,-72.232,-72.232,0,2,53.00761819,10
Instance_1500_30_,1500,30,150,73.90159369,-55.20633333,-55.20633333,0,2,81.15650606,10
Instance_1500_30_,1500,30,200,96.43116188,-45.9935,-45.9935,0,2,106.858305,10
Instance_168_30_,168,30,10,1.612409115,-649.485,-649.46,0.003849204,2,1.8358531,20
Instance_168_30_,168,30,50,11.27546597,-134.839,-134.839,2.10783E-14,2,12.40381098,20
Instance_168_30_,168,30,100,22.68603587,-70.2955,-70.2955,0,2,25.52610803,20
Instance_168_30_,168,30,150,32.18183708,-50.76866667,-50.76866667,0,2,36.08703709,20
Instance_168_30_,168,30,200,46.19716597,-37.797,-37.797,0,2,50.74503398,20
Instance_270_30_,270,30,10,1.97080493,-606.01,-605.965,0.00742562,2,2.256742239,20
Instance_270_30_,270,30,50,10.49340105,-118.882,-118.882,0,2,11.90973783,20
Instance_270_30_,270,30,100,24.80353308,-66.9385,-66.9385,0,2,28.07058787,20
Instance_270_30_,270,30,150,37.39650607,-46.87666667,-46.87666667,0,2,43.60267496,20
Instance_270_30_,270,30,200,48.65420198,-39.241,-39.241,0,2,66.224231,20
Instance_500_30_,500,30,10,2.352714062,-507.91,-507.885,0.004922132,2,2.698242188,20
Instance_500_30_,500,30,50,15.48223996,-118.556,-118.55,0.005060899,2,17.24670196,20
Instance_500_30_,500,30,100,37.15610504,-65.8395,-65.8267,0.019441217,2,41.2714901,20
Instance_500_30_,500,30,150,51.61227489,-44.70833333,-44.68566667,0.050698975,2,61.0969522,20
Instance_500_30_,500,30,200,125.0322599,-38.57,-38.57,1.25271E-12,2,131.8645661,20
Instance_900_30_,900,30,10,3.079944849,-494.085,-494.085,2.18591E-13,2,3.509824038,20
Instance_900_30_,900,30,50,18.53059888,-110.622,-110.622,1.18186E-12,2,20.55920005,20
Instance_900_30_,900,30,100,40.60775018,-59.1115,-59.1115,6.01019E-14,2,44.88989902,20
Instance_900_30_,900,30,150,60.53926206,-41.762,-41.74688889,0.036183878,2,73.83730507,20
Instance_900_30_,900,30,200,85.72272396,-34.094,-34.0925,0.004399601,2,94.93320298,20
Instance_1500_30_,1500,30,10,4.097554207,-509.39,425.41,183.5136143,2,4.690320253,20
Instance_1500_30_,1500,30,50,21.98730206,-94.386,-94.381,0.005297396,2,24.63798809,20
Instance_1500_30_,1500,30,100,45.2017889,-55.55,-55.55,0,2,50.12160778,20
Instance_1500_30_,1500,30,150,72.99615192,-39.97633333,-39.97633333,0,2,80.55493712,20
Instance_1500_30_,1500,30,200,110.4114652,-31.5295,-31.5295,0,2,121.206368,20
Instance_168_30_,168,30,10,1.512457848,-560.845,-560.845,8.10825E-14,2,1.74345994,35
Instance_168_30_,168,30,50,10.49288893,-103.719,-103.719,0,2,12.88757801,35
Instance_168_30_,168,30,100,22.94847584,-46.3715,-46.3675,0.008625988,2,26.65943313,35
Instance_168_30_,168,30,150,42.29472089,-29.31533333,-29.30066667,0.050030701,2,45.97743797,35
