name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_168_30_,168,30,10,93.59882593,3.429000004,3.534746979,3.083901296,2,152.4074008,10
Instance_168_30_,168,30,50,1666.016309,4.7735,4.9065,2.786215565,2,1810.064291,10
Instance_168_30_,168,30,100,1631.358145,4.1159,4.836148102,17.49916427,2,1819.081342,10
Instance_168_30_,168,30,150,301.469496,3.622344444,9.707333333,167.9848226,2,1830.544644,10
Instance_168_30_,168,30,200,962.2471988,3.6855,5.1439,39.5712929,2,1836.539992,10
Instance_270_30_,270,30,10,904.802083,5.1305,5.130500002,3.17E-08,2,907.675735,10
Instance_270_30_,270,30,50,1716.874161,5.5525,5.9795,7.690229626,2,1813.565023,10
Instance_270_30_,270,30,100,1668.078984,5.3364,5.85365,9.692864103,2,1825.30795,10
Instance_270_30_,270,30,150,1687.697922,5.336111111,6.019359482,12.80423809,2,1836.90025,10
Instance_270_30_,270,30,200,548.907685,4.46325,11.2765,152.6522153,2,2144.472186,10
Instance_500_30_,500,30,10,255.1497579,6.529,6.611144334,1.258145719,2,417.234983,10
Instance_500_30_,500,30,50,1068.793582,6.9825,7.4505,6.702470462,2,1820.382791,10
Instance_500_30_,500,30,100,1564.809558,7.4329,8.178,10.0243512,2,1841.07729,10
Instance_500_30_,500,30,150,656.143661,6.3258,14.12066667,123.2234131,2,1979.759088,10
Instance_500_30_,500,30,200,952.0548072,6.52235,14.01925,114.9417005,2,2136.830551,10
Instance_168_30_,168,30,10,101.6249101,3.905,3.95586364,1.302525998,2,109.8547399,20
Instance_168_30_,168,30,50,1603.187525,5.055,5.287,4.589515331,2,1810.895036,20
Instance_168_30_,168,30,100,1439.50583,4.50635,5.19515,15.2850977,2,1822.738703,20
Instance_168_30_,168,30,150,253.0955808,3.483877778,9.707333333,178.6358751,2,1830.484172,20
Instance_168_30_,168,30,200,359.526093,3.3972,9.1375,168.9715059,2,1867.493098,20
Instance_270_30_,270,30,10,311.325418,5.6505,5.977181341,5.781458995,2,1349.391011,20
Instance_270_30_,270,30,50,1775.578297,5.8575,6.2735,7.102005975,2,1814.56234,20
Instance_270_30_,270,30,100,1639.098747,5.72585,6.19125,8.128050857,2,1835.108214,20
Instance_270_30_,270,30,150,335.4950273,4.158433333,11.171,168.6348224,2,1998.108116,20
Instance_270_30_,270,30,200,496.663775,4.3279,11.2765,160.5536172,2,2151.729617,20
Instance_500_30_,500,30,10,254.5805223,7.1855,7.410327394,3.128903955,2,556.696893,20
Instance_500_30_,500,30,50,1649.737413,7.3235,7.823,6.820509319,2,1819.937589,20
Instance_500_30_,500,30,100,362.4720879,6.00135,14.2245,137.0216701,2,1922.733422,20
Instance_500_30_,500,30,150,543.7383089,5.954622222,14.155,137.7144926,2,2153.806536,20
Instance_500_30_,500,30,200,838.4075091,5.9553,14.01975,135.4163518,2,2358.519895,20
Instance_168_30_,168,30,10,82.53698802,4.0895,4.124798263,0.863143742,2,100.6638758,35
Instance_168_30_,168,30,50,1097.119523,5.231,5.418,3.574842286,2,1810.135627,35
Instance_168_30_,168,30,100,1397.026897,4.8166,5.36765,11.44064278,2,1819.028328,35
Instance_168_30_,168,30,150,216.9246907,3.388411111,9.707333333,186.4862915,2,1833.850002,35
Instance_168_30_,168,30,200,286.8137872,3.2763,9.13325,178.7672069,2,1941.725028,35
Instance_270_30_,270,30,10,121.2786441,6.008,6.078383976,1.171504261,2,166.5210459,35
Instance_270_30_,270,30,50,1769.416402,6.089,6.407,5.222532436,2,1816.10695,35
Instance_270_30_,270,30,100,1510.860743,5.94715,6.370149621,7.112644232,2,1827.183452,35
Instance_270_30_,270,30,150,1712.665648,5.918055556,6.402906968,8.192748575,2,1840.828856,35
Instance_270_30_,270,30,200,396.8703611,4.14755,11.2765,171.883401,2,2144.198985,35
Instance_500_30_,500,30,10,38.15582705,7.549,7.938557037,5.160379354,2,116.492933,35
Instance_500_30_,500,30,50,1788.710632,7.6325,8.0935,6.039960694,2,1821.625929,35
Instance_500_30_,500,30,100,330.9355869,5.9078,14.231,140.8849318,2,2060.575216,35
Instance_500_30_,500,30,150,476.9805672,5.8906,14.155,140.2981021,2,2142.476312,35
Instance_500_30_,500,30,200,755.32441,5.73215,14.01975,144.5810036,2,2200.76398,35
