20
40
2
3
5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
22
6 1 18 19 12 26 30 16 20 25 32 24 31 36 9 22 4 39 40 17 29 15 
34
13 7 1 12 2 19 6 30 5 38 8 27 23 34 40 33 18 36 21 28 35 11 31 26 15 37 14 10 16 24 9 32 3 17 
1 2 
1 2 3 
0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 
1 1 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 3 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 
0 1 0 1 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 1 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 1 0 
16 25 21 11 27 19 10 27 24 19 36 15 12 28 32 24 24 23 30 16 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
14 18 13 40 11 15 25 34 17 11 41 32 18 12 38 28 9 26 28 35 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
30 33 40 40 25 13 21 29 29 17 40 28 10 11 32 22 31 23 27 37 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
34 26 41 37 24 20 32 17 33 15 21 43 33 34 20 14 26 19 31 44 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
37 20 23 10 15 12 16 24 15 24 9 25 33 39 41 26 16 23 23 45 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
27 35 13 14 20 36 39 40 44 23 37 23 44 40 15 16 17 44 18 30 
14 18 16 19 43 10 25 13 45 37 13 16 39 45 25 23 29 10 40 25 
35 35 17 25 26 44 14 43 18 28 41 25 15 14 36 41 29 24 39 29 
40 10 23 14 10 22 23 40 34 39 35 27 24 17 36 29 26 17 29 24 
35 16 11 40 27 44 24 22 23 39 42 16 22 24 25 18 10 12 35 17 
33 35 31 26 38 26 26 9 15 32 36 29 15 15 38 19 10 42 38 24 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
10 17 21 14 26 39 22 16 36 16 36 15 21 44 34 9 32 31 45 31 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
10 28 26 27 16 31 9 36 40 15 43 10 33 31 24 29 14 22 9 22 
23 12 27 9 38 41 25 9 29 14 40 43 24 27 41 43 33 39 11 34 
27 22 9 30 10 41 17 40 42 43 30 18 14 18 19 28 32 44 40 34 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
12 42 24 20 26 38 21 44 14 38 32 20 28 45 33 43 43 25 21 14 
40 40 21 22 19 35 19 39 28 9 15 10 15 35 33 19 26 24 30 44 
23 23 37 23 27 17 25 24 28 40 23 33 33 39 9 19 27 37 36 10 
11 22 16 17 10 34 30 41 41 28 22 9 26 40 22 11 27 28 43 43 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
14 19 27 36 24 15 32 45 33 23 11 9 32 14 25 42 45 12 28 26 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
35 31 14 38 20 10 45 45 22 39 35 22 42 10 42 23 10 12 36 35 
39 15 15 30 41 36 16 9 22 26 38 17 22 36 34 21 32 21 11 42 
21 20 31 29 17 24 16 23 23 23 35 18 27 27 32 20 26 25 24 21 
19 26 23 22 24 16 35 17 26 32 31 15 22 32 24 33 25 22 31 22 
25 35 23 28 26 22 29 19 27 19 32 19 26 18 21 21 30 29 17 32 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
25 18 22 29 28 16 17 18 17 27 28 28 21 29 23 35 18 21 33 29 
15 25 15 33 27 35 21 35 34 23 16 23 15 22 16 24 33 25 31 31 
15 22 24 16 27 16 35 26 33 27 15 31 33 23 29 25 29 21 31 30 
31 34 22 21 15 21 29 20 27 23 35 35 16 15 27 20 19 33 32 15 
21 30 29 15 15 19 32 17 33 17 22 33 33 27 16 30 30 15 28 16 
23 31 23 21 16 21 29 24 35 23 17 28 26 32 15 28 32 17 20 19 
