"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,1.88012669897909,12.3715165117255,0.246865666416321,85.5014911228791,0
270,16,10,6,1.86048066881662,14.1938349456338,0.103917331128383,83.8417670544212,0
500,16,10,6,2.11218036534619,17.4024924362542,0.0710453342489435,80.4142818641506,0
900,16,10,6,2.16234934135714,20.0586932500832,0.0782435046350885,77.7007139039245,0
1500,16,10,6,2.83622175036484,23.5127678534254,0.0639164874253012,73.5870939087844,0
168,16,20,11,2.58958955197134,11.6620536587332,0.58722094652852,85.1611358427669,0
270,16,20,11,2.78031468059209,13.2740009338583,0.377773069589817,83.5679113159598,0
500,16,20,11,3.22826357925078,16.2864092223496,0.227807259311163,80.2575199390884,0
900,16,20,11,3.12420184670719,19.0968407447332,0.131900896366794,77.6470565121928,0
1500,16,20,11,4.11307698294123,22.235912620849,0.16605379862392,73.4849565975858,0
168,16,35,20,3.35225001973012,10.8993931909745,0.913472438479891,84.8348843508155,0
270,16,35,20,3.60491785414335,12.449397760307,0.793486925677954,83.1521974598717,0
500,16,35,20,4.49531728439097,15.0193555172095,0.332761627331297,80.1525655710683,0
900,16,35,20,4.42824864484483,17.7927939465955,0.360548106525427,77.4184093020342,0
1500,16,35,20,5.59083741489276,20.7581521888975,0.469520846379128,73.1814895498306,0
