"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,4.83731890122419,2.09832089327563,25.0380956501748,8.30940036711706,59.7168641882083
270,16,10,6,4.40095742803631,1.99094991922226,24.0991144108139,5.24010077170571,64.2688774702219
500,16,10,6,5.53242153562874,0.9351351598068,20.2580367059164,2.59465800530618,70.6797485933419
900,16,10,6,4.80425559134294,0.234360614340878,16.7395346902944,1.36525544603015,76.8565936579917
1500,16,10,6,5.1198683635291,0.0949220082804165,13.9360937881247,0.788095320223945,80.0610205198418
168,16,20,11,6.2146211230136,4.4661084745097,33.1224108514779,17.5937545522087,38.6031049987901
270,16,20,11,6.57267648082417,4.25163153867411,32.8913057137938,12.5039216767687,43.7804645899392
500,16,20,11,8.25295066164537,2.2153392770692,29.7571768635636,7.39862315587191,52.37591004185
900,16,20,11,8.11971222019682,0.704044343662963,25.5215080061413,4.19300499125496,61.461730438744
1500,16,20,11,8.65508321493818,0.422094919154513,21.4396839477492,2.75158398447285,66.7315539336853
168,16,35,20,7.15670681666874,5.52327298764299,33.3958613692974,36.3155525705091,17.6086062558818
270,16,35,20,8.28957831681146,6.07813283249597,36.7799513015984,27.5644179631014,21.2879195859928
500,16,35,20,11.0463022183712,4.89327284780804,37.2808720939213,18.7052378397549,28.0743150001446
900,16,35,20,11.0989222226745,1.97950151728245,33.7231165121905,11.8925635387651,41.3058962090875
1500,16,35,20,12.235950979292,1.12381478200068,30.4345692316132,7.91206274099166,48.2936022661024
