"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,5.04614243063596,2.21310193922159,27.3871066177946,13.0726068745889,52.281042137759
270,16,10,6,4.40095742803631,2.11591698114584,27.307806163718,9.05948228634498,57.1158371407549
500,16,10,6,5.53242153562874,0.939301826473467,24.7311182839623,5.11716425911315,63.6799940948224
900,16,10,6,4.80425559134294,0.282706676839475,21.3271668588409,2.64899949865861,70.936871374318
1500,16,10,6,5.1198683635291,0.138526628976905,18.2321430817291,1.84394148056893,74.665520445196
168,16,20,11,8.67713872413657,6.51317396288389,30.820031780325,25.7472748806984,28.2423806519561
270,16,20,11,8.6862614119487,5.60058297670803,33.7079325155664,18.2308194796604,33.7744036161165
500,16,20,11,10.2250013730802,2.97541474343947,32.6010086429659,11.6691355858113,42.5294396547032
900,16,20,11,9.87837015656502,1.04602748145595,29.4205059707119,6.97822570248371,52.6768706887834
1500,16,20,11,10.6003530054021,0.615596492048847,25.1659481232332,5.16012542738524,58.4579769519307
168,16,35,20,11.1068050563871,14.0440343710594,26.6273448402527,37.1301440682502,11.0916716640507
270,16,35,20,11.937247969875,12.7033277694066,32.7229556917959,28.0986471614911,14.5378214074314
500,16,35,20,15.2930014638383,8.18289282217049,34.0377236867331,22.0572920269602,20.4290900002979
900,16,35,20,15.0699149750649,3.9518495665909,32.2139564589356,15.9924529478559,32.7718260515526
1500,16,35,20,16.9110552401239,2.54345988370368,29.0586751298177,12.0539800987826,39.4328296475721
