Elapsed time: 7.436271905899048
Obj: -2135.07
located_1 1 -0
located_1 2 0
located_2 1 -0
located_2 2 -0
located_3 1 -0
located_3 2 -0
located_4 1 -0
located_4 2 -0
located_5 1 1
located_5 2 1
located_6 1 -0
located_6 2 0
located_7 1 -0
located_7 2 -0
located_8 1 -0
located_8 2 0
located_9 1 0
located_9 2 -0
located_10 1 1
located_10 2 1
located_11 1 1
located_11 2 1
located_12 1 1
located_12 2 -0
located_13 1 -0
located_13 2 -0
located_14 1 -0
located_14 2 -0
located_15 1 2
located_15 2 1
located_16 1 -0
located_16 2 -0
located_17 1 -0
located_17 2 -0
located_18 1 -0
located_18 2 0
located_19 1 -0
located_19 2 -0
located_20 1 -0
located_20 2 -0
located_21 1 -0
located_21 2 0
located_22 1 -0
located_22 2 -0
located_23 1 1
located_23 2 0
located_24 1 1
located_24 2 1
located_25 1 1
located_25 2 1
located_26 1 -0
located_26 2 -0
located_27 1 -0
located_27 2 -0
located_28 1 1
located_28 2 -0
located_29 1 -0
located_29 2 -0
located_30 1 -0
located_30 2 -0
located_31 1 1
located_31 2 -0
located_32 1 -0
located_32 2 0
located_33 1 1
located_33 2 -0
located_34 1 -0
located_34 2 -0
located_35 1 0
located_35 2 -0
located_36 1 -0
located_36 2 -0
located_37 1 -0
located_37 2 -0
located_38 1 -0
located_38 2 -0
located_39 1 -0
located_39 2 -0
located_40 1 -0
located_40 2 -0
located_41 1 -0
located_41 2 -0
located_42 1 -0
located_42 2 -0
located_43 1 0
located_43 2 1
located_44 1 -0
located_44 2 -0
located_45 1 -0
located_45 2 -0
located_46 1 -0
located_46 2 -0
located_47 1 1
located_47 2 1
located_48 1 -0
located_48 2 -0
located_49 1 1
located_49 2 1
located_50 1 1
located_50 2 1
located_51 1 1
located_51 2 0
located_52 1 1
located_52 2 1
located_53 1 -0
located_53 2 -0
located_54 1 -0
located_54 2 -0
located_55 1 1
located_55 2 0
located_56 1 1
located_56 2 0
located_57 1 -0
located_57 2 0
located_58 1 -0
located_58 2 0
located_59 1 1
located_59 2 -0
located_60 1 -0
located_60 2 -0
located_61 1 -0
located_61 2 0
located_62 1 -0
located_62 2 -0
located_63 1 1
located_63 2 0
located_64 1 0
located_64 2 0
located_65 1 -0
located_65 2 0
located_66 1 -0
located_66 2 -0
located_67 1 0
located_67 2 1
located_68 1 1
located_68 2 1
located_69 1 2
located_69 2 1
located_70 1 -0
located_70 2 0
located_71 1 1
located_71 2 0
located_72 1 1
located_72 2 1
located_73 1 -0
located_73 2 -0
located_74 1 -0
located_74 2 -0
located_75 1 -0
located_75 2 -0
located_76 1 -0
located_76 2 0
located_77 1 -0
located_77 2 0
located_78 1 1
located_78 2 1
located_79 1 0
located_79 2 -0
located_80 1 -0
located_80 2 -0
located_81 1 -0
located_81 2 0
located_82 1 -0
located_82 2 0
located_83 1 -0
located_83 2 0
located_84 1 1
located_84 2 1
located_85 1 -0
located_85 2 -0
located_86 1 -0
located_86 2 -0
located_87 1 1
located_87 2 0
located_88 1 -0
located_88 2 0
located_89 1 -0
located_89 2 0
located_90 1 2
located_90 2 1
located_91 1 -0
located_91 2 0
located_92 1 -0
located_92 2 0
located_93 1 -0
located_93 2 -0
located_94 1 -0
located_94 2 -0
located_95 1 -0
located_95 2 -0
located_96 1 -0
located_96 2 0
located_97 1 -0
located_97 2 0
located_98 1 1
located_98 2 -0
located_99 1 1
located_99 2 1
located_100 1 2
located_100 2 1
OnTime_1 1 1 63 0
OnTime_1 1 2 63 0
OnTime_1 1 1 66 0
OnTime_1 1 2 66 0
OnTime_1 1 1 67 0
OnTime_1 1 2 67 0
OnTime_1 1 1 72 -0
OnTime_1 1 2 72 0
OnTime_1 1 1 75 0
OnTime_1 1 2 75 0
OnTime_1 1 1 86 0
OnTime_1 1 2 86 0
OnTime_1 1 1 88 0
OnTime_1 1 2 88 0
OnTime_1 1 1 95 0
OnTime_1 1 2 95 0
OnTime_1 1 1 121 0
OnTime_1 1 2 121 0
OnTime_1 1 1 123 0
OnTime_1 1 2 123 0
OnTime_1 1 1 124 0
OnTime_1 1 2 124 0
OnTime_1 1 1 128 0
OnTime_1 1 2 128 0
OnTime_1 1 1 129 0
OnTime_1 1 2 129 0
OnTime_1 1 1 130 0
OnTime_1 1 2 130 0
OnTime_1 1 1 137 0
OnTime_1 1 2 137 0
OnTime_1 1 1 145 0
OnTime_1 1 2 145 0
OnTime_1 1 1 146 0
OnTime_1 1 2 146 0
OnTime_1 1 1 164 -0
OnTime_1 1 2 164 -0
OnTime_1 1 1 173 0
OnTime_1 1 2 173 0
OnTime_1 1 1 174 0
OnTime_1 1 2 174 0
OnTime_1 1 1 175 0
OnTime_1 1 2 175 0
OnTime_1 1 1 176 0
OnTime_1 1 2 176 0
OnTime_1 1 1 177 0
OnTime_1 1 2 177 0
