name,I size,L size,S size,model time,best obj mec,best obj sabc,best obj math,mec vs sabc,sabc vs math,improvement %,improvement %,time mec,time sabc,total time math
Instance_168_16_,168,16,10,1.520872831,4.995000008,4.995,4.995000016, ,1,,3.16983E-07,94.89004374,1.296252966,368.820245
Instance_168_16_,168,16,50,5.249302149,4.849,4.848,4.848000001, ,1,,1.43126E-08,10801.68338,6.455094099,2846.189741
Instance_168_16_,168,16,100,11.44592905,4.91145,4.88345,4.887450001, ,1,,0.081909319,10804.22699,12.24482417,4412.33867
Instance_168_16_,168,16,150,17.50060797,4.713244444,4.677400001,4.678066671, ,1,,0.014252984,10809.76623,18.04518914,7928.357077
Instance_168_16_,168,16,200,23.41216993,4.84205,4.8221,4.82355, ,1,,0.030069887,10808.74663,22.81453204,10757.63873
Instance_168_50_,168,50,10,1.961333036,7.285,6.485,6.540000002, ,1,,0.848111051,2908.634401,2.017374992,2434.76308
Instance_168_50_,168,50,50,9.777362823,6.5825,6.441,6.464, ,1,,0.357087409,10806.88645,10.25095606,29228.65874
Instance_168_50_,168,50,100,23.185848,5.86825,6.4167,6.4623,1,1,9.346057172,0.710645659,10810.24798,21.91265512,50853.07938
Instance_168_50_,168,50,150,32.88763285,5.040522223,6.375988893,6.417422223,1,1,26.4946093,0.649833788,10813.54599,32.87989283,77730.94184
Instance_168_50_,168,50,200,43.23488903,4.6735,6.3773,6.4149,1,1,36.4566171,0.589591206,10817.94411,41.00265503,128278.0626
Instance_168_100_,168,100,10,3.234119892,7.865,7.070000095,7.18, ,1,,1.555868511,10802.61484,3.38936615,12334.83978
Instance_168_100_,168,100,50,13.21068215,5.156,6.463000009,6.513,1,1,25.34910801,0.773634398,10807.95754,12.98286414,50687.64756
Instance_168_100_,168,100,100,29.14016795,1.8485,6.6976,6.717600001,1,1,262.3262105,0.298614435,10817.48658,28.21612072,115746.6959
Instance_168_100_,168,100,150,49.93607879,1.9081,6.85182223,6.8787,1,1,259.0913594,0.392271858,10834.64573,47.20537329,253988.802
Instance_168_100_,168,100,200,61.33472085,1.93335,6.8329,6.8721,1,1,253.4228153,0.573694917,10843.43668,61.62520099,324136.6461
Instance_270_16_,270,16,10,1.481007814,5.580000003,5.525,5.535, ,1,,0.180995475,80.96167302,1.500650406,550.013891
Instance_270_16_,270,16,50,6.304650068,5.9145,5.8675,5.872500001, ,1,,0.085215177,10802.5726,8.48607111,1890.433705
Instance_270_16_,270,16,100,15.32393599,5.719,5.70245,5.70465, ,1,,0.038579906,10806.72836,15.55372596,7699.470865
Instance_270_16_,270,16,150,22.37868905,5.857844447,5.834588893,5.835666673, ,1,,0.018472238,10807.91603,22.62432003,10804.56339
Instance_270_16_,270,16,200,28.6271739,5.7808,5.77065,5.771, ,1,,0.006065175,10808.72667,29.76686406,15820.98089
