name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_16_,168,16,10,4.995000008,4.995,4.995000006,,,-1.6016E-07,1.2012E-07,94.89004374,1.350162983,81.55
Instance_168_16_,168,16,50,4.849,4.848,4.848,,,-0.020622809,0,10801.68338,6.074362993,238.78
Instance_168_16_,168,16,100,4.91145,4.88345,4.883450001,,,-0.570096407,2.04773E-08,10804.22699,14.18059492,868.43
Instance_168_16_,168,16,150,4.713244444,4.677400001,4.677655561,,,-0.760504647,0.005463719,10809.76623,20.345752,908.28
Instance_168_16_,168,16,200,4.84205,4.8221,4.8221,,,-0.412015572,0,10808.74663,24.97247601,1086.96
Instance_270_16_,270,16,10,5.580000003,5.525,5.52500001,,,-0.985663136,1.80995E-07,80.96167302,2.846427202,86.18
Instance_270_16_,270,16,50,5.9145,5.8675,5.868500001,,,-0.794657198,0.017043051,10802.5726,8.724536896,345.33
Instance_270_16_,270,16,100,5.719,5.70245,5.707150001,,,-0.289386256,0.082420731,10806.72836,18.26263881,785.26
Instance_270_16_,270,16,150,5.857844447,5.834588893,5.835666673,,,-0.39699849,0.018472253,10807.91603,23.97413492,1106.05
Instance_270_16_,270,16,200,5.7808,5.77065,5.77145,,,-0.175581234,0.013863256,10808.72667,31.338063,1921.92
Instance_500_16_,500,16,10,7.525000014,7.31,7.39,,,-2.857143038,1.094391245,64.81945801,3.065294027,143.61
Instance_500_16_,500,16,50,7.5745,7.5245,7.526,,,-0.660109578,0.019934879,10804.88968,10.18895197,775.67
Instance_500_16_,500,16,100,7.47815,7.44245,7.44245,,,-0.477390799,0,10809.83684,20.29354191,892.22
Instance_500_16_,500,16,150,7.567244448,7.507400003,7.510177778,,,-0.790835362,0.037000493,10810.06643,33.0370152,1566.82
Instance_500_16_,500,16,200,8.1495,8.12215,8.12215,,,-0.335603411,0,10810.9416,46.16319299,1965.1
Instance_900_16_,900,16,10,8.467500026,8.4275,8.4325,,,-0.472394755,0.059329576,208.299381,4.485215902,179.3
Instance_900_16_,900,16,50,9.278,9.238,9.2415,,,-0.431127398,0.037886989,815.4655178,15.38121581,739.81
Instance_900_16_,900,16,100,9.2937,9.2599,9.2599,,,-0.363687229,0,10809.5338,42.07380605,1845.77
Instance_900_16_,900,16,150,9.195733334,9.175755556,9.176077778,,,-0.217250515,0.003511667,10830.54969,64.30327606,3276.77
Instance_900_16_,900,16,200,9.4022,9.3896,9.3896,,,-0.134011189,0,10814.37108,90.56242681,4954.8
Instance_1500_16_,1500,16,10,9.990000001,9.939,9.939000015,,,-0.51051052,1.50921E-07,48.13504672,4.773682117,236.21
Instance_1500_16_,1500,16,50,11.356,11.305,11.312,,,-0.449101796,0.061919505,2582.045221,18.11931109,1257.08
Instance_1500_16_,1500,16,100,10.6797,10.6402,10.64505,,,-0.369860577,0.04558185,10808.24106,88.14355826,5054.54
Instance_1500_16_,1500,16,150,11.28842222,11.27531111,11.27531111,,,-0.116146524,0,10818.30216,207.5069468,9667.17
Instance_1500_16_,1500,16,200,11.0536,11.05635,11.05635,1,,0.024878773,0,10838.32562,252.3682969,13750.04
