I size,L size,S size,Solution from,,,,,
270,16,10,SBFM,,,,,
270,16,10,V3 BLS,,,,,
270,16,50,SBFM,,,,,
270,16,50,V3 BLS,,,,,
270,16,100,SBFM,,,,,
270,16,100,V3 BLS,,,,,
270,16,150,SBFM,,,,,
270,16,150,V3 BLS,,,,,
270,16,200,SBFM,,,,,
270,16,200,V3 BLS,,,,,
270,16,200,V3 BLS,,,,,
270,50,10,SBFM,,,,,
270,50,10,V2 BLS,,,,,
270,50,10,V2 BLS,,,,,
270,50,10,V2 BLS,,,,,
270,50,10,V2 BLS,,,,,
270,50,50,SBFM,,,,,
270,50,50,V2 BLS,,,,,
270,50,50,V2 BLS,,,,,
270,50,50,V2 BLS,,,,,
270,50,50,V2 BLS,,,,,
270,50,50,V4 BLS,,,,,
270,50,100,SBFM,,,,,
270,50,100,V1 BLS,,,,,
270,50,100,V2 BLS,,,,,
270,50,100,V2 BLS,,,,,
270,50,100,V4 BLS,,,,,
270,50,100,V4 ALS,,,,,
270,50,150,SBFM,,,,,
270,50,150,V2 BLS,,,,,
270,50,150,V2 BLS,,,,,
270,50,150,V4 BLS,,,,,
270,50,150,V4 ALS,,,,,
270,50,200,SBFM,,,,,
270,50,200,V2 BLS,,,,,
270,50,200,V4 BLS,,,,,
270,50,200,V4 ALS,,,,,
270,100,10,SBFM,,,,,
270,100,10,V1 BLS,,,,,
270,100,10,V2 BLS,,,,,
270,100,10,V2 BLS,,,,,
270,100,10,V2 BLS,,,,,
270,100,10,V2 BLS,,,,,
270,100,10,V2 BLS,,,,,
270,100,50,SBFM,,,,,
270,100,50,V2 BLS,,,,,
270,100,50,V4 BLS,,,,,
270,100,50,V4 ALS,,,,,
270,100,100,SBFM,,,,,
270,100,100,V1 BLS,,,,,
270,100,100,V2 BLS,,,,,
270,100,100,V4 BLS,,,,,
270,100,100,V4 ALS,,,,,
270,100,150,SBFM,,,,,
270,100,150,V4 BLS,,,,,
270,100,150,V4 ALS,,,,,
270,100,200,SBFM,,,,,
270,100,200,V4 BLS,,,,,
270,100,200,V4 ALS,,,,,
900,16,10,SBFM,,,,,
900,16,10,V4 ALS,,,,,
900,16,50,SBFM,,,,,
900,16,50,V3 BLS,,,,,
900,16,100,SBFM,,,,,
900,16,150,SBFM,,,,,
900,16,150,V3 BLS,,,,,
900,16,200,SBFM,,,,,
900,50,10,SBFM,,,,,
900,50,10,V2 BLS,,,,,
900,50,10,V2 BLS,,,,,
900,50,10,V2 BLS,,,,,
900,50,10,V2 BLS,,,,,
900,50,10,V2 BLS,,,,,
900,50,10,V4 BLS,,,,,
900,50,50,SBFM,,,,,
900,50,50,V4 BLS,,,,,
900,50,50,V4 ALS,,,,,
900,50,100,SBFM,,,,,
900,50,100,V4 BLS,,,,,
900,50,100,V4 ALS,,,,,
900,50,150,SBFM,,,,,
900,50,150,V4 BLS,,,,,
900,50,150,V4 ALS,,,,,
900,50,200,SBFM,,,,,
900,50,200,V4 BLS,,,,,
900,50,200,V4 ALS,,,,,
900,100,10,SBFM,,,,,
900,100,10,V1 BLS,,,,,
900,100,10,V1 ALS,,,,,
900,100,10,V2 BLS,,,,,
900,100,10,V2 BLS,,,,,
900,100,10,V2 BLS,,,,,
900,100,10,V2 BLS,,,,,
900,100,10,V2 BLS,,,,,
900,100,50,SBFM,,,,,
900,100,50,V4 BLS,,,,,
900,100,50,V4 ALS,,,,,
900,100,100,SBFM,,,,,
900,100,100,V4 BLS,,,,,
900,100,100,V4 ALS,,,,,
900,100,150,SBFM,,,,,
900,100,150,V4 BLS,,,,,
900,100,150,V4 ALS,,,,,
900,100,200,SBFM,,,,,
900,100,200,V4 BLS,,,,,
900,100,200,V4 ALS,,,,,
