name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_16_,168,16,10,1.296252966,4.995,4.9965,0.03003003,2,1.384646893
Instance_168_16_,168,16,50,6.455094099,4.848,4.849,0.020627063,2,6.780255079
Instance_168_16_,168,16,100,12.24482417,4.88345,4.88465,0.024572792,2,12.88917708
Instance_168_16_,168,16,150,18.04518914,4.677400001,4.67820915,0.0172991,2,19.12626004
Instance_168_16_,168,16,200,22.81453204,4.8221,4.8226,0.010368926,2,24.04057884
Instance_270_16_,270,16,10,1.500650406,5.525,5.525,0,2,1.933139801
Instance_270_16_,270,16,50,8.48607111,5.8675,5.87,0.042607584,2,9.274602175
Instance_270_16_,270,16,100,15.55372596,5.70245,5.703116667,0.011690881,2,16.34278393
Instance_270_16_,270,16,150,22.62432003,5.834588893,5.835500237,0.015619678,2,23.75805497
Instance_270_16_,270,16,200,29.76686406,5.77065,5.77155,0.015596163,2,31.34652519
Instance_500_16_,500,16,10,1.986008167,7.31,7.323642173,0.186623438,2,2.525167942
Instance_500_16_,500,16,50,10.7704699,7.5245,7.5305,0.079739518,2,11.3674922
Instance_500_16_,500,16,100,18.47359514,7.44245,7.443022222,0.007688627,2,19.41463614
Instance_500_16_,500,16,150,29.06275892,7.507400003,7.508370114,0.012922063,2,30.74382806
Instance_500_16_,500,16,200,41.93726993,8.12215,8.122750003,0.007387246,2,43.96055913
Instance_900_16_,900,16,10,3.503255129,8.4275,8.434948454,0.088382719,2,4.182003975
Instance_900_16_,900,16,50,14.29971695,9.238,9.2445,0.07036155,2,15.40356684
Instance_900_16_,900,16,100,37.42539978,9.2599,9.260671425,0.008330809,2,38.6595521
Instance_900_16_,900,16,150,60.83840203,9.175755556,9.176360845,0.00659662,2,62.93901491
Instance_900_16_,900,16,200,84.95425725,9.3896,9.3953,0.060705461,2,89.50536299
Instance_1500_16_,1500,16,10,3.467667818,9.939,9.960863287,0.219974718,2,4.357270002
Instance_1500_16_,1500,16,50,17.00645304,11.305,11.3155,0.092879257,2,18.34673405
Instance_1500_16_,1500,16,100,73.2793119,10.6402,10.68518563,0.422789341,2,85.44224405
Instance_1500_16_,1500,16,150,203.9604959,11.27531111,11.27592818,0.005472715,2,206.9172351
Instance_1500_16_,1500,16,200,239.1490171,11.05635,11.0635,0.06466872,2,253.3076801
