name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic,,,
Instance_168_100_,168,100,10,7.865,7.07,7.420417865,,,-10.10807254,0.777934328,10802.61484,4.327033997,3460.580296,,,4.96
Instance_168_100_,168,100,50,5.156,6.46,6.4675,1,,25.34910801,1.083088208,10807.95754,15.60853767,110.195873,,,0.07
Instance_168_100_,168,100,100,1.8485,6.70,6.70765,1,,262.3262104,0.336687769,10817.48658,34.00788403,2553.663858,,,0.15
Instance_168_100_,168,100,150,1.9081,6.85,6.852406008,1,,259.0913595,1.073680284,10834.64573,54.08641076,3627.168261,,,0.01
Instance_168_100_,168,100,200,1.93335,6.83,6.833550007,1,,253.4228153,0.799806817,10843.43668,77.58573008,3639.191957,,,0.01
Instance_270_100_,270,100,10,8.825000011,8.26,8.581580983,,1,-6.458922904,3.755299069,10803.15135,5.688764334,3445.997645,,,3.96
Instance_270_100_,270,100,50,6.71,8.69,8.7555,1,,29.44113264,0.575672097,10810.63043,25.06120396,2462.173765,,,0.81
Instance_270_100_,270,100,100,2.32665,8.21,8.208950004,1,,252.8098341,1.486237091,10821.05647,46.69050002,3642.136976,,,0.00
Instance_270_100_,270,100,150,2.410977778,8.38,8.376405895,1,,247.3795788,0.400784267,10829.89214,84.37730575,3609.064877,,,0.01
Instance_270_100_,270,100,200,2.4159,8.16,8.20135,1,,237.6236599,0.177156116,10854.43302,90.15972686,3171.32163,,,0.55
Instance_500_100_,500,100,10,10.6315,10.09,10.19498438,,,-5.051027607,1.015404428,10804.22544,7.62066102,3248.520526,,,1.00
Instance_500_100_,500,100,50,8.169,10.10,10.172,1,1,23.6503856,1.574101574,10813.27953,32.59359813,1402.963881,,,0.70
Instance_500_100_,500,100,100,2.97905,10.41,10.40835,1,1,249.384871,0.279583219,10831.03703,76.9365921,3632.826225,,,0.00
Instance_500_100_,500,100,150,2.864533333,10.13,10.17592427,1,,253.5169584,0.048935983,10838.22191,119.9929411,3581.681074,,,0.49
Instance_500_100_,500,100,200,2.78645,10.30,10.31945,1,,269.4970303,0.165115071,10905.88789,149.2151248,3336.277301,,,0.23
Instance_900_100_,900,100,10,13.5535,12.79,13.06138889,,1,-5.633231269,1.892103206,10805.44247,10.43478918,3098.22738,,,2.12
Instance_900_100_,900,100,50,9.42,12.42,12.506,1,,31.80997877,0.17315669,10819.42268,64.37895608,1471.901538,,,0.72
Instance_900_100_,900,100,100,3.59,12.18,12.19005,1,,239.3802228,0.354570637,10834.90574,142.3095829,1671.386411,,,0.05
Instance_900_100_,900,100,150,3.789922222,12.72,12.73573539,1,,235.601141,0.221278383,10850.70805,289.0347683,2580.19028,,,0.13
Instance_900_100_,900,100,200,3.5589,12.40,12.43905,1,,248.4363146,0.049997984,10907.72054,347.5979738,2015.541071,,,0.31
Instance_1500_100_,1500,100,10,13.206,12.89,13.23545375,,1,-2.415568681,1.598510126,10809.18132,8.910593033,3546.227993,,,2.70
Instance_1500_100_,1500,100,50,12.063,13.69,13.6875,1,,13.4667993,0.138812785,10819.46857,84.84023714,3651.345078,,,0.00
Instance_1500_100_,1500,100,100,8.8318,14.68,14.6761,1,,66.16431532,0.16081443,10849.66586,381.481113,3594.359294,,,0.01
Instance_1500_100_,1500,100,150,4.627588889,14.66,14.68988129,1,,216.8580711,0.054104838,10861.17578,614.6643002,2480.450829,,,0.18
Instance_1500_100_,1500,100,200,4.2533,14.76,14.79865,1,1,246.9729387,0.015923783,10910.063,1276.196793,1383.387902,,,0.28
