name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_16_,168,16,10,5.00,5.00,5.00,,,-1.60E-07,1.20E-07,94.89,1.35,399.30
Instance_168_16_,168,16,50,4.85,4.85,4.85,,,-0.020622809,0,10801.68,6.07,3532.62
Instance_168_16_,168,16,100,4.91,4.88,4.91,,,-0.570096407,2.05E-08,10804.23,14.18,2072.88
Instance_168_16_,168,16,150,4.71,4.68,4.70,,,-0.760504647,0.005463719,10809.77,20.35,3333.29
Instance_168_16_,168,16,200,4.84,4.82,4.84,,,-0.412015572,0,10808.75,24.97,1685.21
Instance_270_16_,270,16,10,5.58,5.53,5.58,,,-0.985663136,1.81E-07,80.96,2.85,1691.55
Instance_270_16_,270,16,50,5.91,5.87,5.89,,,-0.794657198,0.017043051,10802.57,8.72,2854.17
Instance_270_16_,270,16,100,5.72,5.70,5.71,,,-0.289386256,0.082420731,10806.73,18.26,2017.38
Instance_270_16_,270,16,150,5.86,5.83,5.85,,,-0.39699849,0.018472253,10807.92,23.97,3256.04
Instance_270_16_,270,16,200,5.78,5.77,5.77,,,-0.175581234,0.013863256,10808.73,31.34,2555.05
Instance_500_16_,500,16,10,7.53,7.31,7.49,,,-2.857143038,1.094391245,64.82,3.07,3315.45
Instance_500_16_,500,16,50,7.57,7.52,7.55,,,-0.660109578,0.019934879,10804.89,10.19,3021.70
Instance_500_16_,500,16,100,7.48,7.44,7.46,,,-0.477390799,0,10809.84,20.29,3601.21
Instance_500_16_,500,16,150,7.57,7.51,7.54,,,-0.790835362,0.037000493,10810.07,33.04,1998.46
Instance_500_16_,500,16,200,8.15,8.12,8.14,,,-0.335603411,0,10810.94,46.16,1743.65
Instance_900_16_,900,16,10,8.47,8.43,8.45,,,-0.472394755,0.059329576,208.30,4.49,2757.75
Instance_900_16_,900,16,50,9.28,9.24,9.26,,,-0.431127398,0.037886989,815.47,15.38,3096.01
Instance_900_16_,900,16,100,9.29,9.26,9.27,,,-0.363687229,0,10809.53,42.07,1764.31
Instance_900_16_,900,16,150,9.20,9.18,9.18,,,-0.217250515,0.003511667,10830.55,64.30,3651.74
Instance_900_16_,900,16,200,9.40,9.39,9.39,,,-0.134011189,0,10814.37,90.56,3134.33
Instance_1500_16_,1500,16,10,9.99,9.94,9.98,,,-0.51051052,1.51E-07,48.14,4.77,3204.10
Instance_1500_16_,1500,16,50,11.36,11.31,11.32,,,-0.449101796,0.061919505,2582.05,18.12,3288.65
Instance_1500_16_,1500,16,100,10.68,10.64,10.64,,,-0.369860577,0.04558185,10808.24,88.14,3625.25
Instance_1500_16_,1500,16,150,11.29,11.28,11.28,,,-0.116146524,0,10818.30,207.51,3689.78
Instance_1500_16_,1500,16,200,11.05,11.06,11.06,1,,0.024878773,0,10838.33,252.37,3797.49
