name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,iteration
Instance_168_16_,168,16,10,1.186175346,4.995,4.9965,0.03003003,2,1.572093964,0
Instance_168_16_,168,16,10,1.138297081,4.995000006,5.012582347,0.351998824,2,12.20808387,V2 BLS
Instance_168_16_,168,16,10,1.266535282,4.99500001,5.0096637,0.293567376,2,210.157665,V2 BLS
Instance_168_16_,168,16,10,1.132649183,4.995000016,5.010318468,0.306675722,2,399.303086,V2 BLS
Instance_168_16_,168,16,50,5.101186037,4.848,4.849,0.020627063,2,5.529369831,0
Instance_168_16_,168,16,50,5.128031015,4.848000001,4.849000001,0.020627063,2,408.907057,V2 BLS
Instance_168_16_,168,16,50,5.074790239,4.8485,4.85,0.030937403,2,1140.48531,V2 BLS
Instance_168_16_,168,16,50,4.951983929,4.849,4.8495,0.010311404,2,1167.198174,V2 BLS
Instance_168_16_,168,16,50,5.0057621,4.849000001,4.849500001,0.010311404,2,2014.240057,V2 BLS
Instance_168_16_,168,16,50,5.125571728,4.849000001,4.850500001,0.030934213,2,3532.619182,V2 BLS
Instance_168_16_,168,16,100,11.61092305,4.88345,4.88465,0.024572792,2,12.41371918,0
Instance_168_16_,168,16,100,11.72876978,4.891650001,4.892400001,0.01533225,2,73.54184318,V2 BLS
Instance_168_16_,168,16,100,11.26746702,4.896950001,4.897583334,0.01293322,2,122.5053902,V2 BLS
Instance_168_16_,168,16,100,11.66238809,4.905650001,4.907528573,0.038294037,2,172.1131992,V2 BLS
Instance_168_16_,168,16,100,11.52361894,4.91015,4.912275794,0.043293864,2,2072.879742,V2 BLS
Instance_168_16_,168,16,150,18.066962,4.677400001,4.67820915,0.0172991,2,19.28443813,0
Instance_168_16_,168,16,150,18.01901197,4.700988889,4.701211115,0.004727212,2,76.20768905,V2 BLS
Instance_168_16_,168,16,150,18.10261202,4.703988892,4.705534395,0.032855151,2,133.8670359,V2 BLS
Instance_168_16_,168,16,150,18.18524981,4.704244446,4.705566669,0.028107005,2,2500.099564,V2 BLS
Instance_168_16_,168,16,150,18.33545327,4.704322224,4.706633559,0.049132157,2,2520.078521,V2 BLS
Instance_168_16_,168,16,150,19.13856006,4.704322225,4.705975664,0.035147234,2,3333.289827,V2 BLS
Instance_168_16_,168,16,200,23.16614079,4.8221,4.8226,0.010368926,2,24.69876695,0
Instance_168_16_,168,16,200,23.28821516,4.83005,4.8305,0.009316674,2,99.25121307,V2 BLS
Instance_168_16_,168,16,200,23.60965919,4.8388,4.83945,0.013433083,2,174.9908462,V2 BLS
Instance_168_16_,168,16,200,23.411623,4.83905,4.8396,0.011365867,2,1685.208067,V2 BLS
Instance_168_50_,168,50,10,1.939574003,6.485,6.505993908,0.323730276,2,2.498546839,0
Instance_168_50_,168,50,10,1.646235943,6.57,6.590993908,0.319541985,2,4.552147865,V4 BLS
Instance_168_50_,168,50,10,1.920084238,6.620000002,6.621752137,0.026467297,2,46.90062475,V4 BLS
Instance_168_50_,168,50,10,1.766198874,6.66,6.680993908,0.31522385,2,107.188483,V4 BLS
Instance_168_50_,168,50,10,1.852197886,6.7,6.707205215,0.107540529,2,113.724309,V4 BLS
Instance_168_50_,168,50,10,1.660691977,6.735,6.756493908,0.319137467,2,155.457293,V4 BLS
Instance_168_50_,168,50,10,1.753443956,6.755,6.762204617,0.106656056,2,179.8781049,V4 BLS
Instance_168_50_,168,50,10,1.936676264,6.795,6.802205215,0.106037019,2,222.1460409,V4 BLS
Instance_168_50_,168,50,10,1.536423922,6.83,6.842182677,0.178370094,2,374.8329411,V4 BLS
Instance_168_50_,168,50,10,1.748694897,6.835,6.846626919,0.170108543,2,378.9745729,V4 BLS
Instance_168_50_,168,50,10,1.64632225,6.875,6.886182972,0.162661416,2,572.6062899,V4 BLS
Instance_168_50_,168,50,10,1.732697964,6.885,6.891232993,0.090530039,2,589.047061,V4 BLS
Instance_168_50_,168,50,10,1.713031769,6.92,6.92125,0.018063584,2,818.1639769,V4 BLS
Instance_168_50_,168,50,10,2.096781969,6.925,6.92625,0.018050542,2,1490.520943,V4 BLS
Instance_168_50_,168,50,10,1.859728098,6.935,6.936666667,0.024032684,2,2308.792679,V4 BLS
Instance_168_50_,168,50,10,1.934948206,6.94,6.941666667,0.02401537,2,2515.2622,V4 BLS
Instance_168_50_,168,50,10,1.604647875,6.965,6.975990353,0.157794013,2,2735.799932,V4 BLS
Instance_168_50_,168,50,10,1.946387053,6.97,6.97125,0.017934003,2,3069.81438,V4 BLS
Instance_168_50_,168,50,50,9.478366137,6.441,6.442,0.01552554,2,10.37360811,0
Instance_168_50_,168,50,50,9.950716972,6.449,6.452,0.04651884,2,194.8530831,V4 BLS
Instance_168_50_,168,50,50,9.194641113,6.4775,6.48,0.038595137,2,498.4099011,V4 BLS
Instance_168_50_,168,50,50,9.045993805,6.4815,6.484,0.038571318,2,678.3169801,V4 BLS
Instance_168_50_,168,50,50,9.248377085,6.4865,6.4885,0.030833269,2,960.5847402,V4 BLS
Instance_168_50_,168,50,50,9.20103097,6.5295,6.5315,0.030630217,2,1141.426911,V4 BLS
Instance_168_50_,168,50,50,9.144382954,6.5375,6.539,0.022944551,2,1478.836343,V4 BLS
Instance_168_50_,168,50,50,9.070385933,6.5495,6.551,0.022902512,2,2118.573898,V4 BLS
Instance_168_50_,168,50,50,9.185894728,6.5595,6.560000001,0.007622542,2,3088.001673,V4 BLS
Instance_168_50_,168,50,100,21.55322814,6.4167,6.41755,0.013246684,2,23.46865582,0
Instance_168_50_,168,50,100,21.36489606,6.418,6.41825,0.003895294,2,1207.996685,V4 BLS
Instance_168_50_,168,50,100,21.22819877,6.41935,6.4196,0.003894475,2,1637.349588,V4 BLS
Instance_168_50_,168,50,100,22.41599989,6.43415,6.434816667,0.010361379,2,2472.849761,V4 BLS
Instance_168_50_,168,50,100,21.16136503,6.44565,6.44615,0.00775717,2,3356.877614,V4 BLS
Instance_168_50_,168,50,150,32.75609612,6.375988893,6.376641643,0.010237629,2,35.32143092,0
Instance_168_50_,168,50,150,31.73825192,6.382911112,6.383509798,0.009379509,2,1429.708142,V4 BLS
Instance_168_50_,168,50,150,33.50431299,6.399911111,6.402472222,0.040017917,2,3242.550577,V4 BLS
Instance_168_50_,168,50,200,40.91655397,6.3773,6.3786,0.020384802,2,44.06062889,0
Instance_168_50_,168,50,200,41.30940008,6.39575,6.39655,0.012508306,2,2487.17118,V4 BLS
Instance_168_100_,168,100,10,3.114346027,7.070000095,7.081833428,0.167373878,2,3.773952961,0
Instance_168_100_,168,100,10,3.004815817,7.075,7.097711539,0.321011148,2,319.3883319,V4 BLS
Instance_168_100_,168,100,10,2.96894598,7.085,7.088333333,0.047047753,2,533.534101,V4 BLS
Instance_168_100_,168,100,10,2.506675005,7.11,7.113333333,0.046882325,2,586.4685218,V4 BLS
Instance_168_100_,168,100,10,2.671723843,7.115,7.118333333,0.046849379,2,741.081847,V4 BLS
Instance_168_100_,168,100,10,2.942707062,7.12500001,7.131270843,0.088011696,2,744.6726441,V4 BLS
Instance_168_100_,168,100,10,2.528364182,7.13,7.1355,0.07713885,2,747.8449471,V4 BLS
Instance_168_100_,168,100,10,2.623903751,7.135000003,7.138333333,0.04671801,2,892.93679,V4 BLS
Instance_168_100_,168,100,10,2.881181955,7.255,7.265854903,0.14961961,2,896.4485922,V4 BLS
Instance_168_100_,168,100,10,2.936079025,7.260000004,7.283254494,0.320309785,2,900.037914,V4 BLS
Instance_168_100_,168,100,10,2.58652997,7.275,7.2785,0.048109966,2,1121.483928,V4 BLS
Instance_168_100_,168,100,10,2.482283115,7.305,7.3125,0.102669405,2,1417.714434,V4 BLS
Instance_168_100_,168,100,10,2.525230885,7.33,7.333933333,0.053660755,2,1788.457296,V4 BLS
Instance_168_100_,168,100,10,2.554419041,7.335,7.35825449,0.317034634,2,1996.308269,V4 BLS
Instance_168_100_,168,100,10,2.525713921,7.34,7.3455,0.07493188,2,2002.282498,V4 BLS
Instance_168_100_,168,100,10,2.598526001,7.345,7.348333333,0.045382346,2,2291.760824,V4 BLS
Instance_168_100_,168,100,10,2.564261913,7.35,7.353333333,0.045351474,2,2523.397333,V4 BLS
Instance_168_100_,168,100,10,2.70936203,7.375,7.400352702,0.343765455,2,3197.118889,V4 BLS
Instance_168_100_,168,100,10,2.777716875,7.380000048,7.414750673,0.470875673,2,3224.884141,V4 BLS
Instance_168_100_,168,100,10,2.938647985,7.385,7.420417865,0.479591938,2,3460.580296,V4 BLS
Instance_168_100_,168,100,50,12.09630179,6.463000009,6.463000009,0,2,13.73614001,0
Instance_168_100_,168,100,50,11.86620808,6.467,6.4675,0.00773156,2,110.195873,V4 BLS
Instance_168_100_,168,100,100,27.91009784,6.6976,6.69815,0.008211897,2,30.85974097,0
Instance_168_100_,168,100,100,28.8802371,6.7071,6.70765,0.008200265,2,2553.663858,V4 BLS
Instance_168_100_,168,100,150,47.66820502,6.85182223,6.852406008,0.008520043,2,52.49704599,0
Instance_168_100_,168,100,200,61.96099472,6.8329,6.833550007,0.0095129,2,68.15099311,0
Instance_270_16_,270,16,10,1.4835217,5.525,5.525,0,2,2.056609154,0
Instance_270_16_,270,16,10,1.537056208,5.56500001,5.584400595,0.348617875,2,5.11560297,V2 BLS
Instance_270_16_,270,16,10,1.421732903,5.57,5.57,0,2,8.196103334,V2 BLS
Instance_270_16_,270,16,10,1.481375933,5.570000003,5.615144025,0.810485133,2,9.884148121,V2 BLS
Instance_270_16_,270,16,10,1.221236944,5.570000004,5.570000004,0,2,23.15941024,V2 BLS
Instance_270_16_,270,16,10,1.243923187,5.575,5.578333333,0.059790732,2,80.22432423,V2 BLS
Instance_270_16_,270,16,10,1.306616068,5.575000003,5.591932334,0.303718938,2,147.6747451,V2 BLS
Instance_270_16_,270,16,10,1.225130081,5.575000015,5.575000015,0,2,222.9453011,V2 BLS
Instance_270_16_,270,16,10,1.247098207,5.58,5.58,0,2,286.619863,V2 BLS
Instance_270_16_,270,16,10,1.255595922,5.580000001,5.592976192,0.232548216,2,411.6792371,V2 BLS
Instance_270_16_,270,16,10,1.204768896,5.580000003,5.583333337,0.059737156,2,522.5194771,V2 BLS
Instance_270_16_,270,16,10,1.219496012,5.580000004,5.605789477,0.462176947,2,918.1053262,V2 BLS
Instance_270_16_,270,16,10,1.216975927,5.580000012,5.603701574,0.424759167,2,1481.632395,V2 BLS
Instance_270_16_,270,16,10,1.307378769,5.580000012,5.580000012,0,2,1691.548724,V2 BLS
Instance_270_16_,270,16,50,6.563525915,5.8675,5.87,0.042607584,2,7.095212936,0
Instance_270_16_,270,16,50,6.501517773,5.867500009,5.868500009,0.017043034,2,14.31245089,V2 BLS
Instance_270_16_,270,16,50,6.843611956,5.8765,5.8775,0.017016932,2,21.9265101,V2 BLS
Instance_270_16_,270,16,50,6.382287025,5.8795,5.8805,0.017008249,2,49.98332596,V2 BLS
Instance_270_16_,270,16,50,6.576092958,5.8825,5.8875,0.084997875,2,234.6716189,V2 BLS
Instance_270_16_,270,16,50,6.566912651,5.882500001,5.883500001,0.016999575,2,347.6746979,V2 BLS
Instance_270_16_,270,16,50,6.555449247,5.8835,5.8835,2.56634E-13,2,368.6940238,V2 BLS
Instance_270_16_,270,16,50,6.30152297,5.8845,5.8845,0,2,678.5929558,V2 BLS
Instance_270_16_,270,16,50,6.391921759,5.8855,5.8855,0,2,720.0518138,V2 BLS
Instance_270_16_,270,16,50,6.188376904,5.887,5.888,0.016986581,2,1352.8629,V2 BLS
Instance_270_16_,270,16,50,6.527447939,5.8875,5.8875,0,2,2158.520678,V2 BLS
Instance_270_16_,270,16,50,6.833631992,5.893,5.893,0,2,2854.16908,V2 BLS
Instance_270_16_,270,16,100,15.09060502,5.70245,5.703116667,0.011690881,2,16.00435019,0
Instance_270_16_,270,16,100,14.96835089,5.70465,5.705316667,0.011686373,2,257.0800021,V2 BLS
Instance_270_16_,270,16,100,14.78230405,5.7068,5.707116667,0.005548936,2,1717.387843,V2 BLS
Instance_270_16_,270,16,100,15.276407,5.7085,5.708816667,0.005547283,2,2017.382094,V2 BLS
Instance_270_16_,270,16,150,22.24648404,5.834588893,5.835500237,0.015619678,2,23.45054698,0
Instance_270_16_,270,16,150,21.9232111,5.834922224,5.83565823,0.012613804,2,47.33633995,V2 BLS
Instance_270_16_,270,16,150,22.64105201,5.84768889,5.848504631,0.013949797,2,94.92166185,V2 BLS
Instance_270_16_,270,16,150,21.76160264,5.849100002,5.84927778,0.003039404,2,810.942672,V2 BLS
Instance_270_16_,270,16,150,22.28074098,5.849944446,5.850253242,0.005278619,2,1156.811789,V2 BLS
Instance_270_16_,270,16,150,21.39707899,5.851766669,5.851944446,0.003038019,2,3256.039551,V2 BLS
Instance_270_16_,270,16,200,31.47626805,5.77065,5.77155,0.015596163,2,37.03577709,0
Instance_270_16_,270,16,200,28.494102,5.771,5.7719,0.015595217,2,2555.046273,V2 BLS
Instance_270_50_,270,50,10,2.498816013,8.05,8.098302671,0.600033185,2,3.02466321,0
Instance_270_50_,270,50,10,2.666412115,8.15,8.158715278,0.106935924,2,61.93513107,V4 BLS
Instance_270_50_,270,50,10,2.448658943,8.195,8.203715278,0.106348722,2,183.5669451,V4 BLS
Instance_270_50_,270,50,10,2.324574947,8.24,8.245,0.060679612,2,186.3142972,V4 BLS
Instance_270_50_,270,50,10,2.326598167,8.250000052,8.25976725,0.118390271,2,864.3333058,V4 BLS
Instance_270_50_,270,50,10,2.315048218,8.29,8.29976827,0.117831961,2,1588.135356,V4 BLS
Instance_270_50_,270,50,10,2.291385174,8.290000052,8.301423907,0.137802838,2,1596.380544,V4 BLS
Instance_270_50_,270,50,10,2.364846706,8.33,8.339773563,0.117329692,2,2036.589375,V4 BLS
Instance_270_50_,270,50,10,2.388211012,8.335,8.339792611,0.057499831,2,3017.448812,V4 BLS
Instance_270_50_,270,50,10,2.368412018,8.345,8.354773563,0.117118794,2,3287.560822,V4 BLS
Instance_270_50_,270,50,50,10.42802572,7.381,7.383,0.027096599,2,11.63024306,0
Instance_270_50_,270,50,50,10.80215764,7.407,7.4095,0.033751856,2,299.7243001,V4 BLS
Instance_270_50_,270,50,50,10.32274389,7.432500008,7.437500008,0.067272116,2,538.360254,V4 BLS
Instance_270_50_,270,50,50,10.45349002,7.445,7.452,0.094022834,2,1713.212677,V4 BLS
Instance_270_50_,270,50,50,10.8469708,7.450000008,7.459000008,0.120805369,2,2847.967763,V4 BLS
Instance_270_50_,270,50,50,10.76056623,7.459000008,7.467500008,0.113956294,2,3330.737371,V4 BLS
Instance_270_50_,270,50,100,28.9858861,7.83305,7.833500011,0.005745026,2,31.20991397,0
Instance_270_50_,270,50,100,29.15300918,7.850400015,7.851350015,0.012101294,2,1390.741071,V4 BLS
Instance_270_50_,270,50,150,45.83580017,7.80876667,7.810097141,0.017038168,2,50.76482201,0
Instance_270_50_,270,50,200,53.53143907,7.504750002,7.504900002,0.001998734,2,57.55571198,0
Instance_270_100_,270,100,10,4.244699955,8.255000064,8.281874415,0.325552408,2,5.008145809,0
Instance_270_100_,270,100,10,3.817102671,8.29,8.312391411,0.270101454,2,9.594482899,V4 BLS
Instance_270_100_,270,100,10,3.983203888,8.425,8.454132399,0.345785146,2,135.61467,V4 BLS
Instance_270_100_,270,100,10,3.701833963,8.430000011,8.443816987,0.163902453,2,699.124706,V4 BLS
Instance_270_100_,270,100,10,3.539557934,8.445,8.461304563,0.193067655,2,1013.259375,V4 BLS
Instance_270_100_,270,100,10,3.706760406,8.455,8.498368252,0.512930245,2,1030.602223,V4 BLS
Instance_270_100_,270,100,10,3.548455,8.46,8.486866674,0.317572979,2,1152.873386,V4 BLS
Instance_270_100_,270,100,10,3.81367898,8.465,8.472997722,0.094479886,2,1490.025514,V4 BLS
Instance_270_100_,270,100,10,4.358996153,8.489,8.503678771,0.172915196,2,1717.43047,V4 BLS
