name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,iteration
Instance_168_50_,168,50,10,1.946387053,6.97,6.97125,0.017934003,2,3069.81438,V4 BLS
Instance_168_50_,168,50,50,9.185894728,6.5595,6.560000001,0.007622542,2,3088.001673,V4 BLS
Instance_168_50_,168,50,100,21.16136503,6.44565,6.44615,0.00775717,2,3356.877614,V4 BLS
Instance_168_50_,168,50,150,33.50431299,6.399911111,6.402472222,0.040017917,2,3242.550577,V4 BLS
Instance_168_50_,168,50,200,41.30940008,6.39575,6.39655,0.012508306,2,2487.17118,V4 BLS
Instance_270_50_,270,50,10,2.368412018,8.345,8.354773563,0.117118794,2,3287.560822,V4 BLS
Instance_270_50_,270,50,50,10.76056623,7.459000008,7.467500008,0.113956294,2,3330.737371,V4 BLS
Instance_270_50_,270,50,100,29.15300918,7.850400015,7.851350015,0.012101294,2,1390.741071,V4 BLS
Instance_270_50_,270,50,150,45.83580017,7.80876667,7.810097141,0.017038168,2,50.76482201,0
Instance_270_50_,270,50,200,53.53143907,7.504750002,7.504900002,0.001998734,2,57.55571198,0
Instance_500_50_,500,50,10,4.017652035,9.637000005,9.69725617,0.625258534,2,3590.103873,V4 BLS
Instance_500_50_,500,50,50,20.86536908,9.6055,9.6165,0.114517724,2,1280.202252,V4 BLS
Instance_500_50_,500,50,100,49.55605197,9.984650006,9.989450006,0.048073793,2,2298.09202,V4 BLS
Instance_500_50_,500,50,150,78.77970004,9.797522222,9.79834545,0.00840241,2,3588.906669,V4 BLS
Instance_500_50_,500,50,200,116.2555573,9.90235,9.90585,0.035345145,2,1760.141832,V4 BLS
Instance_900_50_,900,50,10,13.29639983,12.92600001,12.93305,0.054541224,2,3334.555957,V4 BLS
Instance_900_50_,900,50,50,54.2087307,12.3,12.30100001,0.008130148,2,3534.502331,V4 BLS
Instance_900_50_,900,50,100,130.0532639,12.29315,12.29405,0.007321191,2,133.3391569,0
Instance_900_50_,900,50,150,235.831181,11.83781111,11.83856859,0.006398848,2,2024.452282,V4 BLS
Instance_900_50_,900,50,200,368.2995119,12.02415,12.02525,0.009148256,2,789.1483831,V4 BLS
Instance_1500_50_,1500,50,10,6.439450979,13.267,13.27237013,0.040477349,2,2968.260569,V4 BLS
Instance_1500_50_,1500,50,50,152.442256,13.7295,13.7725,0.313194217,2,742.260515,V4 BLS
Instance_1500_50_,1500,50,100,326.7487791,13.83655,13.83775,0.008672685,2,1391.063339,V4 BLS
Instance_1500_50_,1500,50,150,627.6627779,14.07907778,14.08068317,0.011402695,2,633.6917639,0
Instance_1500_50_,1500,50,200,637.2985463,14.10635,14.11264362,0.044615544,2,645.2043459,0
