I size,L size,S size,BLS,ALS,Runtime
168,16,10,10,6,2.608444929
168,16,50,10,6,13.433954
168,16,100,10,6,23.91577601
168,16,150,10,6,36.97980189
168,16,200,10,6,51.30168176
270,16,10,10,6,7.375024796
270,16,50,10,6,20.91867113
270,16,100,10,6,39.50601673
270,16,150,10,6,62.38581514
270,16,200,10,6,94.93431807
500,16,10,10,6,11.51607394
500,16,50,10,6,36.11018515
500,16,100,10,6,91.98091698
500,16,150,10,6,141.1462641
500,16,200,10,6,168.9736831
900,16,10,10,6,24.91765189
900,16,50,10,6,72.42184281
900,16,100,10,6,167.6234291
900,16,150,10,6,258.0989161
900,16,200,10,6,389.3576579
1500,16,10,10,6,27.69511604
1500,16,50,10,6,149.6752369
1500,16,100,10,6,362.1776609
1500,16,150,10,6,717.3821981
1500,16,200,10,6,2479.769333
168,16,10,20,11,8.118492842
168,16,50,20,11,12.94349885
168,16,100,20,11,25.04606795
168,16,150,20,11,42.79748702
168,16,200,20,11,49.74454188
270,16,10,20,11,4.816154003
270,16,50,20,11,21.24089003
270,16,100,20,11,41.72182679
270,16,150,20,11,60.02588487
270,16,200,20,11,81.51792097
500,16,10,20,11,8.748044014
500,16,50,20,11,36.17873621
500,16,100,20,11,82.72177196
500,16,150,20,11,117.277674
500,16,200,20,11,156.467751
900,16,10,20,11,16.42951179
900,16,50,20,11,72.87938404
900,16,100,20,11,159.2585478
900,16,150,20,11,249.0101719
900,16,200,20,11,380.2050891
1500,16,10,20,11,26.50019884
1500,16,50,20,11,149.3958578
1500,16,100,20,11,416.117954
1500,16,150,20,11,711.4832909
1500,16,200,20,11,1939.15581
168,16,10,35,20,3.56787324
168,16,50,35,20,13.72266388
168,16,100,35,20,29.78938699
168,16,150,35,20,38.60832477
168,16,200,35,20,55.62270808
270,16,10,35,20,4.753200054
270,16,50,35,20,22.41103363
270,16,100,35,20,42.72152233
270,16,150,35,20,63.95651984
270,16,200,35,20,80.3027482
500,16,10,35,20,8.311011791
500,16,50,35,20,37.61025739
500,16,100,35,20,77.94554114
500,16,150,35,20,115.9356837
500,16,200,35,20,161.5488389
900,16,10,35,20,15.31634974
900,16,50,35,20,77.92379618
900,16,100,35,20,149.9394839
900,16,150,35,20,246.3225331
900,16,200,35,20,416.3235562
1500,16,10,35,20,25.10331011
1500,16,50,35,20,158.927582
1500,16,100,35,20,396.7620847
1500,16,150,35,20,858.7904649
1500,16,200,35,20,509.7987559
