name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_100_,168,100,10,6.437633038,-1850.86,-1850.86,1.22848E-13,2,8.699640989
Instance_168_100_,168,100,50,33.42955112,-393.1,-393.1,0,2,36.95636201
Instance_168_100_,168,100,100,68.89807391,-221.192,-221.168,0.010850302,2,78.09061289
Instance_168_100_,168,100,150,155.14147,-169.1331111,-169.128087,0.002970533,2,166.1286137
Instance_168_100_,168,100,200,254.0630662,-140.9795,-140.9755625,0.002792959,2,269.1608353
Instance_270_100_,270,100,10,7.402111053,-2135.07,-2134.98,0.004215318,2,9.909524918
Instance_270_100_,270,100,50,41.15497303,-395.232,-395.232,0,2,45.76952505
Instance_270_100_,270,100,100,106.9956079,-223.18,-223.18,0,2,115.3450258
Instance_270_100_,270,100,150,181.2855439,-163.8335556,-163.8335556,0,2,193.6411788
Instance_270_100_,270,100,200,1113.180892,-135.724,-135.689,0.025787628,2,1351.816132
Instance_500_100_,500,100,10,8.337379694,-1782.19,-1782.19,1.91372E-13,2,11.48319077
Instance_500_100_,500,100,50,48.83541417,-382.186,-382.186,0,2,54.23203993
Instance_500_100_,500,100,100,124.4799051,-216.754,-216.754,0,2,134.7735741
Instance_500_100_,500,100,150,209.6068838,-146.1048889,-146.1048889,4.27965E-13,2,225.5087769
Instance_500_100_,500,100,200,715.4358099,-133.422,-133.368,0.040473085,2,1254.587572
Instance_900_100_,900,100,10,11.44597793,-1853.07,-1852.95,0.00647574,2,15.89509106
Instance_900_100_,900,100,50,74.22577095,-368.124,-368.124,0,2,82.26205802
Instance_900_100_,900,100,100,170.999893,-196.007,-196.007,0,2,185.755254
Instance_900_100_,900,100,150,473.5058029,-145.1715556,-145.1498544,0.014948624,2,630.3115993
Instance_900_100_,900,100,200,1672.335979,-116.547,-116.5165,0.0261697,2,2518.710739
Instance_1500_100_,1500,100,10,11.63178968,-1125.42,-1125.42,1.61628E-13,2,16.18305683
Instance_1500_100_,1500,100,50,95.36540794,-330.17,-330.17,0,2,102.5283289
Instance_1500_100_,1500,100,100,200.0260091,-185.168,-185.168,0,2,215.3107078
Instance_1500_100_,1500,100,150,323.738569,-127.4655556,-127.4655556,5.35141E-13,2,347.412375
Instance_1500_100_,1500,100,200,719.147594,-112.352,-112.3485,0.003115209,2,779.164423
