name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_30_,168,30,10,2.155086994,5.675000005,5.676666671,0.029368576,2,2.684186697
Instance_168_30_,168,30,50,134.2931628,6.378000008,6.382500008,0.070555033,2,136.758786
Instance_168_30_,168,30,100,17.4629221,5.98135,5.9816,0.004179661,2,23.47735286
Instance_168_30_,168,30,150,27.51327777,6.208755563,6.209714116,0.015438724,2,33.96514106
Instance_168_30_,168,30,200,33.81309915,6.22255,6.2232,0.010445878,2,37.32539582
Instance_270_30_,270,30,10,3.191467047,6.64,6.64,0,2,3.692700863
Instance_270_30_,270,30,50,10.81423092,7.586500001,7.589000001,0.032953272,2,11.51868486
Instance_270_30_,270,30,100,21.4568119,7.35575,7.356300004,0.007477204,2,23.11468601
Instance_270_30_,270,30,150,35.63695288,7.424311112,7.425870554,0.021004542,2,37.99080491
Instance_270_30_,270,30,200,41.98487401,7.522300003,7.523000003,0.009305664,2,46.49722195
Instance_500_30_,500,30,10,3.624139071,8.975000005,8.983390793,0.093490675,2,4.265579939
Instance_500_30_,500,30,50,15.70076632,9.0305,9.039,0.094125464,2,16.88762403
Instance_500_30_,500,30,100,35.10857701,9.55975,9.56060001,0.008891548,2,38.98913884
Instance_500_30_,500,30,150,54.25544691,9.211722229,9.212544451,0.008925825,2,62.0564332
Instance_500_30_,500,30,200,75.58658624,9.232100004,9.232950004,0.009207006,2,96.23604608
Instance_900_30_,900,30,10,5.876113892,10.168,10.18442737,0.161559456,2,7.026279926
Instance_900_30_,900,30,50,28.36806226,11.3375,11.34,0.022050717,2,29.79375601
Instance_900_30_,900,30,100,96.4104681,11.2743,11.27539922,0.009749748,2,97.91851401
Instance_900_30_,900,30,150,164.3660049,11.34931111,11.40627503,0.501915201,2,180.1938112
Instance_900_30_,900,30,200,289.688576,11.4844,11.48795,0.030911497,2,299.805634
Instance_1500_30_,1500,30,10,10.74175406,13.47,13.47160401,0.011907988,2,11.55341387
Instance_1500_30_,1500,30,50,67.53779888,13.541,13.54150001,0.003692533,2,69.31768918
Instance_1500_30_,1500,30,100,231.2592759,13.1918,13.1928,0.007580467,2,234.2932553
Instance_1500_30_,1500,30,150,439.9604619,13.55787778,13.55919695,0.009729934,2,443.248832
Instance_1500_30_,1500,30,200,878.19838,13.6625,13.66385,0.009881063,2,886.1479681
