name,I size,L size,S size,model time,best obj,best bound,gap ,status,total time,amb 1,amb 2
Instance_168_16_,168,16,10,783.9651639,4.560500022,4.576331885,0.347151906,2,799.5716178,10,6
Instance_168_16_,168,16,50,5463.058304,4.366600001,4.620064704,5.80462381,2,10805.48982,10,6
Instance_168_16_,168,16,100,10076.54262,4.1518,4.59072444,10.57190713,2,10810.50568,10,6
Instance_168_16_,168,16,150,8425.566402,4.067733333,4.410165669,8.418259191,2,10814.87014,10,6
Instance_168_16_,168,16,200,7443.139934,4.1957,4.862286385,15.88737005,2,10820.15591,10,6
Instance_270_16_,270,16,10,182.653353,4.760500021,4.821498241,1.281340613,2,242.5923803,10,6
Instance_270_16_,270,16,50,10489.79198,5.264900009,5.37927938,2.172488967,2,10807.40122,10,6
Instance_270_16_,270,16,100,10529.45284,5.24225,5.593684971,6.703895673,2,10814.61838,10,6
Instance_270_16_,270,16,150,6252.341605,4.8431,5.589661658,15.41495442,2,10820.06943,10,6
Instance_270_16_,270,16,200,10016.63059,5.04355,5.680716135,12.63328678,2,10827.95929,10,6
Instance_500_16_,500,16,10,69.51161122,6.0645,6.143183576,1.297445395,2,164.8515098,10,6
Instance_500_16_,500,16,50,10523.40699,6.7562,6.851072732,1.404232137,2,10810.65526,10,6
Instance_500_16_,500,16,100,10590.55676,6.6049,6.942017837,5.104056636,2,10821.42293,10,6
Instance_500_16_,500,16,150,247.87904,4.498122222,13.63004444,203.0163204,2,10840.33795,10,6
Instance_500_16_,500,16,200,381.7491961,5.057675,14.094375,178.6730069,2,11190.42478,10,6
Instance_900_16_,900,16,10,694.337822,8.5845,8.720632019,1.585788564,2,1795.217777,10,6
Instance_900_16_,900,16,50,7833.913155,9.061900002,9.126838854,0.71661408,2,10816.77196,10,6
Instance_900_16_,900,16,100,10597.17304,8.94825,9.149440588,2.248379157,2,10830.20421,10,6
Instance_900_16_,900,16,150,10601.73747,8.422966667,9.134232129,8.44435803,2,10881.37821,10,6
Instance_900_16_,900,16,200,576.9457369,6.194575,17.154475,176.9273921,2,14833.44674,10,6
Instance_1500_16_,1500,16,10,102.1315291,10.6925,10.7454975,0.495651186,2,115.166136,10,6
Instance_1500_16_,1500,16,50,5233.845524,11.5733,11.60319033,0.258269673,2,6626.792647,10,6
Instance_1500_16_,1500,16,100,6809.717249,9.62175,10.57706908,9.928745632,2,10834.34926,10,6
Instance_1500_16_,1500,16,150,7609.86229,8.001633333,11.42892281,42.83237347,2,10881.30303,10,6
Instance_1500_16_,1500,16,200,745.260838,7.915525,20.623875,160.5496793,2,13448.58676,10,6
Instance_168_16_,168,16,10,616.5369411,5.121,5.198695004,1.517184219,2,1140.377571,20,11
Instance_168_16_,168,16,50,6264.27609,4.617000004,4.729070413,2.427342615,2,10805.7456,20,11
Instance_168_16_,168,16,100,10786.82096,4.6195,4.787091561,3.627915595,2,10810.77799,20,11
Instance_168_16_,168,16,150,8240.072995,4.332977778,4.60003301,6.163318754,2,10815.74375,20,11
Instance_168_16_,168,16,200,7531.565939,4.4622,4.942839561,10.77135855,2,10819.65533,20,11
Instance_270_16_,270,16,10,116.7188861,5.058,5.222318965,3.248694442,2,647.7876008,20,11
Instance_270_16_,270,16,50,4554.60188,5.527000005,5.660701305,2.419057356,2,10807.75666,20,11
Instance_270_16_,270,16,100,8077.194888,5.509100001,5.737515368,4.146146685,2,10814.50654,20,11
Instance_270_16_,270,16,150,9754.901556,5.121166667,5.662109362,10.56288011,2,10819.82271,20,11
Instance_270_16_,270,16,200,8129.082015,5.388025,5.819628344,8.010418367,2,10825.91746,20,11
Instance_500_16_,500,16,10,59.22300982,6.3495,6.443553241,1.481270042,2,148.0531139,20,11
Instance_500_16_,500,16,50,10287.93575,7.057100003,7.122250969,0.923197434,2,10811.22864,20,11
Instance_500_16_,500,16,100,10192.82286,6.9854,7.127524731,2.034596883,2,10821.15994,20,11
Instance_500_16_,500,16,150,223.4772899,5.1128,13.75087778,168.9500426,2,10828.68295,20,11
Instance_500_16_,500,16,200,391.6049953,5.05945,14.19225,180.5097392,2,11074.33143,20,11
Instance_900_16_,900,16,10,122.0747571,8.946,8.955939723,0.111108016,2,123.722739,20,11
Instance_900_16_,900,16,50,6555.682438,9.347900001,9.39887495,0.545309095,2,10817.56037,20,11
Instance_900_16_,900,16,100,10303.11901,9.263350001,9.396683524,1.439366133,2,10847.58072,20,11
