I size,L size,S size,BLS,ALS,Best objective,Best bound
168,16,10,10,6,4.5605,4.5763
168,16,50,10,6,4.3666,4.6201
168,16,100,10,6,4.1518,4.5907
168,16,150,10,6,4.0677,4.4102
168,16,200,10,6,4.1957,4.8623
270,16,10,10,6,4.7605,4.8215
270,16,50,10,6,5.2649,5.3793
270,16,100,10,6,5.2423,5.5937
270,16,150,10,6,4.8431,5.5897
270,16,200,10,6,5.0436,5.6807
500,16,10,10,6,6.0645,6.1432
500,16,50,10,6,6.7562,6.8511
500,16,100,10,6,6.6049,6.9420
500,16,150,10,6,4.4981,13.6300
500,16,200,10,6,5.0577,14.0944
900,16,10,10,6,8.5845,8.7206
900,16,50,10,6,9.0619,9.1268
900,16,100,10,6,8.9483,9.1494
900,16,150,10,6,8.4230,9.1342
900,16,200,10,6,6.1946,17.1545
1500,16,10,10,6,10.6925,10.7455
1500,16,50,10,6,11.5733,11.6032
1500,16,100,10,6,9.6218,10.5771
1500,16,150,10,6,8.0016,11.4289
1500,16,200,10,6,7.9155,20.6239
168,16,10,20,11,5.1210,5.1987
168,16,50,20,11,4.6170,4.7291
168,16,100,20,11,4.6195,4.7871
168,16,150,20,11,4.3330,4.6000
168,16,200,20,11,4.4622,4.9428
270,16,10,20,11,5.0580,5.2223
270,16,50,20,11,5.5270,5.6607
270,16,100,20,11,5.5091,5.7375
270,16,150,20,11,5.1212,5.6621
270,16,200,20,11,5.3880,5.8196
500,16,10,20,11,6.3495,6.4436
500,16,50,20,11,7.0571,7.1223
500,16,100,20,11,6.9854,7.1275
500,16,150,20,11,5.1128,13.7509
500,16,200,20,11,5.0595,14.1923
900,16,10,20,11,8.9460,8.9559
900,16,50,20,11,9.3479,9.3989
900,16,100,20,11,9.2634,9.3967
900,16,150,20,11,9.1361,9.2689
900,16,200,20,11,9.1220,9.3501
1500,16,10,20,11,10.7770,10.7770
1500,16,50,20,11,11.6734,11.7066
1500,16,100,20,11,10.6021,10.7268
1500,16,150,20,11,11.3823,11.4582
1500,16,200,20,11,7.9547,20.6259
168,16,10,35,20,5.2405,5.2681
168,16,50,35,20,4.7368,4.8140
168,16,100,35,20,4.7135,4.8367
168,16,150,35,20,4.4875,4.6612
168,16,200,35,20,4.7423,4.9442
270,16,10,35,20,5.2250,5.2647
270,16,50,35,20,5.6472,5.6858
270,16,100,35,20,5.6785,5.7905
270,16,150,35,20,5.4879,5.6807
270,16,200,35,20,5.6895,5.8307
500,16,10,35,20,6.4160,6.4705
500,16,50,35,20,7.1616,7.1983
500,16,100,35,20,7.0794,7.1759
500,16,150,35,20,7.2001,7.3123
500,16,200,35,20,7.5272,7.6685
900,16,10,35,20,8.9710,8.9800
900,16,50,35,20,9.4180,9.4521
900,16,100,35,20,9.3814,9.4202
900,16,150,35,20,9.2335,9.3231
900,16,200,35,20,9.2854,9.3730
1500,16,10,35,20,10.8035,10.8100
1500,16,50,35,20,11.6944,11.7065
1500,16,100,35,20,10.7085,10.7822
1500,16,150,35,20,11.3985,11.4843
1500,16,200,35,20,11.1188,11.1922
