I size,L size,S size,BLS,ALS,total time
168,16,10,10,6,799.5716178
168,16,50,10,6,10805.48982
168,16,100,10,6,10810.50568
168,16,150,10,6,10814.87014
168,16,200,10,6,10820.15591
270,16,10,10,6,242.5923803
270,16,50,10,6,10807.40122
270,16,100,10,6,10814.61838
270,16,150,10,6,10820.06943
270,16,200,10,6,10827.95929
500,16,10,10,6,164.8515098
500,16,50,10,6,10810.65526
500,16,100,10,6,10821.42293
500,16,150,10,6,10840.33795
500,16,200,10,6,11190.42478
900,16,10,10,6,1795.217777
900,16,50,10,6,10816.77196
900,16,100,10,6,10830.20421
900,16,150,10,6,10881.37821
900,16,200,10,6,14833.44674
1500,16,10,10,6,115.166136
1500,16,50,10,6,6626.792647
1500,16,100,10,6,10834.34926
1500,16,150,10,6,10881.30303
1500,16,200,10,6,13448.58676
168,16,10,20,11,1140.377571
168,16,50,20,11,10805.7456
168,16,100,20,11,10810.77799
168,16,150,20,11,10815.74375
168,16,200,20,11,10819.65533
270,16,10,20,11,647.7876008
270,16,50,20,11,10807.75666
270,16,100,20,11,10814.50654
270,16,150,20,11,10819.82271
270,16,200,20,11,10825.91746
500,16,10,20,11,148.0531139
500,16,50,20,11,10811.22864
500,16,100,20,11,10821.15994
500,16,150,20,11,10828.68295
500,16,200,20,11,11074.33143
900,16,10,20,11,123.722739
900,16,50,20,11,10817.56037
900,16,100,20,11,10847.58072
900,16,150,20,11,10974.65846
900,16,200,20,11,10887.85775
1500,16,10,20,11,67.18995404
1500,16,50,20,11,3600.255253
1500,16,100,20,11,10927.40973
1500,16,150,20,11,11070.2621
1500,16,200,20,11,13250.63907
168,16,10,35,20,334.5279071
168,16,50,35,20,10805.95841
168,16,100,35,20,10810.94624
168,16,150,35,20,10815.81582
168,16,200,35,20,10821.51768
270,16,10,35,20,1133.294165
270,16,50,35,20,10807.927
270,16,100,35,20,10814.63997
270,16,150,35,20,10822.82479
270,16,200,35,20,10913.48417
500,16,10,35,20,291.450032
500,16,50,35,20,10812.51567
500,16,100,35,20,10831.0187
500,16,150,35,20,10861.31885
500,16,200,35,20,10901.42736
900,16,10,35,20,80.8860321
900,16,50,35,20,10816.32784
900,16,100,35,20,10927.53302
900,16,150,35,20,10998.33893
900,16,200,35,20,11000.19649
1500,16,10,35,20,45.4338069
1500,16,50,35,20,1012.826935
1500,16,100,35,20,10980.43432
1500,16,150,35,20,11088.6961
1500,16,200,35,20,11040.79621
