name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_16_,168,16,10,23.0746901,4.995000008,5.019060606,0.481693646,2,94.89004374
Instance_168_16_,168,16,50,10801.36621,4.849,4.8595,0.216539493,2,10801.68338
Instance_168_16_,168,16,100,423.12257,4.91145,4.9441,0.664773132,2,10804.22699
Instance_168_16_,168,16,150,10808.00355,4.713244444,4.725803541,0.266463939,2,10809.76623
Instance_168_16_,168,16,200,5643.593997,4.84205,4.85945,0.359351923,2,10808.74663
Instance_168_50_,168,50,10,2907.415704,7.285,7.285000004,5.78E-08,2,2908.634401
Instance_168_50_,168,50,50,4353.462725,6.5825,7.181,9.092290163,2,10806.88645
Instance_168_50_,168,50,100,10565.15527,5.86825,7.336248882,25.01595674,2,10810.24798
Instance_168_50_,168,50,150,7945.59472,5.040522223,7.300436065,44.83491477,2,10813.54599
Instance_168_50_,168,50,200,7199.435835,4.6735,7.4101,58.55568632,2,10817.94411
Instance_168_100_,168,100,10,10594.95801,7.865,8.460341985,7.569510301,2,10802.61484
Instance_168_100_,168,100,50,7969.719557,5.156,8.597,66.73778123,2,10807.95754
Instance_168_100_,168,100,100,30.76945186,1.8485,16.779,807.7089532,2,10817.48658
Instance_168_100_,168,100,150,49.145154,1.9081,17.22833333,802.9051587,2,10834.64573
Instance_168_100_,168,100,200,65.42520809,1.93335,17.27875,793.7207438,2,10843.43668
Instance_270_16_,270,16,10,43.06015897,5.580000003,5.58722807,0.129535254,2,80.96167302
Instance_270_16_,270,16,50,10801.79155,5.9145,5.9215,0.1183532,2,10802.5726
Instance_270_16_,270,16,100,5191.344787,5.719,5.73105,0.210701172,2,10806.72836
Instance_270_16_,270,16,150,5222.627533,5.857844447,5.867916336,0.171938484,2,10807.91603
Instance_270_16_,270,16,200,6167.104656,5.7808,5.79375,0.224017437,2,10808.72667
Instance_270_50_,270,50,10,8233.101519,8.725,8.725000013,1.43E-07,2,8233.9007
Instance_270_50_,270,50,50,10233.63171,7.535,8.291,10.0331785,2,10806.18889
Instance_270_50_,270,50,100,10163.44064,6.85685,8.943,30.42432021,2,10810.56641
Instance_270_50_,270,50,150,7085.13929,5.9789,9.181791634,53.56991476,2,10817.76941
Instance_270_50_,270,50,200,5968.443839,4.59045,8.95485,95.07564618,2,10821.07779
Instance_270_100_,270,100,10,10173.06003,8.825000011,10.10964895,14.55692843,2,10803.15135
Instance_270_100_,270,100,50,5145.963232,6.71,10.9555,63.27123696,2,10810.63043
Instance_270_100_,270,100,100,2770.446865,2.32665,10.8971,368.3600885,2,10821.05647
Instance_270_100_,270,100,150,8264.513859,2.410977778,11.07844845,359.5002307,2,10829.89214
Instance_270_100_,270,100,200,88.48940587,2.4159,21.688,797.7192765,2,10854.43302
Instance_500_16_,500,16,10,29.24442482,7.525000014,7.540483326,0.205758306,2,64.81945801
Instance_500_16_,500,16,50,10804.14198,7.5745,7.577,0.033005479,2,10804.88968
Instance_500_16_,500,16,100,10804.53819,7.47815,7.4824,0.056832238,2,10809.83684
Instance_500_16_,500,16,150,5857.705877,7.567244448,7.575246243,0.105742529,2,10810.06643
Instance_500_16_,500,16,200,6041.147398,8.1495,8.1665,0.208601755,2,10810.9416
Instance_500_50_,500,50,10,10801.24628,10.1585,10.22052862,0.610608041,2,10805.03798
Instance_500_50_,500,50,50,10628.99429,9.4105,10.869,15.49864513,2,10808.0614
Instance_500_50_,500,50,100,8016.789673,8.02305,11.5039,43.38562018,2,10814.42831
Instance_500_50_,500,50,150,9892.282187,7.611988889,11.45388942,50.47170442,2,10821.55668
Instance_500_50_,500,50,200,6104.174358,4.17615,11.7969,182.4826694,2,10828.09489
Instance_500_100_,500,100,10,10737.33772,10.6315,11.61434048,9.244607796,2,10804.22544
Instance_500_100_,500,100,50,5637.329661,8.169,12.7115,55.60656139,2,10813.27953
Instance_500_100_,500,100,100,2979.726855,2.97905,13.6754416,359.0537788,2,10831.03703
Instance_500_100_,500,100,150,8846.008906,2.864533333,13.42441418,368.6422748,2,10838.22191
Instance_500_100_,500,100,200,106.323396,2.78645,29.5205,959.4304581,2,10905.88789
Instance_900_16_,900,16,10,146.6315048,8.467500026,8.475,0.088573655,2,208.299381
Instance_900_16_,900,16,50,187.7955208,9.278,9.321,0.463461953,2,815.4655178
Instance_900_16_,900,16,100,10807.52013,9.2937,9.3002,0.069939852,2,10809.5338
Instance_900_16_,900,16,150,4490.563705,9.195733334,9.210117786,0.156425281,2,10830.54969
Instance_900_16_,900,16,200,9617.303793,9.4022,9.4219,0.20952543,2,10814.37108
Instance_900_50_,900,50,10,7998.402433,13.43650002,13.51792442,0.60599411,2,10803.257
Instance_900_50_,900,50,50,10409.81984,11.987,13.8215,15.30407942,2,10813.10684
Instance_900_50_,900,50,100,8162.801022,10.8234,13.97065,29.07820094,2,10818.95241
Instance_900_50_,900,50,150,6991.202897,9.119844444,13.89997233,52.41457702,2,10825.67209
Instance_900_50_,900,50,200,9159.058927,5.26805,13.98395,165.4483158,2,10835.75257
Instance_900_100_,900,100,10,10003.61222,13.5535,14.03687088,3.566391573,2,10805.44247
Instance_900_100_,900,100,50,7452.205776,9.42,15.017,59.41613588,2,10819.42268
Instance_900_100_,900,100,100,2801.19199,3.59,16.0145,346.086351,2,10834.90574
Instance_900_100_,900,100,150,7400.608403,3.789922222,16.57078683,337.2328997,2,10850.70805
Instance_900_100_,900,100,200,130.392875,3.5589,38.06125,969.4666891,2,10907.72054
Instance_1500_16_,1500,16,10,21.04582095,9.990000001,10.0219188,0.319507486,2,48.13504672
Instance_1500_16_,1500,16,50,1349.507941,11.356,11.3635,0.066044382,2,2582.045221
Instance_1500_16_,1500,16,100,5078.451396,10.6797,10.69415,0.135303426,2,10808.24106
Instance_1500_16_,1500,16,150,10710.34037,11.28842222,11.32521035,0.325892558,2,10818.30216
Instance_1500_16_,1500,16,200,10301.64897,11.0536,11.09665,0.389465875,2,10838.32562
Instance_1500_50_,1500,50,10,10273.85105,13.77350002,13.87032824,0.703003746,2,10804.24361
Instance_1500_50_,1500,50,50,10716.67067,14.084,15.2695,8.417353025,2,10810.77986
Instance_1500_50_,1500,50,100,10817.10539,12.6053,15.79875,25.33418482,2,10820.77224
Instance_1500_50_,1500,50,150,10827.66664,11.29704444,16.19295629,43.33798869,2,10832.53354
Instance_1500_50_,1500,50,200,8478.14316,5.9664,16.45693983,175.8269614,2,10847.24419
Instance_1500_100_,1500,100,10,10645.50908,13.206,14.00244441,6.03092841,2,10809.18132
Instance_1500_100_,1500,100,50,9848.249449,12.063,16.0555,33.0970737,2,10819.46857
Instance_1500_100_,1500,100,100,10834.62553,8.8318,17.76234977,101.118116,2,10849.66586
Instance_1500_100_,1500,100,150,8703.520846,4.627588889,18.92057855,308.8647243,2,10861.17578
Instance_1500_100_,1500,100,200,154.9713628,4.2533,46.74875,999.1171561,2,10910.063
