name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_100_,168,100,10,10754.17666,7.635000011,8.446767331,10.63218492,2,10802.82384
Instance_168_100_,168,100,50,8469.060581,5.323,8.5915,61.40334398,2,10810.62689
Instance_168_100_,168,100,100,3309.529201,1.71935,8.9215,418.8879518,2,10818.43554
Instance_168_100_,168,100,150,57.11810207,1.818644444,17.22833333,847.3172937,2,10829.7954
Instance_168_100_,168,100,200,79.05911803,1.87325,17.27875,822.3942346,2,10841.60864
Instance_270_100_,270,100,10,10350.8178,8.315,10.32742214,24.2023108,2,10803.95307
Instance_270_100_,270,100,50,4806.709574,6.6815,11.0585,65.50924194,2,10815.10454
Instance_270_100_,270,100,100,3325.908867,2.2647,10.89425,381.0460547,2,10827.18771
Instance_270_100_,270,100,150,9773.311067,2.230766667,11.07547445,396.4873564,2,10839.59277
Instance_270_100_,270,100,200,101.6338589,2.25245,21.688,862.8626607,2,10852.21867
Instance_500_100_,500,100,10,10803.93068,9.9565,11.88472514,19.36649561,2,10805.67113
Instance_500_100_,500,100,50,6929.808893,6.307,12.9955,106.0488346,2,10817.47711
Instance_500_100_,500,100,100,2780.735166,2.9922,13.6748,357.0149054,2,10835.21484
Instance_500_100_,500,100,150,10102.19942,2.865388889,13.42339288,368.4667037,2,10848.65922
Instance_500_100_,500,100,200,130.8116639,2.8788,29.5205,925.4446297,2,10915.76912
Instance_900_100_,900,100,10,10805.19896,13.2275,14.41341561,8.965530955,2,10807.44436
Instance_900_100_,900,100,50,6663.302834,8.093,15.988,97.55344125,2,10823.38275
Instance_900_100_,900,100,100,2519.421809,3.59355,16.01445,345.6442793,2,10841.42638
Instance_900_100_,900,100,150,8607.486397,3.978833333,16.57076974,316.4730802,2,10864.30164
Instance_900_100_,900,100,200,159.6577709,3.51655,38.06125,982.3463338,2,10930.42838
Instance_1500_100_,1500,100,10,10805.4379,12.936,14.77566132,14.22125324,2,10807.59875
Instance_1500_100_,1500,100,50,7657.427634,8.221000004,17.5425,113.3864492,2,10828.0428
Instance_1500_100_,1500,100,100,3922.232832,4.50265,18.8787,319.2797575,2,10852.31892
Instance_1500_100_,1500,100,150,141.1355028,4.280955556,46.00766667,974.7055434,2,10875.22399
Instance_1500_100_,1500,100,200,200.3510249,4.33355,46.74875,978.7633695,2,10965.10852
