name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_500_16_,500,16,10,29.24442482,7.525000014,7.540483326,0.205758306,2,64.81945801
Instance_500_16_,500,16,50,10804.14198,7.5745,7.577,0.033005479,2,10804.88968
Instance_500_16_,500,16,100,10804.53819,7.47815,7.4824,0.056832238,2,10809.83684
Instance_500_16_,500,16,150,5857.705877,7.567244448,7.575246243,0.105742529,2,10810.06643
Instance_500_16_,500,16,200,6041.147398,8.1495,8.1665,0.208601755,2,10810.9416
Instance_900_16_,900,16,10,146.6315048,8.467500026,8.475,0.088573655,2,208.299381
Instance_900_16_,900,16,50,187.7955208,9.278,9.321,0.463461953,2,815.4655178
Instance_900_16_,900,16,100,10807.52013,9.2937,9.3002,0.069939852,2,10809.5338
Instance_900_16_,900,16,150,4490.563705,9.195733334,9.210117786,0.156425281,2,10830.54969
Instance_900_16_,900,16,200,9617.303793,9.4022,9.4219,0.20952543,2,10814.37108
Instance_1500_16_,1500,16,10,21.04582095,9.990000001,10.0219188,0.319507486,2,48.13504672
Instance_1500_16_,1500,16,50,1349.507941,11.356,11.3635,0.066044382,2,2582.045221
Instance_1500_16_,1500,16,100,5078.451396,10.6797,10.69415,0.135303426,2,10808.24106
Instance_1500_16_,1500,16,150,10710.34037,11.28842222,11.32521035,0.325892558,2,10818.30216
Instance_1500_16_,1500,16,200,10301.64897,11.0536,11.09665,0.389465875,2,10838.32562
