name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_100_,168,100,100,30.76945186,1.8485,16.779,807.7089532,2,10817.48658
Instance_168_100_,168,100,150,49.145154,1.9081,17.22833333,802.9051587,2,10834.64573
Instance_168_100_,168,100,200,65.42520809,1.93335,17.27875,793.7207438,2,10843.43668
Instance_270_100_,270,100,100,2770.446865,2.32665,10.8971,368.3600885,2,10821.05647
Instance_270_100_,270,100,150,8264.513859,2.410977778,11.07844845,359.5002307,2,10829.89214
Instance_270_100_,270,100,200,88.48940587,2.4159,21.688,797.7192765,2,10854.43302
Instance_500_100_,500,100,100,2979.726855,2.97905,13.6754416,359.0537788,2,10831.03703
Instance_500_100_,500,100,150,8846.008906,2.864533333,13.42441418,368.6422748,2,10838.22191
Instance_500_100_,500,100,200,106.323396,2.78645,29.5205,959.4304581,2,10905.88789
Instance_900_100_,900,100,100,2801.19199,3.59,16.0145,346.086351,2,10834.90574
Instance_900_100_,900,100,150,7400.608403,3.789922222,16.57078683,337.2328997,2,10850.70805
Instance_900_100_,900,100,200,130.392875,3.5589,38.06125,969.4666891,2,10907.72054
Instance_1500_100_,1500,100,100,10834.62553,8.8318,17.76234977,101.118116,2,10849.66586
Instance_1500_100_,1500,100,150,8703.520846,4.627588889,18.92057855,308.8647243,2,10861.17578
Instance_1500_100_,1500,100,200,154.9713628,4.2533,46.74875,999.1171561,2,10910.063
