name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,int gap
Instance_168_16_,168,16,10,3.635625839,16.2465,16.24650002,1.15409E-07,2,4.4401021,0
Instance_168_16_,168,16,50,16.48101616,14.873,14.88551154,0.084122494,2,17.14306021,0
Instance_168_16_,168,16,100,31.58055806,14.3102,14.31816074,0.055629835,2,32.2626152,0
Instance_168_16_,168,16,150,48.27626681,14.3082,14.31193605,0.026111248,2,49.01962209,0
Instance_168_16_,168,16,200,116.340626,15.0739,15.07385,0.000331699,2,117.3966,0
Instance_168_30_,168,30,10,3.933413029,13.8415,13.8535,0.086695806,2,4.22429204,0
Instance_168_30_,168,30,50,42.88055301,15.635,15.63857723,0.022879638,2,43.33459783,0
Instance_168_30_,168,30,100,96.57903004,15.1442,15.14716243,0.019561463,2,97.77821898,0
Instance_168_30_,168,30,150,183.9537969,15.4025,15.40362063,0.007275669,2,185.3851941,0
Instance_168_30_,168,30,200,270.8533101,15.2545,15.25655,0.013438657,2,273.4938059,0
Instance_168_50_,168,50,10,9.771112204,12.696,12.696,3.91761E-13,2,10.16462588,0
Instance_168_50_,168,50,50,96.87429595,14.2305,14.2305,4.74344E-13,2,97.55453706,0
Instance_168_50_,168,50,100,414.8009679,14.1132,14.11315,0.000354278,2,416.1591878,0
Instance_168_50_,168,50,150,772.402848,14.8643,14.86678947,0.016748005,2,774.556283,0
Instance_168_50_,168,50,200,2167.271829,14.4573,14.45865,0.009337843,2,2170.237688,0
Instance_168_70_,168,70,10,14.87910485,15.736,15.736,1.24173E-13,2,15.6509521,0
Instance_168_70_,168,70,50,219.8727651,15.4615,15.4615,8.3869E-13,2,220.8048081,0
Instance_168_70_,168,70,100,837.3898969,14.691,14.69164565,0.004394882,2,839.2941909,0
Instance_168_70_,168,70,150,3920.92379,15.7263,15.7263,2.18002E-12,2,3923.962667,0
Instance_168_70_,168,70,200,1594.410988,14.9948,14.99665837,0.012393425,2,1598.538367,0
Instance_168_100_,168,100,10,27.47974396,14.3015,14.30169608,0.001371034,2,28.50341606,0
Instance_168_100_,168,100,50,762.5910492,14.4785,14.485,0.044894153,2,1869.538923,0
Instance_168_100_,168,100,100,1985.462457,14.5668,14.56806471,0.008682149,2,1988.22367,0
Instance_168_100_,168,100,150,9963.0315,14.7609,14.76093333,0.000225822,2,9967.422286,0
Instance_168_100_,168,100,200,14086.98733,14.988,14.98975,0.011676007,2,14289.7163,0
Instance_270_16_,270,16,10,2.715543032,16.607,16.607,1.06964E-13,2,4.161392927,0
Instance_270_16_,270,16,50,18.60483932,17.95,17.95,6.9273E-13,2,18.93712378,0
Instance_270_16_,270,16,100,40.44614387,17.7622,17.7662,0.022519733,2,41.05717993,0
Instance_270_16_,270,16,150,58.72440815,17.7255,17.72686667,0.007710173,2,59.7979219,0
Instance_270_16_,270,16,200,124.9652729,18.078,18.078,3.14434E-12,2,126.3590279,0
Instance_270_30_,270,30,10,7.793740034,17.6405,17.6405,3.02093E-13,2,8.10308075,0
Instance_270_30_,270,30,50,34.05561519,18.837,18.8505,0.071667463,2,34.69200087,0
Instance_270_30_,270,30,100,117.6115322,17.8626,17.8626,3.20215E-12,2,118.7059741,0
Instance_270_30_,270,30,150,228.0677707,18.2411,18.24189123,0.004337611,2,229.7875021,0
Instance_270_30_,270,30,200,300.4168851,18.4189,18.42085,0.010586951,2,302.7558198,0
Instance_270_50_,270,50,10,10.27860212,19.3025,19.3025,2.76082E-13,2,10.78409815,0
Instance_270_50_,270,50,50,122.3422651,17.8205,17.8205,7.77508E-13,2,123.15275,0
Instance_270_50_,270,50,100,239.4692621,18.5467,18.54665,0.00026959,2,241.1810358,0
