name,I size,L size,S size,time,best obj,best bound,gap %,status,int gap
Instance_168_16,168,16,10,3.39901495,16.599,16.65900002,0.361467671,2,0
Instance_168_30,168,30,10,4.239089251,14.4855,14.54641374,0.420515292,2,0
Instance_168_50,168,50,10,12.95391607,15.6455,15.77011538,0.796493462,2,0
Instance_168_70,168,70,10,19.15219617,15.917,15.9426486,0.161139652,2,0
Instance_168_100,168,100,10,32.08314514,15.197,15.197,1.16889E-14,2,0
Instance_168_16_50,168,16,50,16.90795684,15.214,15.22,0.03943736,2,0
Instance_168_30_50,168,30,50,53.72899604,16.092,16.0955,0.021749938,2,0
Instance_168_50_50,168,50,50,102.40379,15.1685,15.1825,0.092296536,2,0
Instance_168_70_50,168,70,50,279.331413,15.615,15.623,0.051232789,2,0
Instance_168_100_50,168,100,50,2282.125554,14.699,14.707,0.054425471,2,0
Instance_168_16_100,168,16,100,42.93750405,15.2592,15.25915,0.000327671,2,0
Instance_168_30_100,168,30,100,217.073781,15.5492,15.5512,0.012862398,2,0
Instance_168_50_100,168,50,100,726.2317078,15.2467,15.25073337,0.026454052,2,0
Instance_168_70_100,168,70,100,1280.254008,14.8524,14.8524,2.46377E-12,2,0
Instance_168_100_100,168,100,100,3529.473957,15.0349,15.03829028,0.022549376,2,0
Instance_168_16_150,168,16,150,83.31339979,14.8885,14.88981111,0.0088062,2,0
Instance_168_30_150,168,30,150,253.7634268,15.7875,15.78796864,0.00296845,2,0
Instance_168_50_150,168,50,150,750.2293341,15.4912,15.49122222,0.000143451,2,0
Instance_168_70_150,168,70,150,5550.557984,15.9379,15.93921852,0.00827285,2,0
Instance_168_100_150,168,100,150,10641.87141,15.2714,15.27445113,0.019979369,2,0
Instance_168_16_200,168,16,200,144.3121889,15.5996,15.59955,0.000320521,2,0
Instance_168_30_200,168,30,200,349.1003802,15.6667,15.6667,3.36751E-12,2,0
Instance_168_50_200,168,50,200,1876.378327,15.0667,15.06665,0.000331858,2,0
Instance_168_70_200,168,70,200,3940.632747,15.2759,15.27585,0.000327313,2,0
Instance_168_100_200,168,100,200,13465.48766,15.4243,15.42539699,0.007112101,2,0
Instance_270_16,270,16,10,2.818938017,17.4625,17.4825,0.114531138,2,0
Instance_270_30,270,30,10,12.59711194,18.637,18.657,0.107313409,2,0
Instance_270_50,270,50,10,11.56977415,19.8055,19.8055,2.87008E-13,2,0
Instance_270_70,270,70,10,15.88981175,18.079,18.099,0.110625588,2,0
Instance_270_100,270,100,10,31.04081798,19.9275,19.9275,4.63533E-13,2,0
Instance_270_16_50,270,16,50,19.83263516,18.4945,18.5065,0.064884155,2,0
Instance_270_30_50,270,30,50,40.48374701,19.285,19.285,1.40008E-12,2,0
Instance_270_50_50,270,50,50,178.2188952,18.3355,18.3355,6.39413E-13,2,0
Instance_270_70_50,270,70,50,197.484988,17.8575,17.8575,7.95792E-14,2,0
Instance_270_100_50,270,100,50,909.8702526,19.5235,19.5235,2.72957E-13,2,0
Instance_270_16_100,270,16,100,64.90363479,18.2118,18.21696285,0.028348902,2,0
Instance_270_30_100,270,30,100,141.5482943,18.4678,18.4678,3.0395E-12,2,0
Instance_270_50_100,270,50,100,322.4550662,18.9987,19.01072118,0.063273722,2,0
Instance_270_70_100,270,70,100,2468.171575,19.1662,19.16628333,0.000434793,2,0
Instance_270_100_100,270,100,100,4349.540948,18.8153,18.81525,0.000265741,2,0
Instance_270_16_150,270,16,150,77.43488097,18.2166,18.2166,7.60602E-13,2,0
Instance_270_30_150,270,30,150,328.0299819,18.7121,18.71211111,5.93793E-05,2,0
Instance_270_50_150,270,50,150,927.9303002,19.0641,19.06414444,0.000233132,2,0
Instance_270_70_150,270,70,150,2841.169572,19.2025,19.20427778,0.009258054,2,0
Instance_270_100_150,270,100,150,3859.623636,19.1778,19.1807397,0.015328676,2,0
Instance_270_16_200,270,16,200,152.0777881,18.5085,18.5096027,0.00595778,2,0
Instance_270_30_200,270,30,200,395.883734,18.9649,18.96679444,0.009989214,2,0
Instance_270_50_200,270,50,200,3458.857766,18.2315,18.23315,0.00905027,2,0
Instance_270_70_200,270,70,200,1897.86088,18.7902,18.79274563,0.013547673,2,0
Instance_270_100_200,270,100,200,6660.572563,18.8123,18.81308333,0.004163942,2,0
Instance_500_16,500,16,10,3.432471037,20.6855,20.723,0.181286408,2,0
Instance_500_30,500,30,10,8.673608303,22.899,22.899,2.79265E-13,2,0
Instance_500_50,500,50,10,24.01003194,23.935,24.01677652,0.341660811,2,0
Instance_500_70,500,70,10,25.28519607,21.6005,21.77070833,0.787983303,2,0
Instance_500_100,500,100,10,58.21785688,24.036,24.04148428,0.022816937,2,0
Instance_500_16_50,500,16,50,23.54284501,23.441,23.449,0.034128237,2,0
Instance_500_30_50,500,30,50,52.39084911,23.3805,23.3865,0.025662411,2,0
Instance_500_50_50,500,50,50,104.329639,23.1575,23.1595,0.008636511,2,0
Instance_500_70_50,500,70,50,205.7813351,24.582,24.582,6.9372E-13,2,0
Instance_500_100_50,500,100,50,444.9165189,23.5655,23.5755,0.042434915,2,0
Instance_500_16_100,500,16,100,50.30764174,23.2326,23.23255,0.000215215,2,0
Instance_500_30_100,500,30,100,178.6903057,24.8802,24.88015,0.000200963,2,0
Instance_500_50_100,500,50,100,325.9627872,24.7204,24.7204,3.08989E-12,2,0
Instance_500_70_100,500,70,100,982.6035228,23.6355,23.6355,3.14153E-12,2,0
Instance_500_100_100,500,100,100,2100.184623,24.4848,24.4848,3.26472E-12,2,0
Instance_500_16_150,500,16,150,143.725409,23.2879,23.28793334,0.000143147,2,0
Instance_500_30_150,500,30,150,291.9304371,24.0386,24.03858889,4.6222E-05,2,0
Instance_500_50_150,500,50,150,575.1888881,24.173,24.17387778,0.003631232,2,0
Instance_500_70_150,500,70,150,940.5695441,24.9862,24.98802222,0.007292915,2,0
Instance_500_100_150,500,100,150,4742.145574,23.5495,23.54946667,0.000141546,2,0
Instance_500_16_200,500,16,200,178.794414,24.4693,24.46925,0.000204338,2,0
Instance_500_30_200,500,30,200,382.4829671,24.709,24.71134306,0.009482599,2,0
Instance_500_50_200,500,50,200,1462.508805,24.2322,24.23256409,0.001502498,2,0
Instance_500_70_200,500,70,200,3027.272479,23.6969,23.69685,0.000210998,2,0
Instance_500_100_200,500,100,200,9618.00885,24.0096,24.0096,2.98901E-12,2,0
Instance_900_16,900,16,10,10.29356408,29.6245,29.6245,8.39474E-14,2,0
