I size,L size,S size,Runtime in secs,Best obj,Best bound
168,16,10,1.473,-258.488,-258.448
168,16,10,1.055,-236.568,-236.568
168,16,10,1.098,-205.508,-205.508
168,16,50,5.281,-51.816,-51.814
168,16,50,4.702,-42.696,-42.696
168,16,50,5.282,-30.844,-30.844
168,16,100,11.108,-28.490,-28.482
168,16,100,9.993,-20.942,-20.942
168,16,100,9.331,-11.430,-11.430
168,16,150,16.608,-21.508,-21.507
168,16,150,14.667,-14.402,-14.402
168,16,150,14.793,-5.635,-5.635
168,16,200,19.769,-17.678,-17.678
168,16,200,20.888,-10.846,-10.846
168,16,200,23.253,-2.363,-2.361
270,16,10,1.396,-223.576,-223.576
270,16,10,1.133,-201.536,-201.536
270,16,10,1.077,-169.796,-169.796
270,16,50,5.863,-51.712,-51.712
270,16,50,5.895,-42.240,-42.240
270,16,50,5.581,-29.548,-29.548
270,16,100,11.565,-28.063,-28.063
270,16,100,11.653,-20.159,-20.159
270,16,100,11.205,-10.011,-10.011
270,16,150,17.489,-20.937,-20.937
270,16,150,18.217,-13.569,-13.569
270,16,150,18.161,-4.186,-4.186
270,16,200,23.317,-16.972,-16.972
270,16,200,24.487,-9.820,-9.820
270,16,200,24.643,-0.686,-0.686
500,16,10,1.631,-201.544,-201.544
500,16,10,1.273,-178.824,-178.824
500,16,10,1.153,-146.604,-146.604
500,16,50,7.309,-49.352,-49.352
500,16,50,6.859,-39.408,-39.408
500,16,50,6.818,-26.020,-26.020
500,16,100,14.627,-26.657,-26.657
500,16,100,14.413,-18.325,-18.325
500,16,100,14.482,-7.361,-7.361
500,16,150,21.422,-20.117,-20.117
500,16,150,22.563,-12.288,-12.288
500,16,150,22.293,-1.985,-1.985
500,16,200,30.417,-15.784,-15.784
500,16,200,32.840,-8.196,-8.196
500,16,200,31.468,1.926,1.926
900,16,10,2.350,-226.176,-226.176
900,16,10,1.731,-203.136,-203.136
900,16,10,1.882,-170.156,-170.156
900,16,50,9.148,-47.208,-47.208
900,16,50,8.562,-36.968,-36.968
900,16,50,9.369,-22.796,-22.796
900,16,100,18.331,-26.026,-26.026
900,16,100,18.364,-17.290,-17.290
900,16,100,17.472,-5.610,-5.610
900,16,150,29.013,-17.825,-17.823
900,16,150,26.402,-9.780,-9.780
900,16,150,26.684,0.861,0.861
900,16,200,36.519,-14.936,-14.936
900,16,200,36.294,-7.032,-7.032
900,16,200,37.743,3.458,3.458
1500,16,10,2.801,-213.248,-213.248
1500,16,10,2.184,-189.968,-189.938
1500,16,10,2.184,-155.748,-155.748
1500,16,50,10.386,-45.608,-45.608
1500,16,50,11.505,-35.160,-35.160
1500,16,50,11.365,-20.508,-20.508
1500,16,100,20.081,-24.421,-24.421
1500,16,100,20.540,-15.609,-15.609
1500,16,100,19.747,-3.637,-3.637
1500,16,150,32.943,-17.673,-17.673
1500,16,150,32.325,-9.315,-9.315
1500,16,150,33.296,2.145,2.145
1500,16,200,43.275,-13.848,-13.848
1500,16,200,43.178,-5.746,-5.746
1500,16,200,44.589,5.222,5.222
