I size,L size,S size,Runtime secs,Best obj,Best bound
168,16,10,1.214,-376.360,-376.320
168,16,10,1.160,-343.260,-343.260
168,16,10,1.177,-292.860,-292.860
168,16,50,6.407,-74.872,-74.870
168,16,50,5.591,-61.116,-61.116
168,16,50,5.779,-41.468,-41.468
168,16,100,12.879,-40.694,-40.686
168,16,100,12.670,-29.390,-29.390
168,16,100,12.392,-13.486,-13.486
168,16,150,19.839,-30.612,-30.611
168,16,150,22.415,-19.958,-19.958
168,16,150,19.380,-5.179,-5.179
168,16,200,25.033,-25.008,-25.008
168,16,200,27.475,-14.616,-14.616
168,16,200,30.378,-0.407,-0.405
270,16,10,1.599,-323.344,-323.344
270,16,10,1.351,-290.204,-290.204
270,16,10,1.554,-238.844,-238.844
270,16,50,6.831,-74.320,-74.320
270,16,50,6.926,-59.908,-59.908
270,16,50,7.179,-39.076,-39.076
270,16,100,14.211,-39.898,-39.898
270,16,100,14.922,-27.934,-27.934
270,16,100,14.626,-11.102,-11.102
270,16,150,21.944,-29.601,-29.601
270,16,150,24.961,-18.429,-18.429
270,16,150,22.638,-2.843,-2.843
270,16,200,32.605,-23.846,-23.846
270,16,200,33.585,-12.964,-12.964
270,16,200,32.693,2.234,2.234
500,16,10,2.227,-288.504,-288.504
500,16,10,1.495,-254.444,-254.444
500,16,10,1.517,-202.324,-202.324
500,16,50,8.504,-70.080,-70.080
500,16,50,8.829,-55.108,-55.108
500,16,50,8.959,-33.172,-33.172
500,16,100,17.633,-37.443,-37.443
500,16,100,18.624,-24.879,-24.879
500,16,100,18.551,-6.819,-6.819
500,16,150,28.697,-28.085,-28.085
500,16,150,30.222,-16.259,-16.259
500,16,150,29.934,0.666,0.666
500,16,200,41.964,-21.739,-21.739
500,16,200,44.039,-10.235,-10.235
500,16,200,44.370,6.251,6.251
900,16,10,2.804,-322.640,-322.640
900,16,10,2.332,-287.980,-287.980
900,16,10,2.500,-234.780,-234.780
900,16,50,11.916,-66.088,-66.088
900,16,50,11.900,-50.732,-50.732
900,16,50,11.796,-27.700,-27.700
900,16,100,23.961,-35.958,-35.958
900,16,100,24.335,-22.874,-22.874
900,16,100,24.916,-3.786,-3.786
900,16,150,38.451,-24.243,-24.241
900,16,150,38.645,-12.231,-12.231
900,16,150,37.322,5.132,5.132
900,16,200,51.459,-20.114,-20.114
900,16,200,52.905,-8.238,-8.238
900,16,200,54.934,8.902,8.902
1500,16,10,3.255,-299.296,-299.296
1500,16,10,2.790,-264.356,-264.326
1500,16,10,2.801,-209.596,-209.596
1500,16,50,15.862,-62.680,-62.680
1500,16,50,16.641,-47.084,-47.084
1500,16,50,14.541,-23.540,-23.540
1500,16,100,26.574,-33.224,-33.224
1500,16,100,31.877,-20.052,-20.052
1500,16,100,32.732,-0.688,-0.688
1500,16,150,60.600,-23.624,-23.624
1500,16,150,47.945,-11.164,-11.164
1500,16,150,42.592,7.278,7.278
1500,16,200,56.285,-18.258,-18.258
1500,16,200,56.855,-6.184,-6.184
1500,16,200,57.467,11.474,11.474
